location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_FL_12037,2020-01-01,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,17.5,,29.48,45.13,11.159722,6.347222,17.166667,0.0,2.833333,57.218532
US_FL_12037,2020-01-02,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,15.51,17.33,34.66,53.82,16.638889,11.791667,21.729167,0.0,11.814815,71.905562
US_FL_12037,2020-01-03,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,14.8,20.34,21.27,24.04,21.229167,18.909722,23.284722,0.0,20.62037,92.14091
US_FL_12037,2020-01-04,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,,15.96,30.91,41.88,18.854167,15.527778,22.569444,5.225143,15.657407,81.476422
US_FL_12037,2020-01-05,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,,,21.38,46.84,10.777778,4.861111,17.986111,2.794,0.638889,49.878291
US_FL_12037,2020-01-06,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,,16.45,22.25,45.47,10.479167,4.840278,18.847222,0.0,4.583333,68.336665
US_FL_12037,2020-01-07,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,15.06,23.09,33.13,47.19,14.444444,9.034722,20.0625,0.0,8.12037,67.087122
US_FL_12037,2020-01-08,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,,28.23,32.26,51.41,11.048611,4.583333,18.993056,0.0,-0.611111,45.497411
US_FL_12037,2020-01-09,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,,,21.76,49.19,13.159722,6.486111,21.173611,0.0,5.064815,58.717615
US_FL_12037,2020-01-10,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,16.34,17.2,32.67,34.39,18.201389,15.416667,21.993056,0.0,14.064815,75.036677
US_FL_12037,2020-01-11,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,16.69,19.64,28.47,43.2,20.715278,18.375,22.923611,0.0,18.361111,82.901622
US_FL_12037,2020-01-12,ChIJP-lGaEhW64gRPXs_qZELjME,Q488813,geoId/12037,US,United States of America,FL,Florida,12037,Franklin County,US,USA,2,,,,,,,11724,6659,5065,1052,1003,1593,1556,1367,1576,1813,1282,482,1210712,29.8,-84.82,2687,75.375,,,,,,,31.45,47.17,19.333333,16.898148,22.12963,5.715,18.347222,91.531579
