location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48273,2020-01-11,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,,8.64,8.36,12.39,8.64,,5.19,4.03,12.96,,8.93,4.03,,7.2,6.05,4.32,,,,4.03,,9.51,24.78,5.19,5.47,5.47,,5.19,5.19,31.69,,8.07,,,4.9,18.6,14.133333,23.0,0.310444,9.222222,55.401697
US_TX_48273,2020-01-12,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,6.71,10.35,,10.63,8.95,4.47,,6.99,9.51,,6.99,3.92,3.92,7.55,,4.47,,4.47,5.31,4.75,,6.99,21.25,7.27,,7.27,,4.75,6.15,32.44,6.15,8.95,6.43,5.87,4.75,15.261111,10.327778,22.083333,0.0254,9.138889,71.705564
US_TX_48273,2020-01-13,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,8.95,10.29,4.25,8.73,7.83,3.81,4.25,3.81,12.53,,7.38,,4.25,8.73,4.03,,4.92,3.36,4.92,5.15,,9.4,27.53,5.37,3.13,4.25,,4.48,4.25,40.06,4.25,7.38,5.37,6.04,5.59,18.205556,16.183333,21.733333,0.084667,17.37037,94.440995
US_TX_48273,2020-01-14,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,6.38,8.58,3.52,7.92,8.58,3.74,8.14,5.06,10.78,,7.92,,3.96,11.22,4.84,5.28,3.08,3.3,3.96,3.96,,8.58,22.44,4.18,4.18,9.9,5.06,4.18,3.52,36.08,4.62,5.5,4.18,5.06,3.52,22.2,19.966667,26.538889,0.2032,21.324074,88.771179
US_TX_48273,2020-01-15,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,3.28,9.23,,13.13,7.38,5.13,4.51,3.69,8.2,,7.79,2.87,5.54,11.69,3.9,3.69,4.72,2.87,5.54,5.33,,10.87,21.74,4.51,5.74,6.77,3.9,4.51,6.77,37.95,5.33,8.82,3.9,9.44,3.69,22.038889,20.594444,25.25,0.0254,21.064815,88.793279
US_TX_48273,2020-01-16,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,4.81,5.0,3.46,7.69,7.31,,5.19,2.69,10.19,2.69,6.73,,4.81,9.61,5.19,4.42,3.27,3.08,,4.23,4.62,5.96,25.96,4.62,3.65,7.69,2.88,,3.27,34.23,5.77,9.23,5.38,3.65,4.42,22.038889,20.7,24.861111,0.0,21.12963,90.133608
US_TX_48273,2020-01-17,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,4.07,7.53,,11.39,10.17,4.48,3.66,4.07,10.58,,5.7,,5.09,11.39,4.48,4.27,4.48,3.25,4.07,3.25,,6.51,21.77,5.09,2.85,6.31,4.68,3.25,4.07,35.0,3.05,6.71,5.29,5.49,3.25,21.75,20.111111,25.35,0.0,19.564815,84.24212
US_TX_48273,2020-01-18,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,6.12,11.96,4.52,10.63,7.71,5.05,5.85,6.65,15.42,,9.3,4.79,,8.51,3.99,4.52,3.99,,,5.32,,11.96,25.26,5.05,,11.7,,,7.44,36.69,4.25,6.12,6.65,3.72,5.05,21.883333,20.072222,26.205556,0.0254,20.12963,87.022786
US_TX_48273,2020-01-19,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,3.87,10.31,4.12,6.44,6.96,,4.9,3.87,9.8,,7.22,,6.19,11.86,,,4.12,4.9,4.12,5.93,4.38,8.25,25.0,6.19,,11.09,4.64,4.38,7.22,37.38,4.38,8.25,7.99,6.7,3.87,14.988889,9.805556,21.466667,0.1778,5.018519,51.897816
US_TX_48273,2020-01-20,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,3.79,9.23,,12.31,8.76,6.15,6.86,4.73,15.62,3.79,8.52,4.26,4.5,11.84,3.31,,4.02,,4.97,,,9.47,31.01,8.05,3.79,8.76,4.73,,8.05,38.82,4.02,7.1,5.21,7.57,5.68,12.316667,8.094444,16.533333,0.0,0.046296,44.878113
