location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13125,2020-01-01,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,8.222222,3.461111,14.583333,0.0,-1.277778,51.690187
US_GA_13125,2020-01-02,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,8.055556,4.805556,12.472222,0.6096,3.833333,74.1242
US_GA_13125,2020-01-03,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,15.9,8.666667,24.111111,6.35,13.902778,84.24632
US_GA_13125,2020-01-04,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,15.811111,11.327778,20.327778,23.1648,12.340278,78.825703
US_GA_13125,2020-01-05,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,6.938889,1.388889,14.861111,1.397,-1.319444,55.445811
US_GA_13125,2020-01-06,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,8.566667,2.011111,18.027778,0.0,1.486111,61.643504
US_GA_13125,2020-01-07,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,10.666667,5.611111,17.255556,0.0,4.770833,66.77783
US_GA_13125,2020-01-08,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,8.538889,0.694444,17.111111,0.1016,-2.131944,47.94107
US_GA_13125,2020-01-09,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,8.044444,0.094444,19.111111,0.0,0.979167,62.193243
US_GA_13125,2020-01-10,ChIJszwO8gUU94gRteZvvpGQx_s,Q477951,geoId/13125,US,United States of America,GA,Georgia,13125,Glascock County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,1487,1545,347,432,344,332,433,431,352,222,139,1073870,33.23,-82.61,374,77.0,14.738889,9.972222,20.166667,0.0,9.243056,68.108218
