location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05091,2020-01-01,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,10.26,5.99,6.41,9.62,6.41,4.92,8.12,4.28,20.31,2.99,12.4,4.06,,8.55,4.49,5.77,3.63,3.42,6.41,6.41,10.26,24.37,,7.27,4.7,5.77,5.77,41.47,5.56,7.27,3.63,4.06,3.63,5.144444,0.266667,12.033333,0.0,,-0.577778,66.935367
US_AR_05091,2020-01-02,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,5.18,8.56,3.78,9.96,5.58,7.96,4.58,3.19,24.09,,12.74,3.38,3.78,10.95,5.38,6.57,3.58,5.78,5.97,5.58,8.36,27.68,6.17,8.36,4.58,6.57,7.17,41.82,,7.57,4.58,5.97,5.58,11.294444,9.061111,14.244444,3.104444,,7.961111,80.125044
US_AR_05091,2020-01-03,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,5.87,7.49,2.83,8.3,9.52,6.07,5.06,4.05,22.67,4.05,12.55,3.24,3.04,7.49,4.05,5.47,5.06,4.45,6.07,,6.28,25.91,5.87,5.47,5.47,4.25,5.87,38.26,4.66,5.87,5.47,5.87,6.48,14.583333,12.1,18.555556,11.881556,,12.611111,87.99794
US_AR_05091,2020-01-04,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,4.26,9.17,3.2,11.09,4.91,8.1,4.91,2.99,17.7,2.99,10.66,3.2,,9.38,6.82,6.4,5.54,4.05,5.12,5.33,6.61,26.87,7.68,5.76,6.82,,3.62,39.66,3.2,5.54,7.25,5.54,3.62,8.961111,2.205556,15.166667,0.0,,1.716049,60.595861
US_AR_05091,2020-01-05,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,6.53,5.89,5.26,8.0,5.26,4.21,6.53,6.74,19.16,5.26,8.42,3.79,5.89,9.05,5.26,5.89,5.05,,5.47,5.47,6.74,26.94,5.89,8.42,3.79,6.1,4.21,42.31,4.21,8.84,4.84,4.42,5.05,8.555556,0.694444,21.688889,0.0,,1.722222,62.588158
US_AR_05091,2020-01-06,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,3.29,9.68,2.56,9.13,8.4,5.66,5.12,,15.35,3.29,9.32,4.2,5.12,8.95,5.85,5.3,4.75,,3.47,4.02,6.76,24.48,5.12,8.59,7.31,4.75,5.66,40.92,5.48,10.41,4.93,3.65,5.85,10.9,2.816667,20.038889,0.0,,4.944444,66.96073
US_AR_05091,2020-01-07,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,3.71,6.54,3.0,12.89,6.71,5.47,8.12,4.59,16.43,2.65,9.54,3.18,4.24,7.24,3.89,4.42,3.53,3.71,3.0,5.3,7.42,25.08,8.12,7.59,5.3,5.65,4.95,39.74,3.53,7.07,8.3,4.77,5.65,9.711111,1.822222,17.544444,0.0,,-0.611111,49.123537
US_AR_05091,2020-01-08,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,4.24,4.07,2.71,10.86,3.73,3.9,4.75,4.41,15.95,2.71,7.8,3.56,3.56,11.03,3.73,4.24,5.43,3.73,3.22,5.77,10.52,27.66,6.62,9.5,3.56,4.24,4.07,32.24,3.73,10.18,4.41,6.62,4.75,7.011111,-1.238889,18.838889,0.0,,-1.516667,55.007219
US_AR_05091,2020-01-09,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,3.17,7.18,5.84,8.18,5.67,4.17,3.0,2.34,12.52,3.17,6.34,,4.34,9.51,2.67,3.84,2.34,4.17,3.5,3.5,10.18,29.71,5.17,9.68,3.34,4.17,5.17,27.37,3.84,10.18,4.17,4.67,4.67,12.788889,8.183333,19.316667,0.0,,6.344444,64.952365
US_AR_05091,2020-01-10,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,4.03,5.32,2.26,8.39,4.19,3.39,6.45,6.29,9.19,,6.45,2.26,3.39,7.74,4.35,2.74,2.58,3.55,3.71,,9.03,20.96,4.35,6.93,3.23,2.42,5.48,30.32,4.19,6.77,3.06,4.03,3.39,19.305556,17.383333,22.461111,0.254,,16.244444,82.538848
US_AR_05091,2020-01-11,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,6.15,9.12,3.6,7.0,8.48,5.94,6.79,,13.14,2.97,9.54,5.72,5.72,,6.79,6.79,,4.03,5.51,5.94,9.12,23.32,7.84,6.15,4.24,5.94,5.3,38.8,4.03,6.36,6.57,,2.97,12.438889,2.916667,22.794444,46.482,,10.494444,88.038268
US_AR_05091,2020-01-12,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,5.16,10.76,4.52,8.82,5.16,5.81,6.67,3.01,15.49,5.16,6.45,3.66,3.01,10.11,4.95,4.95,3.87,3.66,3.66,4.52,6.88,25.17,5.38,7.1,4.73,3.23,6.24,40.02,4.95,7.32,5.16,4.52,5.38,2.955556,0.466667,8.538889,13.857111,,0.194444,82.141651
US_AR_05091,2020-01-13,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,4.85,5.86,4.02,7.37,5.19,6.53,7.2,2.68,12.55,3.52,7.03,,4.35,9.88,2.68,4.35,4.69,5.69,4.52,4.18,8.54,23.94,4.52,6.53,5.86,4.18,3.85,35.66,4.69,5.52,6.03,5.69,5.36,6.744444,1.405556,16.044444,0.0,,3.955556,82.468262
US_AR_05091,2020-01-14,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,3.14,5.78,2.48,8.92,6.28,5.62,5.12,3.3,12.55,2.64,4.79,3.14,4.46,6.11,2.48,5.62,2.64,5.29,3.14,4.13,8.75,19.49,4.13,6.77,,5.12,7.1,34.68,2.64,5.95,4.96,2.97,4.13,13.916667,12.116667,16.922222,17.582444,,12.605556,91.870989
US_AR_05091,2020-01-15,ChIJCU2b_0oKNIYRuiDrvCsk5gA,Q61381,geoId/05091,US,United States of America,AR,Arkansas,05091,Miller County,US,USA,2,,,,,,,43736,21533,22203,5903,5536,5644,5660,5376,5784,5029,3157,1647,1827488,33.327778,-93.877222,1651,73.227273,,,,,,,2.47,7.24,,9.05,8.23,4.44,5.26,5.43,11.19,3.29,7.73,,7.24,8.72,3.46,6.42,,4.61,4.61,5.43,7.07,19.74,5.59,6.42,3.95,4.77,4.28,32.9,3.62,6.58,7.4,4.77,4.28,18.383333,15.494444,22.9,1.636889,,17.382716,94.081744
