location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48467,2020-01-01,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,5.05,10.11,4.83,9.45,4.39,4.83,8.13,5.49,,20.65,3.08,10.98,,,10.11,,5.27,5.05,4.61,3.95,4.39,5.49,7.69,29.0,8.13,4.39,8.79,4.17,3.52,4.39,4.39,38.01,4.39,6.37,6.81,5.27,4.61,3.08,,6.444444,1.644444,12.105556,3.8354,-1.077778,59.019109
US_TX_48467,2020-01-02,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,6.18,13.86,4.05,10.24,7.68,6.18,5.12,3.2,3.84,22.61,3.41,12.37,4.05,6.61,11.52,6.18,7.89,6.83,5.12,4.91,5.97,4.05,8.32,31.14,9.17,,6.18,4.48,5.97,7.25,6.4,46.07,,9.6,4.69,6.18,5.76,,2.99,13.161111,11.155556,16.544444,0.979714,8.75,74.690344
US_TX_48467,2020-01-03,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,5.08,9.53,6.99,10.8,6.35,6.56,5.5,4.66,2.96,23.71,,9.1,3.18,4.45,11.22,4.66,4.66,5.29,,5.08,8.89,,6.78,26.47,6.99,3.39,7.83,2.96,4.02,5.72,5.93,45.73,3.81,6.14,5.5,4.66,5.29,,,11.772222,7.177778,15.822222,0.1524,9.15,84.14088
US_TX_48467,2020-01-04,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,4.69,8.54,,10.03,5.97,6.61,4.05,5.55,,19.63,,11.1,4.91,,6.4,4.27,6.19,4.69,,5.76,7.04,4.05,9.18,21.55,7.25,3.63,5.97,,3.41,3.41,4.91,44.59,4.27,7.89,4.48,3.84,5.33,3.2,,8.188889,0.922222,15.622222,0.0762,0.277778,57.523808
US_TX_48467,2020-01-05,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,5.39,10.13,3.45,11.64,7.76,7.97,8.19,5.39,5.6,16.6,4.09,10.56,,,9.27,4.74,,6.68,3.45,3.88,5.39,5.82,11.42,23.71,5.82,5.39,9.48,,,5.17,5.6,43.97,6.47,6.68,7.33,4.96,4.96,5.39,3.88,10.794444,3.194444,22.127778,0.2794,0.922222,50.627657
US_TX_48467,2020-01-06,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,5.81,9.76,,15.57,8.51,4.57,7.27,3.32,3.53,16.4,3.53,5.61,3.53,4.98,11.63,5.61,6.64,6.23,,4.57,5.19,3.32,11.63,23.05,7.68,3.53,5.61,,4.36,3.74,4.98,41.94,4.36,6.64,4.78,3.94,,,3.32,10.183333,2.083333,19.75,0.9144,1.9,56.569329
US_TX_48467,2020-01-07,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,4.9,7.84,5.49,15.49,8.04,5.69,6.08,4.31,3.33,17.25,,11.37,,5.1,10.39,5.49,7.45,5.1,,4.12,4.9,,7.25,26.47,6.86,5.49,7.84,4.51,5.49,4.51,6.08,37.45,4.71,7.65,5.88,4.51,7.25,2.75,4.9,10.255556,1.672222,17.933333,0.0254,-2.133333,41.968863
US_TX_48467,2020-01-08,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,7.5,6.59,3.11,12.62,7.32,5.85,6.77,4.03,3.66,14.82,3.11,9.7,4.39,4.03,11.16,4.57,8.6,4.03,3.48,3.84,4.57,2.74,7.5,28.17,7.32,2.56,7.32,3.48,4.76,3.48,6.59,40.06,5.85,12.07,4.57,4.21,3.29,,3.48,7.994444,-0.227778,18.5,1.1684,-2.911111,46.528343
US_TX_48467,2020-01-09,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,3.74,6.59,4.28,12.12,7.13,5.88,4.28,3.92,2.67,14.08,3.92,7.84,4.81,3.92,7.48,4.99,5.17,5.34,,4.63,5.7,,9.44,25.84,7.48,3.74,7.66,2.85,4.81,5.34,4.81,41.52,4.45,9.98,4.81,4.81,5.88,3.21,2.67,15.577778,12.588889,20.344444,2.975429,11.027778,74.435653
US_TX_48467,2020-01-10,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,3.36,7.57,3.03,9.59,6.9,4.71,4.37,3.2,,11.61,,4.37,2.69,4.71,8.75,4.04,5.21,3.87,2.86,4.04,4.04,2.52,6.05,20.01,5.55,4.88,4.54,2.35,3.7,3.2,2.52,28.76,4.04,7.06,4.21,5.55,3.36,,,20.088889,18.633333,22.138889,0.677333,17.338889,84.324416
US_TX_48467,2020-01-11,ChIJ0ynh6VahSYYR5gx-mnQCBsA,Q113834,geoId/48467,US,United States of America,TX,Texas,48467,Van Zandt County,US,USA,2,,,,,,,55163,26981,28182,6605,7500,5809,5912,6665,7791,7285,4991,2605,1839271,32.56,-95.84,2226,77.81,,,,,,,3.83,7.43,3.15,14.87,9.46,5.18,6.53,,,18.02,6.08,11.49,3.15,4.5,7.66,7.43,5.41,4.96,6.98,6.08,4.5,3.83,6.31,26.58,4.96,,11.04,,4.5,5.86,7.88,42.35,3.15,6.53,6.31,4.5,5.86,,3.15,8.083333,0.994444,20.972222,26.246667,6.1,87.370476
