location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26067,2020-01-11,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,3.29,3.98,5.9,2.74,6.86,5.08,5.08,,3.29,4.12,4.25,,2.61,2.74,12.07,3.43,6.45,3.29,4.8,,5.9,4.25,2.33,,3.57,3.02,3.57,2.19,2.47,3.7,3.29,5.49,20.44,3.98,,5.62,2.47,3.7,3.29,2.06,4.53,29.63,,3.29,5.49,2.19,2.33,4.25,2.47,4.53,2.74,2.19,1.92,1.92,4.411111,-0.644444,10.011111,38.269333,,3.727778,95.350088
US_MI_26067,2020-01-12,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,,4.46,8.37,5.16,9.21,5.72,4.6,,1.95,6.28,3.07,2.79,,2.65,14.23,3.9,6.42,3.9,5.02,3.49,6.7,4.88,,2.51,4.32,6.0,2.37,5.02,2.79,3.49,2.09,3.63,22.46,6.0,3.07,6.28,3.9,2.37,,4.6,5.72,35.01,2.09,2.37,6.28,3.07,,5.02,3.35,3.35,,3.9,3.77,3.21,-3.927778,-6.533333,-0.588889,13.885333,,-6.027778,85.344389
US_MI_26067,2020-01-13,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,1.89,4.54,4.92,4.16,9.34,8.33,3.66,,3.28,5.3,3.41,3.41,1.77,2.52,12.49,2.9,5.55,2.15,4.92,2.77,8.07,5.17,,,4.16,5.3,2.4,3.15,2.77,4.79,1.77,4.54,19.43,4.79,2.02,5.8,3.03,4.67,4.04,,3.91,33.81,2.65,2.02,6.56,2.77,2.65,5.05,2.65,2.9,2.52,2.77,3.03,3.03,-1.405556,-4.566667,0.922222,0.211667,30.48,-2.816667,90.17042
US_MI_26067,2020-01-14,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,,5.26,5.0,1.92,6.29,8.08,5.64,1.8,3.98,5.0,3.21,3.08,1.8,2.69,10.52,2.05,6.8,2.82,4.23,,9.24,2.95,2.18,3.08,5.13,3.98,1.92,2.69,3.72,4.36,2.44,5.39,21.16,4.87,2.31,4.75,3.33,4.36,3.72,,4.23,38.61,2.95,5.13,6.54,,3.21,3.33,4.23,5.26,2.82,3.21,2.82,2.31,0.894444,-1.122222,2.911111,0.03175,30.48,-1.288889,85.395459
US_MI_26067,2020-01-15,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,2.39,3.45,6.89,2.92,5.57,7.42,4.11,,3.71,3.98,3.71,2.25,,2.78,10.21,2.25,7.03,3.71,4.64,,7.69,3.45,3.45,2.52,4.38,2.65,3.18,4.11,2.52,4.77,2.25,6.1,21.48,5.17,2.65,5.83,,5.57,4.24,2.12,5.3,31.95,2.52,3.18,6.63,2.65,2.12,4.64,4.38,4.24,2.92,1.99,,,0.944444,-2.85,3.027778,0.0,30.48,-1.555556,83.450858
US_MI_26067,2020-01-16,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,3.33,5.27,5.13,2.22,8.33,5.27,3.61,,2.92,4.44,3.19,4.44,,2.36,10.83,2.5,5.55,3.05,3.47,2.22,7.5,3.05,2.22,,6.11,5.0,3.61,2.22,1.94,3.61,3.19,5.41,21.23,4.72,2.78,6.38,3.05,4.03,4.58,2.36,4.16,35.11,2.22,5.41,5.69,2.78,2.78,4.03,4.44,3.75,,2.22,,2.5,-1.272222,-5.938889,1.883333,0.423333,,-4.738889,77.311408
US_MI_26067,2020-01-17,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,,3.53,5.22,3.39,7.62,6.49,4.23,,3.1,3.25,4.8,2.96,,3.53,12.13,3.53,7.34,1.98,2.12,2.68,7.62,2.68,2.54,1.98,4.37,6.07,2.82,2.96,4.23,5.5,2.12,5.22,20.32,5.5,2.4,5.5,2.12,4.09,4.8,2.26,4.66,31.6,3.67,4.66,4.94,2.26,4.09,4.37,3.67,2.26,4.8,2.96,,2.12,-5.905556,-8.45,-1.344444,0.127,,-11.027778,67.247562
US_MI_26067,2020-01-18,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,,3.71,5.93,5.04,9.04,4.45,3.26,,4.15,3.56,3.71,2.37,,3.11,11.12,2.22,6.97,,4.15,3.71,10.08,4.0,,2.52,4.15,4.6,2.96,,2.22,6.23,,5.19,19.57,3.26,2.82,7.71,,3.11,4.45,2.52,4.6,33.06,2.37,3.85,9.34,2.08,,4.89,5.34,2.67,2.52,3.26,2.08,,-1.688889,-6.511111,2.827778,7.450667,99.06,-3.716667,86.063612
US_MI_26067,2020-01-19,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,2.28,5.27,6.13,3.85,8.69,6.84,4.13,2.28,,4.56,3.56,4.99,,2.71,10.68,,6.84,3.85,2.99,2.42,8.26,3.99,3.42,,4.27,5.13,,3.28,2.42,3.13,2.99,6.41,17.38,6.41,2.56,5.56,2.14,2.71,2.85,,4.27,32.62,,3.85,6.7,2.99,1.99,4.56,4.27,3.42,2.99,2.14,2.99,,-5.5,-9.455556,1.216667,3.302,149.86,-8.716667,78.105637
US_MI_26067,2020-01-20,ChIJtTiltsyfIogRlfEtt9j4TTQ,Q94663,geoId/26067,US,United States of America,MI,Michigan,26067,Ionia County,US,USA,2,,,,,,,64284,34616,29668,7706,8285,8962,8447,8667,8995,7266,3987,1969,1907315,42.94,-85.07,1503,78.533333,,,,,,1.88,2.95,5.9,4.29,8.99,8.31,3.49,1.88,4.16,4.69,4.43,3.89,,2.15,13.01,3.62,7.11,,5.77,2.28,7.11,6.71,2.01,2.01,5.37,6.17,2.95,3.49,2.82,5.5,,5.63,27.49,6.04,2.15,6.04,2.55,3.89,4.69,,6.84,36.21,,3.08,7.78,,3.62,5.37,4.96,3.89,2.82,4.29,2.68,2.95,-9.772222,-15.433333,-3.927778,0.326571,124.46,-12.966667,77.544978
