location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55078,2020-01-19,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-9.033333,-13.172222,-2.622222,2.737556,265.43,-13.138889,72.300252
US_WI_55078,2020-01-20,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-8.238889,-15.105556,-3.911111,0.0,265.43,-11.955556,74.863577
US_WI_55078,2020-01-21,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,41.41,-11.794444,-18.05,-4.683333,0.036286,255.27,-14.983333,77.279928
US_WI_55078,2020-01-22,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,35.65,-4.683333,-9.811111,-0.222222,1.6764,255.27,-7.905556,78.346106
US_WI_55078,2020-01-23,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-1.405556,-4.622222,-0.194444,5.61975,294.64,-2.711111,90.959699
US_WI_55078,2020-01-24,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,45.6,0.055556,-1.488889,1.122222,1.0795,314.96,-0.588889,95.474995
US_WI_55078,2020-01-25,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,0.422222,-0.522222,1.672222,3.132667,330.2,-0.394444,94.302543
US_WI_55078,2020-01-26,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-0.072222,-1.338889,1.483333,1.0414,340.36,-1.622222,89.425256
US_WI_55078,2020-01-27,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,35.85,-0.972222,-2.355556,0.455556,1.27,330.2,-3.461111,83.35124
US_WI_55078,2020-01-28,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-3.083333,-5.722222,-0.527778,0.0,330.2,-6.622222,76.66241
US_WI_55078,2020-01-29,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-5.005556,-6.355556,-2.794444,0.0,330.2,-8.188889,78.472984
US_WI_55078,2020-01-30,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,52.28,-4.883333,-5.888889,-3.705556,0.0,330.2,-7.683333,80.847599
US_WI_55078,2020-01-31,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,40.19,-3.383333,-5.816667,0.088889,0.0,314.96,-5.716667,83.992021
US_WI_55078,2020-02-01,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,0.094444,-2.816667,2.388889,2.751667,314.96,-2.488889,82.850326
US_WI_55078,2020-02-02,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,2.333333,-2.711111,7.905556,2.6035,279.4,-1.872222,73.916569
US_WI_55078,2020-02-03,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,0.8,-4.172222,6.044444,0.0,269.24,-3.85,71.159816
US_WI_55078,2020-02-04,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-3.932099,-8.080247,2.259259,0.0,269.24,-11.679012,55.150356
US_WI_55078,2020-02-05,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,41.87,-11.098765,-18.691358,-3.123457,0.0,254.0,-17.166667,61.119212
US_WI_55078,2020-02-06,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,35.62,-7.861111,-15.294444,0.227778,0.0,254.0,-14.133333,60.982238
US_WI_55078,2020-02-07,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-6.333333,-13.0,-0.216667,0.0,254.0,-11.311111,68.192258
US_WI_55078,2020-02-08,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,57.11,-8.1,-12.872222,-2.622222,0.169333,254.0,-12.05,73.394501
US_WI_55078,2020-02-09,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-10.05,-15.633333,-5.361111,0.987778,240.03,-11.994444,85.782752
US_WI_55078,2020-02-10,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-11.088889,-21.827778,-3.372222,4.390571,314.96,-13.722222,80.97967
US_WI_55078,2020-02-11,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,39.63,-5.794444,-12.227778,-3.172222,0.0,355.6,-9.15,77.242203
US_WI_55078,2020-02-12,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-5.411111,-11.038889,2.105556,3.302,381.0,-9.411111,73.538365
US_WI_55078,2020-02-13,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-12.294444,-18.044444,0.122222,2.213429,370.84,-17.794444,63.651726
US_WI_55078,2020-02-14,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-19.955556,-28.188889,-11.383333,0.4318,364.49,-26.927778,54.035528
US_WI_55078,2020-02-15,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-9.633333,-16.438889,-1.277778,0.0,355.6,-15.15,64.204835
US_WI_55078,2020-02-16,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,,-5.783333,-13.094444,-1.8,0.2794,355.6,-12.844444,57.621852
US_WI_55078,2020-02-17,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,59.16,-5.572222,-10.844444,0.394444,0.15875,355.6,-12.105556,60.510348
US_WI_55078,2020-02-18,ChIJhUmIcqIAAogRaHC6x0ulXP4,Q500947,geoId/55078,US,United States of America,WI,Wisconsin,55078,Menominee County,US,USA,2,,,,,,,4599,2282,2317,898,779,577,453,438,577,490,268,119,1799451,45.02,-88.7,945,49.26,-2.588889,-7.516667,-0.361111,5.898444,394.97,-5.583333,79.938719
