location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NV_32023,2020-01-01,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,,8.58,4.41,7.11,6.37,6.62,8.58,,16.66,8.33,4.66,5.15,,4.17,4.17,4.9,4.41,6.62,8.58,17.4,6.37,5.88,,3.92,7.6,28.92,,5.64,3.68,,,2.938272,-3.561728,11.333333,0.028222,50.8,-4.587302,65.484247
US_NV_32023,2020-01-02,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,,8.54,3.69,7.62,3.46,4.85,,4.16,13.85,8.08,3.23,4.62,6.0,3.46,3.23,4.16,3.23,4.85,9.93,19.63,6.93,6.23,,7.39,6.0,37.87,6.93,6.7,6.0,,,5.04321,-1.950617,11.975309,0.903111,50.8,-4.214286,57.467469
US_NV_32023,2020-01-03,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,,7.33,6.14,6.14,5.91,6.14,5.43,3.31,13.0,8.27,3.78,7.33,,3.78,6.14,,5.67,4.49,5.91,20.32,3.78,5.67,4.25,,4.49,33.09,4.25,4.96,6.14,4.25,7.8,4.037037,-2.833333,12.944444,0.0,30.48,-5.492063,58.194183
US_NV_32023,2020-01-04,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,4.77,4.77,4.05,9.54,7.63,6.68,5.01,3.34,14.31,11.21,3.34,11.69,,4.05,,,4.77,,8.11,20.51,6.68,3.34,5.01,,4.29,35.77,3.34,4.05,4.05,6.2,5.01,4.080247,-3.055556,13.469136,0.0,30.48,-4.722222,58.539432
US_NV_32023,2020-01-05,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,9.57,6.46,4.07,7.18,6.94,6.22,3.35,3.59,12.92,10.77,,11.01,5.74,5.5,,4.31,,5.02,6.94,19.14,5.74,6.22,6.7,,,29.43,4.07,6.22,4.54,4.79,5.02,2.975309,-4.191358,13.425926,0.0,30.48,-6.150794,58.287686
US_NV_32023,2020-01-06,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,5.35,4.42,4.19,7.68,6.98,3.72,5.59,,13.27,9.78,5.12,10.47,5.35,,6.05,4.89,3.72,,7.68,23.74,7.45,6.05,3.72,3.49,7.22,34.22,4.42,7.45,6.52,,4.89,2.858025,-4.765432,12.111111,0.0,,-9.793651,47.250803
US_NV_32023,2020-01-07,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,5.12,5.35,3.34,11.14,11.58,5.79,6.01,,10.91,6.91,4.46,10.69,4.68,4.46,,3.12,3.34,3.12,7.13,23.39,4.9,3.79,4.23,4.68,5.35,39.65,3.56,4.9,5.35,6.46,5.35,2.666667,-4.882716,12.685185,0.0,,-8.277778,52.148367
US_NV_32023,2020-01-08,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,4.99,7.03,4.76,4.54,7.71,4.99,6.58,4.54,11.12,6.81,5.9,8.85,5.45,5.22,3.63,4.08,3.18,4.54,10.44,30.4,4.08,4.99,4.54,4.08,5.45,36.3,4.31,14.29,4.08,5.22,3.86,3.62963,-5.197531,12.475309,0.0,,-7.960317,47.729153
US_NV_32023,2020-01-09,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,6.1,8.36,5.19,11.52,5.42,7.0,6.77,5.64,13.55,8.81,4.74,9.48,6.32,3.16,3.61,4.74,3.61,3.16,8.81,23.71,6.55,5.64,3.84,,5.42,41.32,3.16,9.94,4.52,3.61,4.52,1.851852,-4.561728,9.82716,0.0,,-8.650794,53.419601
US_NV_32023,2020-01-10,ChIJJcLL_DeWvoARQyqHFcY2se4,Q484418,geoId/32023,US,United States of America,NV,Nevada,32023,Nye County,US,USA,2,,,,,,,43977,22537,21440,3928,4225,4234,3841,4182,6438,8044,6469,2616,166465,38.05,-116.45,47031,75.0,,,,,,,4.25,4.96,4.25,8.75,5.2,5.67,,,12.53,8.04,4.25,9.69,,4.02,3.55,5.67,4.73,3.55,7.09,20.33,5.44,5.2,,4.25,4.96,36.64,,6.62,4.02,3.78,4.96,0.67284,-7.098765,9.080247,0.338667,,-10.555556,53.483964
