location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OK_40049,2020-01-01,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,10.74,15.86,,21.49,14.84,11.77,24.05,,37.35,11.26,5.422222,-0.855556,12.933333,0.0,,-2.944444,55.123369
US_OK_40049,2020-01-02,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,12.2,13.14,,20.64,10.32,7.51,41.29,10.79,50.2,11.26,10.416667,5.872222,14.961111,0.0,,5.805556,73.155438
US_OK_40049,2020-01-03,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,10.78,10.33,6.74,21.11,12.13,12.13,45.82,,47.17,7.19,7.966667,4.333333,13.2,0.0,,3.116667,71.525578
US_OK_40049,2020-01-04,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,,17.4,,22.87,,9.45,33.81,7.96,45.24,10.44,4.816667,-1.488889,12.338889,0.0,,-2.5,59.225148
US_OK_40049,2020-01-05,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,9.97,8.98,,24.94,,,30.43,,48.38,,7.616667,0.444444,16.333333,0.0,,-1.266667,53.460751
US_OK_40049,2020-01-06,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,7.92,12.28,9.51,21.79,11.88,9.11,30.11,,40.81,6.34,6.172222,-1.072222,15.238889,0.0,,-2.45,54.2151
US_OK_40049,2020-01-07,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,6.61,14.39,10.5,19.83,5.44,10.89,36.55,7.78,36.55,8.55,6.088889,-2.505556,16.661111,0.0,,-5.3,44.056367
US_OK_40049,2020-01-08,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,11.15,15.77,6.92,17.3,7.31,6.15,39.99,11.54,39.22,16.54,7.75,-0.611111,17.227778,0.0,,-4.733333,41.074463
US_OK_40049,2020-01-09,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,9.86,9.86,11.44,19.32,10.25,9.46,34.7,6.31,44.95,14.98,14.461111,11.138889,19.616667,0.0,,7.911111,64.838873
US_OK_40049,2020-01-10,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,7.31,10.97,,14.99,9.14,8.41,23.76,7.68,32.9,9.5,16.155556,7.594444,21.088889,7.577667,,14.816667,91.830885
US_OK_40049,2020-01-11,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,,12.03,,23.1,,13.96,26.95,,43.31,,-0.216667,-4.183333,6.85,0.889,,-3.083333,81.26283
US_OK_40049,2020-01-12,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,9.19,9.19,10.15,19.82,10.15,,34.81,7.25,47.38,8.22,2.227778,-2.85,12.816667,0.0,,-1.427778,77.067424
US_OK_40049,2020-01-13,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,9.12,14.06,6.84,20.14,13.3,8.36,27.75,9.12,45.23,10.64,5.488889,0.933333,11.483333,0.0,,4.394444,92.739288
US_OK_40049,2020-01-14,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,9.62,12.31,10.38,15.38,7.31,12.69,26.15,9.62,45.0,8.08,13.183333,9.494444,19.327778,0.0,,11.088889,87.17684
US_OK_40049,2020-01-15,ChIJI3XV_rDosocRu_N24QgZlN4,Q484616,geoId/40049,US,United States of America,OK,Oklahoma,40049,Garvin County,US,USA,2,,,,,,,27857,13745,14112,3858,3779,3227,3467,3279,3496,3345,2142,1264,1822208,34.71,-97.31,2107,73.9,,,,,,,,14.59,8.28,12.62,9.46,6.7,27.2,14.19,39.03,11.04,13.838889,9.816667,18.644444,0.0,,11.188889,84.139388
