location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48081,2020-01-01,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,8.177778,3.866667,12.783333,0.0,,-1.339506,50.962443
US_TX_48081,2020-01-02,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,11.588889,5.738889,19.094444,0.0,,1.574074,50.772557
US_TX_48081,2020-01-03,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,10.016667,5.944444,15.8,0.0,,0.320988,51.105528
US_TX_48081,2020-01-04,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,7.855556,-0.427778,19.622222,0.0,,-3.401235,44.731293
US_TX_48081,2020-01-05,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,11.038889,2.227778,19.75,0.0,,-4.308642,33.499206
US_TX_48081,2020-01-06,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,8.016667,-0.722222,18.9,0.0,,-2.506173,46.941957
US_TX_48081,2020-01-07,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,6.305556,-3.938889,17.833333,0.0,,-7.925926,35.215619
US_TX_48081,2020-01-08,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,7.866667,-0.816667,18.088889,0.0,,-6.104938,35.850083
US_TX_48081,2020-01-09,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,16.122222,12.277778,23.366667,0.0,,8.333333,59.969046
US_TX_48081,2020-01-10,ChIJ8y-qEB_TV4YRV3KniZz5CGc,Q108846,geoId/48081,US,United States of America,TX,Texas,48081,Coke County,US,USA,2,,,,,,,3285,1630,1655,372,392,304,340,298,477,477,397,228,1814809,31.88,-100.53,2403,81.2,,16.533333,11.938889,22.127778,0.0,,9.734568,64.037007
