location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21071,2020-01-01,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.83,8.49,14.36,8.49,6.53,7.83,23.5,11.75,,10.45,6.53,5.55,6.53,5.22,10.77,29.7,9.47,7.18,7.18,7.18,47.98,4.57,6.86,8.16,12.73,4.506173,1.993827,8.62963,0.0,,-2.141975,62.201612
US_KY_21071,2020-01-02,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.99,11.86,10.64,11.55,5.47,6.39,24.63,16.12,6.08,11.25,5.17,12.47,8.51,5.47,7.3,43.48,9.73,9.73,,6.99,44.09,4.56,7.3,4.87,6.08,4.716049,0.512346,9.722222,0.0,,-1.691358,64.249086
US_KY_21071,2020-01-03,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,5.77,6.38,16.1,6.08,10.63,4.56,15.8,13.37,,10.03,6.38,4.86,4.86,4.56,9.42,33.11,10.63,7.59,,8.2,46.18,5.47,9.11,6.38,7.59,10.246914,5.549383,12.462963,8.212667,,10.236111,98.323749
US_KY_21071,2020-01-04,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.13,10.65,11.94,10.32,10.32,4.52,18.71,12.58,8.07,8.71,,6.45,4.52,6.45,4.52,29.36,9.03,8.71,,9.36,45.17,8.07,11.62,13.87,4.52,9.006173,1.314815,12.685185,7.112,,7.987654,93.38603
US_KY_21071,2020-01-05,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,,9.28,10.94,7.96,6.3,4.64,15.25,10.94,,9.61,,10.61,8.95,5.63,7.62,27.18,6.3,9.94,,7.29,43.76,4.64,6.3,11.27,4.97,1.734568,-0.098765,8.783951,1.4605,,-2.833333,71.773018
US_KY_21071,2020-01-06,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.42,10.08,12.83,12.83,9.78,8.25,18.03,15.28,7.64,12.83,,5.8,4.28,7.94,13.75,33.61,9.17,9.17,4.58,11.61,47.66,4.89,8.86,4.89,4.58,3.203704,-1.185185,8.518519,0.0,,-3.104938,63.774894
US_KY_21071,2020-01-07,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,9.79,10.66,12.39,6.63,7.49,9.22,17.57,10.37,4.61,12.1,4.03,7.49,5.47,6.63,10.66,31.98,6.63,5.18,4.32,8.64,49.55,,7.49,4.9,7.2,1.975309,-1.265432,7.123457,1.100667,,-2.493827,72.757745
US_KY_21071,2020-01-08,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,,9.07,14.52,13.91,5.14,6.66,14.22,12.1,4.84,11.19,6.66,7.26,6.05,6.05,15.73,42.65,10.89,8.77,7.87,10.29,42.05,6.96,10.89,6.35,7.26,3.302469,-1.518519,8.549383,0.254,,-4.950617,55.278501
US_KY_21071,2020-01-09,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,5.65,7.22,15.7,12.56,10.99,7.22,18.53,10.05,6.59,12.88,7.54,7.22,,,12.88,44.28,9.11,9.42,6.91,9.42,41.77,5.97,16.64,6.59,9.11,4.648148,-1.987654,14.666667,0.0,,-5.265432,49.991823
US_KY_21071,2020-01-10,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,9.92,7.44,13.96,10.54,6.2,6.51,14.58,7.13,5.89,13.34,4.96,5.27,4.65,6.51,12.1,31.63,8.37,8.68,6.82,8.99,50.55,,8.06,7.13,6.51,12.185185,8.135802,17.209877,0.0,,2.567901,52.403741
