location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AK_02122,2020-01-01,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,4.13,7.68,8.27,7.98,,5.02,4.13,4.73,14.18,,8.27,,,9.75,5.32,,5.91,,4.13,4.73,5.02,24.22,4.73,7.09,,,8.86,32.2,5.02,7.68,,,,-8.652778,-12.680556,1.798611,9.68375,-11.824074,80.395966
US_AK_02122,2020-01-02,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,,9.32,7.28,12.52,10.48,,5.53,4.08,11.94,,12.52,,9.03,9.61,,4.95,,,5.24,5.83,6.7,30.58,8.74,6.41,5.53,4.08,9.03,44.85,,6.7,4.66,4.66,6.99,-14.958333,-18.506944,-9.166667,0.508,-17.907407,73.648506
US_AK_02122,2020-01-03,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,8.55,8.55,6.95,10.42,9.08,6.68,7.75,5.08,18.43,,8.02,,,7.48,,5.08,6.14,3.74,4.01,5.61,6.95,30.19,10.95,5.08,5.08,5.88,4.54,45.95,,4.81,6.41,4.27,,-11.909722,-16.861111,-8.743056,0.381,-14.759259,75.233421
US_AK_02122,2020-01-04,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,4.54,7.95,,6.81,7.67,6.53,6.25,5.39,9.94,4.83,3.98,,6.53,8.52,3.98,,3.98,4.54,5.39,,6.53,26.97,8.23,7.95,6.25,,5.68,38.61,,5.96,5.68,,5.39,-14.118056,-18.625,-8.784722,0.0,-16.296296,74.174119
US_AK_02122,2020-01-05,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,4.65,5.82,6.98,10.47,8.14,4.94,8.14,5.52,18.02,,9.3,4.07,,5.23,5.82,6.11,5.23,,,,,18.9,8.43,11.05,4.07,4.36,6.69,36.34,5.52,7.85,5.52,,,-17.472222,-20.118056,-13.013889,0.0,-19.537037,70.131379
US_AK_02122,2020-01-06,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,5.36,7.33,,9.59,8.74,4.51,8.74,8.74,14.11,4.51,5.64,,5.08,10.16,4.23,3.95,5.36,,9.31,4.51,7.05,31.31,7.05,10.16,5.92,5.36,3.95,41.47,4.51,7.9,5.92,,,-14.854167,-19.993056,-12.159722,0.0,-17.018519,74.608505
US_AK_02122,2020-01-07,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,5.74,10.32,8.03,11.18,10.04,6.02,5.45,5.16,16.92,,8.89,,6.02,10.9,4.59,4.88,4.88,6.31,5.16,5.16,7.74,34.12,8.6,9.75,6.31,5.74,7.17,40.43,6.59,9.75,8.03,6.02,,-17.770833,-20.5,-14.034722,0.0,-19.611111,75.463507
US_AK_02122,2020-01-08,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,4.43,6.09,6.65,12.46,8.86,5.82,6.09,,13.02,4.43,6.09,,7.2,10.25,5.54,5.26,4.15,,4.71,6.09,4.15,44.03,5.26,10.25,5.26,8.31,8.86,38.49,6.37,19.66,4.43,5.26,5.26,-18.715278,-21.340278,-14.763889,0.0,-21.527778,69.997042
US_AK_02122,2020-01-09,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,4.68,7.61,5.85,12.58,8.48,6.14,5.56,4.39,12.87,,10.24,,,5.56,5.85,6.44,4.68,4.1,,5.27,9.66,35.4,7.32,8.19,,5.85,6.14,38.04,4.39,16.09,7.9,,,-16.597222,-20.138889,-12.965278,0.0,-18.555556,74.7062
US_AK_02122,2020-01-10,ChIJFfW41gNZwVYRamRfTxj0RdY,Q512713,geoId/02122,US,United States of America,AK,Alaska,02122,Kenai Peninsula Borough,US,USA,2,,,,,,,58558,30540,28018,7321,7200,7002,7251,6742,8576,8755,4170,1541,2605325,60.416667,-151.25,64114,80.166667,,,,,3.98,6.89,7.69,11.4,5.83,6.1,6.1,4.77,10.87,4.24,5.83,,5.04,8.49,6.63,,5.04,,,5.57,9.02,27.05,6.89,6.63,,5.57,5.57,40.04,6.63,5.83,5.57,4.24,6.1,-17.3125,-20.875,-12.305556,0.0,-20.175926,65.814783
