location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ID_16057,2020-01-11,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,6.36,9.65,4.83,10.75,7.68,4.17,,4.61,6.14,4.39,3.51,3.51,3.07,12.29,3.51,6.14,5.71,3.95,,8.34,3.73,3.51,,,4.61,,3.07,3.51,5.92,3.95,6.8,26.77,6.58,3.51,6.58,,5.05,7.24,,5.05,41.25,,3.73,11.63,,,5.05,4.39,4.83,5.27,3.95,3.29,,0.505556,-5.15,2.294444,8.1534,64.77,-1.839506,85.20974
US_ID_16057,2020-01-12,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,2.92,7.7,4.37,7.7,9.37,6.45,,5.21,7.08,4.58,3.12,,3.33,13.74,2.92,8.33,,6.87,,9.79,3.75,,,5.0,5.0,3.96,3.96,5.83,3.96,,5.62,25.61,5.41,5.21,7.29,3.54,3.12,3.96,,6.66,39.35,3.54,4.37,8.12,3.33,,5.41,3.96,,,,3.54,3.75,0.372222,-1.061111,2.077778,6.3754,104.14,-2.283951,83.03041
US_ID_16057,2020-01-13,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,4.89,7.97,5.62,7.61,9.78,8.52,2.9,4.35,5.8,4.89,3.08,,,13.04,3.62,6.88,3.44,6.16,,8.52,6.34,,,5.98,7.43,3.08,3.08,4.35,,2.54,7.61,29.53,7.97,2.9,6.16,3.81,4.17,2.9,,6.52,41.49,2.54,,9.96,2.72,,7.79,4.89,4.17,2.72,,5.25,,-2.866667,-6.777778,1.383333,6.0452,119.38,-5.462963,82.286539
US_ID_16057,2020-01-14,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,2.58,4.68,7.26,5.81,7.75,7.26,6.13,,2.74,5.49,3.71,,,,13.88,3.07,4.2,,7.26,2.58,7.1,3.87,3.07,,3.39,4.84,2.26,4.2,4.52,5.17,3.07,7.26,24.37,5.97,3.39,6.13,3.87,3.39,3.39,4.36,5.33,36.96,,4.68,6.13,3.07,,6.29,3.55,3.39,,2.58,4.52,2.58,-6.472222,-8.644444,-2.516667,2.9718,160.02,-8.240741,86.499804
US_ID_16057,2020-01-15,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,2.63,2.79,9.29,2.79,11.61,11.3,4.64,3.1,3.71,5.57,2.63,3.25,,2.79,12.07,3.25,5.11,,8.82,,6.34,5.57,,,6.96,2.48,2.48,,4.18,4.49,3.4,5.73,26.93,4.33,4.64,8.51,3.1,7.43,5.88,3.87,5.42,38.07,2.94,5.42,8.05,2.79,3.56,4.64,4.18,3.56,4.33,,6.04,4.33,-7.633333,-11.25,-2.766667,2.173111,153.246667,-10.530864,79.488743
US_ID_16057,2020-01-16,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,3.35,6.24,5.02,4.57,8.37,10.35,5.18,,5.48,7.0,4.57,,,,12.48,,5.33,2.74,4.11,,9.9,3.5,2.13,,6.39,5.94,2.74,4.11,4.11,3.65,3.81,7.0,24.82,6.7,3.96,8.07,5.02,4.11,5.33,3.04,6.24,38.97,,3.96,6.7,2.13,3.5,5.79,4.26,3.65,2.59,,3.2,,-1.022222,-7.861111,3.016667,1.1684,143.086667,-4.283951,80.652627
US_ID_16057,2020-01-17,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,6.32,7.93,6.48,6.96,10.2,4.37,,4.05,4.86,3.24,2.92,,2.59,7.93,3.4,5.5,,5.34,,8.74,7.45,,,4.37,3.72,2.75,3.24,7.45,5.67,3.4,4.05,21.54,5.34,2.59,5.18,3.56,3.89,5.02,3.56,6.8,32.55,,3.56,5.02,4.05,3.08,5.99,5.5,2.75,2.59,4.21,,2.43,-2.8,-6.972222,2.4,2.7686,143.086667,-4.518519,87.949312
US_ID_16057,2020-01-18,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,,4.95,9.9,4.76,10.09,8.18,4.95,,5.14,7.61,4.95,3.04,3.04,2.85,11.23,3.43,4.76,4.38,7.61,,7.99,5.52,,,4.19,5.14,3.62,4.57,5.71,6.47,4.57,5.33,27.03,7.04,3.24,7.99,2.85,4.95,7.23,,5.71,41.87,2.85,3.24,6.28,3.81,,4.38,3.43,5.52,2.85,4.76,3.43,3.24,-2.538889,-7.066667,1.222222,0.889,127.0,-4.623457,85.346092
US_ID_16057,2020-01-19,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,3.51,3.7,11.83,4.99,11.28,9.8,2.96,5.36,2.96,5.55,3.51,4.44,,3.7,14.42,4.07,8.51,4.99,4.07,3.14,7.21,5.92,,,5.73,5.36,3.7,5.73,5.73,3.7,,5.18,27.18,4.44,3.51,7.03,4.25,2.59,4.07,,6.1,37.9,2.96,2.59,5.73,,,7.39,4.81,4.25,4.44,4.81,4.81,3.14,0.727778,-4.066667,3.733333,0.9144,120.226667,-1.617284,85.770308
US_ID_16057,2020-01-20,ChIJu4UvpPP3n1QRjXaMHIRO7TI,Q284840,geoId/16057,US,United States of America,ID,Idaho,16057,Latah County,US,USA,2,,,,,,,39741,20300,19441,4277,5775,10342,4528,3660,3904,3944,2125,1186,1742095,46.84,-116.676667,2789,80.3,,,,,3.83,7.0,8.5,4.83,9.0,10.67,4.5,,4.0,6.0,3.5,4.83,3.0,3.33,14.5,4.33,6.33,4.67,9.67,2.67,9.84,6.33,,3.0,6.67,6.0,3.67,4.67,6.67,7.67,3.83,8.0,26.84,7.17,3.33,6.0,3.17,5.67,5.67,2.67,7.83,40.51,3.33,2.83,5.33,3.33,3.5,9.67,6.0,4.83,,5.83,3.17,,0.605556,-1.988889,3.916667,0.028222,129.54,-1.592593,85.963687
