location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29083,2020-01-11,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,,,10.3,9.91,,14.27,7.53,31.71,10.3,-3.75,-7.375,0.916667,23.5712,30.48,-4.666667,93.436191
US_MO_29083,2020-01-12,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,9.82,6.54,14.32,6.14,9.41,18.41,,27.82,7.36,-4.52381,-7.095238,-1.246032,0.6096,50.8,-5.626984,92.156136
US_MO_29083,2020-01-13,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,7.68,8.03,5.58,16.75,7.68,,29.66,9.07,29.31,10.12,0.484127,-4.174603,7.706349,0.042333,30.48,-0.555556,92.84178
US_MO_29083,2020-01-14,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,5.8,6.14,6.14,19.46,8.88,6.49,31.07,6.49,32.78,8.54,5.515873,2.515873,9.626984,0.0,,4.166667,91.239831
US_MO_29083,2020-01-15,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,7.18,,6.82,23.69,7.18,10.05,26.93,5.38,29.44,,7.825397,1.555556,11.5,0.036286,,6.698413,92.658086
US_MO_29083,2020-01-16,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,7.46,5.76,14.23,9.15,,25.75,5.08,32.53,,-4.984127,-9.039683,0.952381,0.036286,,-9.087302,73.119583
US_MO_29083,2020-01-17,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,7.07,10.05,8.93,15.26,5.96,7.82,21.59,,22.71,,-2.063492,-4.603175,0.444444,2.54,,-5.007937,80.321679
US_MO_29083,2020-01-18,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,8.95,9.35,,13.83,8.54,6.1,29.28,,30.9,9.76,1.373016,-2.325397,7.071429,7.450667,,-1.880952,79.057935
US_MO_29083,2020-01-19,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,6.44,,15.7,,8.05,13.28,6.84,24.15,,-5.81746,-10.150794,-1.02381,0.145143,,-13.936508,52.897964
US_MO_29083,2020-01-20,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,7.6,,14.44,9.12,9.12,28.12,9.5,37.25,7.98,-9.666667,-11.603175,-7.055556,0.0,,-13.873016,71.587424
US_MO_29083,2020-01-21,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,9.71,10.05,6.58,21.84,13.17,7.97,24.95,6.58,36.74,6.24,-9.047619,-14.18254,-1.119048,0.1524,30.48,-11.634921,81.690931
US_MO_29083,2020-01-22,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,9.21,5.8,15.35,9.55,6.82,23.54,5.46,25.93,7.85,-0.436508,-2.444444,0.873016,0.2032,,-3.452381,80.263211
US_MO_29083,2020-01-23,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,6.03,5.36,20.79,9.05,9.05,30.51,5.36,27.82,7.38,1.428571,0.619048,2.555556,2.4892,,1.111111,97.815153
US_MO_29083,2020-01-24,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,8.76,8.76,,21.7,8.76,9.14,27.41,10.28,30.07,7.23,0.428571,-0.185185,1.972222,3.4544,99.06,-0.111111,96.260089
