location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45053,2020-01-01,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,5.81,8.87,6.11,11.92,9.48,,7.34,,20.48,5.5,,6.73,4.28,8.25,,,6.11,5.81,19.57,4.28,8.25,,4.89,5.81,41.58,,6.73,7.95,,,10.455556,5.761111,16.516667,0.0,,0.320988,49.97164
US_SC_45053,2020-01-02,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,6.68,8.07,4.17,9.18,8.07,5.01,9.18,5.01,15.86,15.03,,5.29,5.29,5.01,4.73,3.9,9.46,12.52,22.54,5.01,8.35,,6.96,8.35,48.42,3.9,7.24,6.68,,5.29,10.255556,5.555556,16.488889,0.0,,4.907407,70.843086
US_SC_45053,2020-01-03,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,,9.6,,9.88,,5.37,10.16,5.37,12.71,10.16,,7.62,5.93,6.49,5.37,4.24,,11.86,24.85,5.65,11.01,5.93,4.52,4.24,40.66,,10.45,6.49,,,18.544444,11.95,23.072222,0.0,,15.660494,82.845865
US_SC_45053,2020-01-04,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,4.23,8.75,,7.9,3.95,9.31,5.64,4.52,12.42,9.31,,10.44,9.6,3.95,,,,7.62,22.86,6.77,9.31,,5.08,5.64,45.44,,4.23,8.18,3.95,7.06,18.95,15.727778,22.383333,0.6604,,15.987654,82.476018
US_SC_45053,2020-01-05,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,5.77,7.29,,8.8,4.25,6.07,5.16,,19.13,7.59,6.07,8.5,,4.86,4.55,5.77,,8.5,20.04,6.07,6.98,,,5.46,44.02,6.68,5.77,4.55,,6.38,9.422222,3.522222,17.905556,1.6764,,-0.080247,51.79711
US_SC_45053,2020-01-06,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,5.93,11.02,5.93,6.5,5.37,11.02,5.37,3.96,15.54,8.48,,12.15,,,,4.24,,6.22,23.45,8.76,8.19,,3.96,5.93,44.08,4.52,8.19,,6.22,5.37,9.611111,3.961111,18.622222,0.0,,2.746914,63.122149
US_SC_45053,2020-01-07,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,5.06,8.15,,6.46,9.55,7.02,7.02,9.55,11.8,8.99,9.83,7.3,,,,7.02,4.78,6.74,22.19,7.3,5.9,4.78,4.5,4.5,41.58,5.34,,7.3,4.78,7.02,12.094444,6.455556,19.533333,0.0,,6.561728,69.646792
US_SC_45053,2020-01-08,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,4.87,7.44,,9.73,,4.01,,,14.6,5.15,,7.16,,,4.29,6.3,,8.01,32.05,5.44,10.3,,,4.87,44.93,6.01,14.88,4.87,5.44,6.58,10.0,2.65,18.344444,0.0,,-0.845679,47.715725
US_SC_45053,2020-01-09,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,4.88,6.88,,11.19,9.75,7.46,4.59,7.46,11.19,7.17,,9.75,6.02,,4.88,5.74,,8.61,32.7,5.45,9.47,,4.02,4.02,43.32,6.6,13.2,7.17,7.17,6.02,9.555556,2.183333,19.738889,0.0,,3.950617,69.518489
US_SC_45053,2020-01-10,ChIJyXEoeS6T-4gRnI4OR2ugugE,Q112957,geoId/45053,US,United States of America,SC,South Carolina,45053,Jasper County,US,USA,2,,,,,,,28522,14464,14058,3282,3136,3923,3551,3259,4066,4072,2335,898,1857004,32.44,-81.02,1512,75.85,,,,,,,6.28,10.28,,12.28,8.0,4.28,6.28,6.57,8.85,5.71,,7.43,4.86,4.57,,6.0,4.0,10.57,23.42,4.86,7.43,,,4.28,42.84,5.71,8.0,6.0,,5.71,15.966667,12.505556,22.027778,0.0,,12.388889,79.543998
