location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26137,2020-01-11,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.81,,8.02,8.98,4.81,4.49,11.87,8.02,,5.13,,,,,17.96,5.45,4.81,6.41,32.39,6.41,,-2.211111,-7.038889,4.972222,5.588,99.06,-4.54321,83.437644
US_MI_26137,2020-01-12,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.44,5.44,10.55,,5.78,,9.19,4.76,,8.85,,7.49,,6.12,24.5,,7.14,,39.47,6.8,5.78,-10.0,-14.933333,-1.955556,3.9116,,-13.345679,75.833055
US_MI_26137,2020-01-13,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.68,,8.8,7.95,4.26,7.95,13.06,8.8,,11.64,5.68,,4.26,7.38,21.86,5.68,5.68,,33.78,,,-5.561111,-9.933333,-1.588889,1.524,50.8,-7.253086,87.105765
US_MI_26137,2020-01-14,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.14,,9.72,7.72,6.29,,14.0,9.72,4.0,6.29,5.14,6.0,4.29,6.86,19.15,6.29,5.14,4.86,38.87,,6.57,-0.988889,-5.0,1.183333,0.508,50.8,-2.271605,90.28526
US_MI_26137,2020-01-15,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,8.24,7.1,9.66,8.52,4.54,,9.38,7.1,4.83,7.39,4.83,4.26,5.4,6.53,18.75,3.98,6.82,,34.66,,8.81,-0.016667,-2.011111,1.205556,0.5588,78.74,-3.018519,79.74257
US_MI_26137,2020-01-16,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.88,5.74,5.45,6.31,6.88,5.45,10.61,5.74,4.3,10.04,,6.88,6.6,5.74,21.51,4.59,4.88,,39.87,5.16,4.88,-3.483333,-7.794444,0.122222,0.8128,78.74,-5.623457,84.398199
US_MI_26137,2020-01-17,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,7.72,8.55,4.69,,8.82,9.1,5.79,3.86,6.07,,5.51,4.14,8.55,22.33,4.41,4.14,,32.53,4.96,4.96,-7.644444,-9.072222,-3.527778,1.5748,78.74,-11.685185,71.858946
US_MI_26137,2020-01-18,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,6.66,8.48,5.75,4.24,8.18,9.39,6.36,,7.87,,4.84,,5.45,16.35,5.15,6.36,,39.97,6.66,6.66,-4.683333,-8.172222,-1.166667,0.762,99.06,-6.537037,85.811346
US_MI_26137,2020-01-19,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,6.63,7.58,8.21,5.68,4.42,5.05,13.26,8.52,,9.47,,7.58,,6.94,26.2,6.31,,5.68,38.19,4.42,,-6.338889,-10.861111,-1.344444,9.2456,149.86,-9.5,77.640916
US_MI_26137,2020-01-20,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.08,9.57,8.68,5.98,4.49,6.88,13.16,6.88,,7.78,,4.49,6.28,8.68,18.84,,5.38,,33.5,7.78,5.38,-9.716667,-17.827778,-3.616667,1.2192,299.72,-13.216049,75.853019
US_MI_26137,2020-01-21,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.54,9.04,10.5,4.67,6.13,,18.09,6.42,7.29,6.71,5.25,5.25,7.88,5.54,25.09,7.88,6.42,7.0,40.27,6.13,11.67,-5.388889,-13.111111,-1.627778,0.0,299.72,-9.080247,74.587387
US_MI_26137,2020-01-22,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,,7.21,6.91,6.61,5.71,15.92,5.41,4.81,6.31,4.81,4.21,4.51,8.71,31.55,5.11,6.31,,34.85,7.81,5.71,-1.383333,-4.733333,2.683333,0.0,299.72,-5.141975,74.552862
US_MI_26137,2020-01-23,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.16,6.07,7.28,5.46,,7.28,19.42,6.07,,8.19,6.67,,5.76,8.49,28.52,5.76,5.76,6.98,36.1,5.76,6.07,-0.45,-2.861111,2.35,0.2032,299.72,-4.067901,75.540463
US_MI_26137,2020-01-24,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,7.29,10.21,4.67,4.96,,22.47,6.71,4.38,9.04,4.08,,4.08,6.71,31.51,5.84,9.04,6.71,39.39,7.0,,0.511111,-1.955556,2.566667,2.2352,299.72,-1.395062,86.447833
