location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13189,2020-01-01,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,8.46,,,20.89,10.44,,21.88,,48.24,7.96,8.283951,3.623457,14.203704,0.0,-1.642857,49.974021
US_GA_13189,2020-01-02,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,10.37,12.72,9.42,18.84,9.42,9.89,30.62,12.25,49.94,10.37,7.716049,4.561728,12.302469,0.6096,3.071429,72.205503
US_GA_13189,2020-01-03,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,,8.54,12.81,26.1,9.97,8.07,29.43,9.49,42.72,7.59,15.265432,7.62963,23.567901,6.35,13.587302,86.289317
US_GA_13189,2020-01-04,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,14.2,9.3,11.75,16.65,10.29,8.81,29.87,11.75,48.48,12.24,15.54321,11.030864,20.141975,23.1648,11.928571,78.288342
US_GA_13189,2020-01-05,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,7.88,13.8,,19.22,8.38,7.88,30.06,12.32,45.33,11.83,6.753086,1.209877,14.845679,1.552222,-1.373016,56.129186
US_GA_13189,2020-01-06,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,,10.19,,14.36,10.65,9.73,18.52,10.65,48.16,,8.54321,2.123457,17.697531,0.0,1.063492,59.884115
US_GA_13189,2020-01-07,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,9.72,11.74,7.69,17.41,14.58,14.98,34.01,12.55,33.61,8.91,10.611111,5.567901,17.061728,0.0,4.666667,66.611713
US_GA_13189,2020-01-08,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,8.11,8.51,7.29,15.4,9.32,10.94,28.77,8.51,37.69,13.37,8.290123,0.660494,16.345679,0.112889,-2.380952,48.514358
US_GA_13189,2020-01-09,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,,10.58,7.74,15.88,,10.99,30.53,8.96,33.38,9.77,9.018519,1.635802,18.635802,0.0,0.690476,56.805
US_GA_13189,2020-01-10,ChIJXzWxFKl294gRvmy_mjAa7cs,Q492066,geoId/13189,US,United States of America,GA,Georgia,13189,McDuffie County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21511,10049,11462,2963,3030,2564,2404,2453,2969,2672,1686,770,1073926,33.48,-82.48,690,74.04,,,,,,5.83,9.33,7.78,10.5,8.94,11.28,21.78,8.17,34.22,10.89,14.240741,9.512346,19.716049,0.381,8.5,67.271543
