location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51685,2020-01-11,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,7.67,12.18,,14.88,,11.73,16.24,9.92,33.83,,14.244444,6.411111,20.966667,0.03175,,10.444444,77.831846
US_VA_51685,2020-01-12,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,9.04,,11.75,15.37,10.85,,19.43,7.23,34.8,6.78,18.388889,10.033333,21.044444,9.9822,,11.561728,64.51247
US_VA_51685,2020-01-13,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,11.43,7.47,14.95,8.79,,20.66,9.23,28.57,,8.594444,4.961111,15.283333,0.9652,,3.969136,73.658425
US_VA_51685,2020-01-14,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,11.44,7.78,10.06,13.72,,,20.59,,39.8,,6.527778,3.461111,10.005556,0.7874,,5.364198,93.443755
US_VA_51685,2020-01-15,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.55,6.84,12.83,,8.55,,19.67,,35.48,,8.472222,4.261111,12.55,0.9144,,6.91358,90.545605
US_VA_51685,2020-01-16,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,6.99,7.81,7.4,12.74,8.22,9.04,29.59,6.17,35.34,,9.977778,5.477778,13.505556,0.0254,,1.987654,58.016291
US_VA_51685,2020-01-17,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,6.68,,9.6,15.44,7.93,,17.94,,28.37,,1.672222,-1.516667,8.955556,0.0,,-9.814815,42.719415
US_VA_51685,2020-01-18,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,15.19,9.83,,12.96,10.72,,14.3,,35.75,,-1.322222,-4.444444,2.116667,0.423333,,-6.302469,70.074504
US_VA_51685,2020-01-19,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,10.65,,8.43,9.32,,21.3,8.88,37.72,,4.361111,-2.122222,7.505556,3.6068,,-0.513889,71.466551
US_VA_51685,2020-01-20,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,7.58,,,18.28,,,18.73,,32.1,,-1.744444,-4.816667,5.266667,0.1016,,-11.944444,46.271638
US_VA_51685,2020-01-21,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,9.73,12.69,19.88,7.19,6.34,31.3,,43.15,6.77,-2.033333,-5.877778,2.538889,0.0,,-11.179012,50.291869
US_VA_51685,2020-01-22,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.5,8.08,7.67,19.79,6.87,,27.87,,33.52,,-1.716667,-7.527778,4.633333,0.0,,-9.561728,55.892421
US_VA_51685,2020-01-23,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,11.1,11.51,9.86,21.37,7.4,6.99,29.18,,36.98,6.58,-1.205556,-7.072222,6.066667,0.0,,-6.716049,67.848428
US_VA_51685,2020-01-24,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,11.1,8.96,10.24,20.92,,7.68,28.17,,28.17,,4.427778,-2.75,10.566667,0.0,,-0.259259,72.383158
US_VA_51685,2020-01-25,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,11.35,8.3,7.86,23.58,6.99,7.42,26.64,8.3,30.57,,9.022222,3.172222,10.905556,28.5496,,6.703704,85.582699
US_VA_51685,2020-01-26,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,6.0,7.61,8.01,36.03,,8.81,36.83,,33.63,,4.572222,-1.016667,10.305556,0.6858,,0.024691,73.595453
US_VA_51685,2020-01-27,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,9.23,8.81,29.38,,,47.42,,33.99,7.55,4.405556,-1.127778,10.333333,0.0254,,-1.530864,66.22635
US_VA_51685,2020-01-28,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,8.45,,26.16,7.25,,41.86,,35.02,,5.783333,0.988889,9.6,0.0,,-1.925926,58.013892
US_VA_51685,2020-01-29,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.37,7.34,7.78,22.04,7.34,,29.38,,27.22,6.48,5.061111,2.5,8.133333,0.0,,-3.419753,54.717046
US_VA_51685,2020-01-30,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,9.39,12.67,,26.75,8.92,,39.9,,39.9,,0.644444,-3.788889,6.7,0.0,,-5.604938,64.427249
US_VA_51685,2020-01-31,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,10.96,,31.44,,,31.44,8.57,29.05,9.05,2.172222,-3.038889,6.677778,0.0,,-2.648148,71.646559
US_VA_51685,2020-02-01,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.21,8.66,8.66,15.96,14.13,,26.9,,32.37,,2.922222,-3.027778,10.333333,0.6096,,-0.209877,81.361423
US_VA_51685,2020-02-02,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.25,,6.52,17.81,,6.52,26.5,,29.97,,5.672222,-1.45,13.472222,1.27,,1.138889,73.09093
US_VA_51685,2020-02-03,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.19,7.28,6.82,18.65,,,36.84,,38.66,,9.85,1.144444,18.438889,0.0508,,0.901235,55.313083
US_VA_51685,2020-02-04,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,7.48,11.22,14.03,16.83,,7.01,27.12,,36.0,7.95,14.283333,8.65,19.805556,0.169333,,5.567901,55.741904
US_VA_51685,2020-02-05,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.0,,11.3,15.07,,,36.72,,34.84,,9.827778,3.661111,19.088889,0.4445,,5.777778,75.84509
US_VA_51685,2020-02-06,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,8.8,7.48,23.76,7.92,10.12,25.08,,38.28,,4.383333,3.161111,8.111111,2.5908,,3.493827,94.344019
US_VA_51685,2020-02-07,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,9.95,6.37,16.72,8.36,6.77,32.64,5.97,35.43,,9.105556,3.5,14.844444,19.1516,,4.598765,73.683178
