location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MD_24029,2020-01-12,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,9.94,10.46,,13.6,8.37,,23.02,9.94,30.34,7.85,16.265432,11.62963,19.728395,0.762,,10.319444,69.619234
US_MD_24029,2020-01-13,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,6.81,14.53,11.8,14.07,12.71,,22.7,,40.4,,7.777778,5.222222,12.983333,0.5334,,4.322222,80.279008
US_MD_24029,2020-01-14,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,8.5,10.86,,10.86,8.03,7.56,21.25,,50.06,,5.794444,3.883333,8.061111,0.036286,,5.055556,97.008645
US_MD_24029,2020-01-15,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,8.87,9.34,12.14,9.34,,27.54,7.0,39.68,,7.394444,4.944444,10.894444,0.028222,,6.244444,92.396042
US_MD_24029,2020-01-16,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,9.91,12.27,13.69,,8.49,29.73,,41.05,9.44,8.65,5.516667,11.916667,0.0,,1.711111,61.920676
US_MD_24029,2020-01-17,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,9.38,,,10.78,10.78,13.59,24.38,8.44,31.88,,1.177778,-0.95,5.183333,0.0,,-9.033333,46.756413
US_MD_24029,2020-01-18,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,12.04,,17.82,12.04,,26.0,9.63,34.19,8.19,-1.294444,-3.316667,1.622222,0.762,,-7.5,62.428314
US_MD_24029,2020-01-19,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,7.23,13.56,,14.92,,,21.25,10.85,37.52,9.04,4.177778,-0.088889,6.322222,0.762,,-0.677778,70.860283
US_MD_24029,2020-01-20,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,13.21,9.08,15.69,15.27,6.61,7.84,21.05,6.61,32.61,,-1.727778,-3.777778,1.227778,0.0,,-10.911111,49.17831
US_MD_24029,2020-01-21,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,6.26,6.65,7.83,12.91,10.17,8.61,23.48,10.17,47.74,7.43,-2.022222,-5.155556,1.527778,0.0,,-10.944444,50.886955
US_MD_24029,2020-01-22,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,9.51,5.95,13.48,13.48,,33.69,,35.67,7.13,-1.177778,-4.783333,2.8,0.0,,-7.611111,62.357257
US_MD_24029,2020-01-23,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,7.94,7.94,7.15,9.13,12.7,6.75,23.82,10.72,39.7,8.34,-0.6,-4.533333,4.127778,0.0,,-4.6,76.225071
US_MD_24029,2020-01-24,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,8.56,13.04,24.87,11.41,7.34,33.43,10.19,37.51,6.52,3.627778,-1.333333,10.883333,0.0,,0.222222,79.094894
US_MD_24029,2020-01-25,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,10.41,6.79,24.0,,,36.68,9.51,36.68,,8.083333,5.588889,10.255556,4.318,50.8,6.377778,89.18698
