location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05149,2020-01-01,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,9.96,9.34,9.96,,20.54,,35.48,,2.993056,-2.402778,11.041667,0.0,,-2.770833,66.267085
US_AR_05149,2020-01-02,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,,,15.46,13.61,25.98,9.28,39.59,,9.840278,6.972222,12.888889,0.0,,5.222222,73.074285
US_AR_05149,2020-01-03,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,10.24,14.46,,9.64,24.11,,51.83,10.85,11.826389,9.166667,14.590278,6.858,,10.0625,88.995603
US_AR_05149,2020-01-04,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,,,17.86,,26.45,,29.1,,6.6875,1.409722,12.472222,0.6985,,-1.854167,54.535965
US_AR_05149,2020-01-05,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,,11.19,16.16,,29.21,,44.75,,4.861111,-3.333333,17.9375,0.0,,-1.333333,64.501662
US_AR_05149,2020-01-06,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,12.66,8.1,18.23,12.15,27.34,,33.93,,6.215278,-0.736111,15.076389,0.0,,0.5,67.030944
US_AR_05149,2020-01-07,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,,,,7.0,18.37,,31.06,6.56,6.541667,-0.743056,15.291667,0.0,,-2.375,53.235565
US_AR_05149,2020-01-08,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,,11.29,12.96,12.96,28.02,,28.44,11.29,5.256944,-3.104167,17.777778,0.0,,-2.555556,57.513151
US_AR_05149,2020-01-09,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,,,9.4,7.36,23.72,,30.67,6.95,11.87037,8.259259,15.932099,0.0,,5.598765,66.368712
US_AR_05149,2020-01-10,ChIJKWW2vMtHzIcRvqHbsk-N0uo,Q61317,geoId/05149,US,United States of America,AR,Arkansas,05149,Yell County,US,USA,2,,,,,,,21509,10802,10707,2855,2980,2474,2463,2657,3023,2472,1613,972,1826615,34.998333,-93.4525,949,75.88,,,,,,,6.44,6.44,10.22,14.01,,25.36,7.57,17.259259,14.444444,20.080247,6.180667,,15.3125,87.976297
