location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51083,2020-01-01,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,5.31,7.43,10.97,8.49,7.43,8.85,13.45,8.14,,8.85,,5.66,7.79,8.14,30.09,7.79,7.79,,44.24,10.97,8.85,6.216667,-0.083333,12.144444,0.0,,-2.117284,55.357943
US_VA_51083,2020-01-02,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,9.63,6.42,14.13,8.67,5.46,6.74,20.55,13.17,5.46,5.78,5.14,8.03,4.82,8.99,34.04,7.07,7.07,7.39,43.03,5.14,7.39,5.127778,-0.861111,13.894444,0.0,,-1.006173,64.900442
US_VA_51083,2020-01-03,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,5.32,8.77,11.27,7.83,8.45,6.58,11.9,7.83,6.26,9.39,7.2,6.26,,8.14,24.42,9.39,7.51,,41.64,6.58,5.32,8.533333,2.066667,13.166667,6.462889,,7.0,90.262134
US_VA_51083,2020-01-04,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,9.6,8.91,8.91,6.85,5.14,9.25,22.27,13.37,5.48,9.94,4.8,5.14,,8.57,34.61,6.85,5.48,5.83,40.44,9.25,6.17,13.094444,8.677778,16.616667,15.522222,,11.740741,92.13832
US_VA_51083,2020-01-05,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,5.2,12.12,13.51,5.54,6.93,,19.05,14.89,,5.2,5.89,,5.89,7.62,22.16,9.0,7.62,,38.79,7.96,8.31,6.005556,0.894444,13.788889,3.3528,,-2.944444,52.898339
US_VA_51083,2020-01-06,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,5.58,10.86,11.16,5.87,8.22,5.29,16.73,12.92,,9.98,5.58,5.58,4.11,6.75,22.61,8.22,4.7,4.7,44.04,,6.46,5.0,-1.405556,13.766667,0.0,,-3.45679,54.718414
US_VA_51083,2020-01-07,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,3.93,6.74,7.58,8.14,6.46,5.89,17.96,12.35,,10.38,8.14,5.05,4.21,10.67,28.35,5.61,6.46,7.02,37.33,4.21,4.49,1.794444,-2.638889,9.388889,2.144889,,-2.228395,75.909022
US_VA_51083,2020-01-08,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,7.29,6.71,11.37,8.46,6.41,7.58,13.99,11.08,4.67,13.12,7.0,4.08,,9.91,29.74,6.41,7.29,5.54,46.94,8.46,4.96,4.155556,-3.066667,12.844444,3.5306,,-4.185185,55.059546
US_VA_51083,2020-01-09,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,,9.29,8.16,7.32,4.22,3.94,12.66,7.6,5.35,6.47,,,7.88,9.57,36.02,4.78,7.04,5.91,42.78,10.41,7.88,2.283333,-3.722222,10.922222,0.0,,-6.444444,53.232461
US_VA_51083,2020-01-10,ChIJga8yzumdsokRv3MRUBQSBYc,Q505886,geoId/51083,US,United States of America,VA,Virginia,51083,Halifax County,US,USA,2,,,,,,,34575,16577,17998,3715,4110,3715,3343,3899,4916,5207,3610,2060,2532627,36.77,-78.94,2149,75.922222,,,,,8.78,7.36,7.93,8.21,,4.25,15.01,9.06,3.96,12.74,5.38,,4.81,9.63,27.19,5.66,9.63,5.1,41.35,6.8,4.81,5.627778,-1.838889,13.711111,0.0,,0.617284,71.356226
