location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19151,2020-01-01,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,,32.48,-3.088889,-8.366667,3.761111,0.0,-5.161111,85.745054
US_IA_19151,2020-01-02,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,,57.29,1.472222,-2.283333,3.65,0.0,0.272222,91.83441
US_IA_19151,2020-01-03,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,41.02,33.08,-0.577778,-2.994444,1.494444,0.0,-1.08642,95.41271
US_IA_19151,2020-01-04,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,34.59,43.7,-3.533333,-7.7,0.722222,1.4224,-4.527778,92.953441
US_IA_19151,2020-01-05,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,35.03,28.66,1.205556,-3.372222,4.266667,0.0,-2.127778,78.677909
US_IA_19151,2020-01-06,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,25.03,32.94,-1.994444,-5.794444,2.127778,0.0,-3.761111,87.921319
US_IA_19151,2020-01-07,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,22.81,53.67,-2.077778,-7.333333,2.338889,0.0,-3.566667,89.665335
US_IA_19151,2020-01-08,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,41.55,31.85,-8.7,-12.977778,-2.461111,0.0,-13.094444,70.610424
US_IA_19151,2020-01-09,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,41.7,65.34,-0.25,-6.688889,7.266667,0.0,-4.416667,73.779363
US_IA_19151,2020-01-10,ChIJkceSd5OT8ocRVWzfpxjFsLk,Q485950,geoId/19151,US,United States of America,IA,Iowa,19151,Pocahontas County,US,USA,2,,,,,,,6833,3398,3435,821,883,656,676,644,1055,978,646,474,1788775,42.734444,-94.6775,376,1500,77.6,,26.02,28.77,-5.272222,-10.322222,-0.75,0.0,-6.966667,88.030053
