location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47107,2020-01-11,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,7.55,10.07,6.0,10.07,6.0,5.03,3.29,6.78,5.03,,2.71,15.49,5.23,11.42,4.45,3.87,10.45,3.29,2.71,6.0,5.42,5.23,4.45,4.07,4.84,8.71,24.39,6.97,4.65,8.9,3.29,4.84,2.71,6.39,38.91,4.65,7.36,6.97,4.07,6.78,3.29,4.26,17.711111,12.788889,21.188889,1.016,,13.5,75.92431
US_TN_47107,2020-01-12,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.85,9.82,5.01,10.87,6.69,8.36,,6.69,,3.34,,14.84,3.55,8.36,,4.39,11.49,5.64,2.92,7.73,4.39,6.27,4.39,5.64,3.13,7.52,26.95,5.43,3.97,6.48,3.34,5.43,4.39,5.01,47.22,5.22,10.03,6.89,6.89,6.06,,3.55,11.944444,5.822222,19.161111,16.989778,,7.993827,75.535103
US_TN_47107,2020-01-13,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.13,8.26,,11.82,10.7,4.5,3.0,7.51,4.5,5.44,4.88,15.95,4.5,9.76,3.19,4.69,15.58,4.32,,10.32,5.25,7.69,4.69,4.69,4.69,12.01,33.78,8.26,4.13,9.2,,5.82,5.07,3.57,38.85,,8.26,10.51,7.13,6.57,3.57,5.63,9.938889,5.827778,16.8,0.0,,7.537037,84.5129
US_TN_47107,2020-01-14,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,6.73,8.78,4.86,11.78,11.4,7.66,5.61,8.41,3.74,3.92,3.36,16.07,3.92,9.53,5.79,5.05,12.15,4.3,4.67,5.42,5.61,3.92,3.74,7.29,2.62,12.52,26.54,6.73,,10.28,3.55,6.36,6.92,7.48,50.65,6.92,8.22,8.04,6.73,5.42,2.99,5.23,14.65,10.672222,16.616667,8.833556,,13.314815,91.601014
US_TN_47107,2020-01-15,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.94,11.03,3.61,11.6,7.6,5.13,3.61,7.79,4.56,3.04,3.04,12.74,2.66,7.6,,5.7,12.74,4.18,4.75,7.6,6.46,3.42,4.94,4.75,4.37,10.08,23.38,5.32,4.75,7.99,2.85,5.32,4.18,9.12,48.67,5.51,8.74,7.6,7.03,6.08,2.85,2.85,15.098765,12.598765,18.222222,12.1285,,13.881944,92.118941
US_TN_47107,2020-01-16,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,6.44,8.97,3.51,10.53,9.17,5.07,3.71,6.63,,5.27,,14.44,4.1,7.61,,2.73,13.85,6.83,3.71,6.63,5.66,4.88,5.07,5.66,5.27,11.9,31.02,8.39,,8.0,,4.29,7.41,5.46,49.74,4.68,8.0,8.39,4.88,6.05,,5.66,12.759259,8.098765,17.54321,3.52425,,7.333333,67.957995
US_TN_47107,2020-01-17,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,6.45,11.14,5.08,15.25,8.99,6.45,3.52,5.87,3.32,4.3,4.11,14.66,3.32,9.38,3.91,4.89,9.78,4.5,4.89,6.45,4.11,6.65,7.04,5.47,5.08,12.32,28.55,5.87,5.67,6.84,,5.87,3.91,4.11,48.69,5.08,7.24,4.11,3.52,5.87,,2.74,3.993827,0.166667,9.493827,0.649111,,-5.722222,48.345751
US_TN_47107,2020-01-18,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.96,6.96,5.57,11.93,4.17,7.36,,5.77,5.57,3.18,3.38,17.3,6.36,8.75,5.96,3.78,8.75,9.15,3.38,5.57,3.98,5.57,5.17,5.57,4.57,8.95,24.65,8.55,,11.13,,,2.78,3.18,41.95,3.38,7.16,6.56,6.76,3.58,,4.97,6.580247,3.333333,9.524691,3.77825,,-0.965278,58.586868
US_TN_47107,2020-01-19,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.26,9.54,3.04,10.15,7.92,5.68,3.04,5.07,3.25,3.45,3.65,12.99,2.84,8.73,,7.1,8.32,6.09,,4.26,4.67,3.45,4.06,5.68,3.04,8.93,24.15,4.46,3.86,8.52,,4.26,5.48,4.26,44.44,3.86,7.92,6.49,4.26,3.04,4.67,5.68,4.382716,-1.024691,10.141975,10.76325,,-1.604167,63.603128
US_TN_47107,2020-01-20,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.71,6.85,4.56,15.59,8.56,7.23,3.61,7.42,,3.8,3.04,15.21,3.23,11.79,4.94,6.66,9.89,6.28,4.56,6.08,5.89,5.89,3.99,4.18,4.18,8.94,27.95,7.23,3.8,9.13,4.56,3.04,4.56,6.08,47.16,5.89,8.56,8.94,5.71,7.42,3.99,4.75,-4.111111,-6.333333,-0.753086,0.0,,-10.055556,61.574602
