location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18131,2020-01-01,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,23.11,57.77,-0.188889,-4.161111,4.977778,0.0,,-3.316667,79.664686
US_IN_18131,2020-01-02,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,13.22,30.84,44.06,5.005556,1.044444,9.272222,0.0,,0.022222,70.505534
US_IN_18131,2020-01-03,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,24.76,42.7,4.883333,2.5,7.722222,0.0,,3.627778,91.734394
US_IN_18131,2020-01-04,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,21.82,43.64,1.333333,0.111111,3.694444,0.0,,-0.333333,89.324451
US_IN_18131,2020-01-05,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,22.38,42.8,0.355556,-3.338889,6.622222,0.0,,-3.283333,76.781182
US_IN_18131,2020-01-06,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,29.49,41.59,1.188889,-3.555556,5.983333,0.0,,-3.022222,73.826462
US_IN_18131,2020-01-07,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,24.6,51.51,0.283333,-4.605556,5.727778,0.0,,-3.833333,74.09734
US_IN_18131,2020-01-08,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,44.97,52.59,-2.416667,-6.105556,2.822222,0.0,,-8.183333,64.833578
US_IN_18131,2020-01-09,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,35.37,32.3,-0.161111,-6.638889,9.922222,0.0635,,-6.15,64.310042
US_IN_18131,2020-01-10,ChIJWx1otEbDE4gRX7URurWdKE4,Q502640,geoId/18131,US,United States of America,IN,Indiana,18131,Pulaski County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12529,6411,6118,1418,1673,1346,1420,1484,1868,1688,1065,567,1802086,41.04,-86.69,705,1126,77.05,,,,,29.72,60.23,8.827778,6.544444,11.761111,4.275667,,6.661111,86.403921
