location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39147,2020-01-11,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,6.15,7.23,3.84,6.46,,7.07,3.84,,3.08,2.92,4.15,,,2.15,,11.38,,6.77,4.15,4.77,2.31,6.92,4.0,,4.15,3.08,2.92,,4.15,4.61,2.31,2.77,4.46,22.3,5.08,3.84,6.15,2.15,2.61,3.84,,2.15,4.46,34.29,,2.46,5.54,4.15,2.15,4.15,5.23,3.84,2.46,3.38,3.38,,12.166667,5.35,17.238889,8.494889,,9.722222,83.578282
US_OH_39147,2020-01-12,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,3.44,4.18,5.83,2.69,7.03,2.84,7.92,2.84,,,3.14,5.23,,,,4.48,16.14,3.29,7.17,2.69,4.18,2.54,7.47,4.04,,3.14,5.08,3.29,5.83,,4.78,,,6.13,21.38,5.38,3.59,6.28,2.39,3.14,5.68,2.24,2.24,5.53,29.45,2.24,3.29,5.68,2.24,,3.74,4.18,3.29,3.89,2.99,,,1.465278,-1.375,6.673611,7.62,,-0.398148,84.868295
US_OH_39147,2020-01-13,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,3.42,6.34,6.47,2.56,8.42,,7.2,2.93,,4.03,5.86,3.29,2.32,2.68,,2.93,12.81,3.54,6.47,2.93,5.74,2.32,7.57,4.03,1.83,4.03,5.49,2.68,2.81,3.29,3.66,3.17,3.66,5.0,23.67,4.39,3.05,3.17,2.56,4.27,3.42,1.83,2.81,4.51,32.95,1.71,2.81,5.86,2.68,,5.25,2.81,3.17,2.81,3.29,2.07,,2.5,-0.087302,4.404762,0.592667,,0.12963,83.300457
US_OH_39147,2020-01-14,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,1.87,5.23,6.6,3.36,7.1,2.61,6.35,4.23,,2.86,5.6,2.12,2.61,4.11,,2.24,11.7,3.98,6.22,3.86,4.98,1.87,8.71,3.36,1.87,1.87,3.98,3.36,2.24,3.73,2.37,3.98,2.99,4.61,20.29,5.23,3.86,6.47,2.49,5.1,4.23,,3.24,3.98,33.61,2.12,3.86,5.1,2.37,2.74,,3.86,4.36,2.61,2.61,2.86,,4.155556,1.905556,7.211111,0.0,,1.083333,80.990669
US_OH_39147,2020-01-15,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,2.36,3.73,5.1,2.24,7.71,,7.47,4.11,,3.23,5.23,2.36,,2.99,,,12.82,1.99,6.72,1.74,3.61,,6.35,4.11,3.11,1.87,3.86,3.86,2.61,1.87,4.36,2.99,,5.23,21.53,4.11,4.11,6.84,2.61,3.86,3.48,2.86,2.74,4.48,29.0,1.99,5.6,6.59,3.36,3.23,3.98,2.12,2.74,1.99,3.48,3.73,2.24,2.877778,-0.227778,6.483333,0.0,,1.236111,88.479733
US_OH_39147,2020-01-16,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,1.75,3.5,5.0,3.25,7.5,,6.12,3.0,,4.5,5.12,3.25,2.0,2.37,1.87,2.0,12.25,2.25,9.25,2.5,3.5,1.87,6.62,3.0,1.87,,5.87,3.0,3.75,3.0,2.25,,2.75,4.5,23.12,5.25,3.0,6.25,2.87,3.62,3.25,2.87,2.5,5.0,32.37,2.37,4.0,4.62,2.0,2.5,4.25,3.25,2.0,2.87,2.25,3.5,,1.816667,-2.761111,5.177778,0.2794,,-2.020833,75.346695
US_OH_39147,2020-01-17,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,3.05,5.72,3.43,7.63,2.04,7.89,4.58,,3.43,5.34,5.98,,3.31,,3.69,12.34,,7.25,,4.58,,7.76,4.45,,1.78,2.93,4.96,2.93,3.56,3.56,2.67,2.29,5.09,22.39,5.72,3.43,6.36,3.31,3.69,2.54,,2.29,5.34,32.05,,4.2,5.98,,2.42,3.82,3.05,3.69,3.56,3.18,2.16,2.54,-3.722222,-5.733333,-0.272222,0.0,,-9.527778,64.436891
US_OH_39147,2020-01-18,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,3.84,7.53,4.87,7.08,,5.76,3.98,,2.95,5.61,3.4,2.95,2.81,,3.84,13.58,4.43,6.64,2.95,6.2,2.07,5.02,2.66,,2.66,3.69,5.9,4.58,2.51,4.58,3.98,,4.43,20.96,4.13,2.21,8.27,3.1,,3.25,,,3.69,35.43,,3.1,5.31,3.25,,4.43,4.13,,,,3.84,2.51,0.366667,-4.616667,5.738889,3.302,,-2.229167,82.809514
US_OH_39147,2020-01-19,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,,3.92,7.26,3.34,8.71,,5.66,4.64,,3.34,5.23,3.48,2.03,3.48,,3.05,12.19,3.63,6.82,3.34,4.64,2.32,5.95,2.61,,3.77,3.34,4.79,3.63,3.05,5.37,3.92,3.05,2.76,20.61,5.95,4.79,7.69,2.47,2.18,3.34,2.61,,5.95,34.84,,4.07,4.5,3.92,,5.52,2.61,3.63,2.9,2.32,3.48,,-6.361111,-10.4,3.327778,4.035778,30.48,-10.354167,74.174304
US_OH_39147,2020-01-20,ChIJ8wLepMXRO4gRMzP6DUxVS1A,Q485553,geoId/39147,US,United States of America,OH,Ohio,39147,Seneca County,US,USA,2,,,,,,,55267,27618,27649,6222,7938,7112,6408,6289,7611,7197,3945,2545,911297,41.13,-83.13,1431,78.371429,,,,,3.74,5.47,6.62,4.89,7.05,2.16,6.62,6.62,,3.02,5.47,4.46,,2.88,2.01,,15.54,3.88,8.49,4.89,5.75,,8.63,4.46,2.44,,4.6,,2.44,2.59,2.44,4.75,2.3,7.77,23.59,5.75,2.01,9.78,,4.75,3.31,2.44,3.02,5.75,38.84,2.88,4.17,6.47,,,7.34,3.16,5.32,3.74,3.31,3.16,,-7.005556,-9.633333,-3.638889,0.112889,,-10.895833,75.366443
