location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48239,2020-01-01,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,,24.98,33.04,51.57,14.466667,12.483333,17.777778,0.2286,6.62963,58.888164
US_TX_48239,2020-01-02,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,15.04,20.05,24.35,55.86,16.616667,14.938889,18.572222,2.9718,15.75,92.434884
US_TX_48239,2020-01-03,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,12.03,14.86,22.64,41.74,16.283333,12.8,20.905556,0.635,12.416667,76.927634
US_TX_48239,2020-01-04,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,,19.33,19.33,38.66,12.866667,5.905556,20.094444,0.0254,4.453704,55.705714
US_TX_48239,2020-01-05,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,14.78,23.34,21.01,34.24,14.083333,7.055556,21.633333,0.0508,7.712963,64.794086
US_TX_48239,2020-01-06,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,,17.07,32.18,40.72,16.294444,11.027778,22.627778,0.0508,11.833333,74.558988
US_TX_48239,2020-01-07,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,11.11,11.77,31.37,37.25,15.155556,9.611111,20.477778,0.0762,5.574074,52.113776
US_TX_48239,2020-01-08,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,11.25,23.09,31.37,30.78,12.483333,5.655556,21.088889,0.0,5.314815,63.675775
US_TX_48239,2020-01-09,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,,11.06,34.29,47.01,20.083333,17.216667,23.55,0.1524,16.759259,78.986903
US_TX_48239,2020-01-10,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,,11.48,18.95,32.73,21.522222,20.055556,23.127778,0.0508,20.064815,87.705081
US_TX_48239,2020-01-11,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,,,24.0,52.97,16.922222,12.177778,22.722222,3.5814,11.898148,73.14659
US_TX_48239,2020-01-12,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,14.22,18.96,30.81,45.82,11.133333,5.877778,18.711111,2.0574,6.814815,78.405636
US_TX_48239,2020-01-13,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,10.21,15.04,19.34,46.21,16.066667,14.088889,19.644444,0.0762,14.87037,91.024061
US_TX_48239,2020-01-14,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,15.0,,23.88,29.44,20.961111,18.055556,23.427778,0.7366,20.87963,95.571929
US_TX_48239,2020-01-15,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,,13.16,30.7,31.25,21.866667,20.55,24.85,0.3048,21.074074,91.586838
US_TX_48239,2020-01-16,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,8.98,13.48,26.39,43.8,21.333333,20.205556,24.05,0.0254,20.759259,92.644926
US_TX_48239,2020-01-17,ChIJ80h2HOMjQoYR-oA_h4o_b0s,Q110262,geoId/48239,US,United States of America,TX,Texas,48239,Jackson County,US,USA,2,,,,,,,14806,7342,7464,2083,2023,1720,1918,1588,1871,1769,1119,715,1837671,28.94,-96.58,2219,78.733333,,,,,12.83,11.66,22.16,36.74,20.944444,19.433333,24.061111,0.2032,19.296296,87.420418
