location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13131,2020-01-01,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,9.05,14.9,,16.5,14.37,20.23,9.05,45.78,9.05,7.833333,1.566667,16.033333,0.0,0.793651,61.856075
US_GA_13131,2020-01-02,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,,14.54,,16.05,16.55,26.07,11.53,43.63,8.53,13.9,7.822222,23.161111,0.028222,7.222222,64.268151
US_GA_13131,2020-01-03,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,7.42,12.37,,11.88,11.88,27.22,9.9,41.57,7.92,22.172222,19.327778,25.894444,1.161143,19.857143,84.936139
US_GA_13131,2020-01-04,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,,7.99,9.59,17.05,9.59,26.11,8.53,43.16,7.99,17.672222,13.588889,22.75,25.4,14.047619,79.463283
US_GA_13131,2020-01-05,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,10.14,8.54,,18.68,8.01,22.42,8.54,29.36,,8.611111,1.766667,15.705556,1.5748,-0.47619,53.607277
US_GA_13131,2020-01-06,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,,7.7,,17.45,10.26,28.22,13.34,39.51,,8.461111,1.244444,19.25,0.0,3.015873,69.118871
US_GA_13131,2020-01-07,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,,,,17.99,9.25,19.53,8.22,43.7,8.74,11.511111,4.55,18.661111,0.0,5.507937,68.236393
US_GA_13131,2020-01-08,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,10.07,11.98,8.63,11.03,8.63,31.16,12.46,46.98,17.26,8.5,0.005556,17.861111,0.0,-0.801587,52.821148
US_GA_13131,2020-01-09,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,,,7.51,17.84,9.39,29.58,,42.72,10.33,9.022222,0.672222,20.933333,0.0,2.579365,64.938438
US_GA_13131,2020-01-10,ChIJB_xC95io7YgRBFvsMlKozng,Q492061,geoId/13131,US,United States of America,GA,Georgia,13131,Grady County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24773,11945,12828,3382,3384,2817,2954,2862,3386,3067,1933,988,1073776,30.88,-84.23,1192,76.5,,,,,10.63,9.3,10.19,10.19,14.18,19.5,10.19,34.56,6.65,17.338889,12.538889,24.238889,0.0,12.492063,72.649765
