location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MT_30061,2020-01-01,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,3.55,-0.644444,5.633333,13.62075,30.48,1.027778,84.483828
US_MT_30061,2020-01-02,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,2.45,0.583333,5.222222,4.487333,,-1.527778,76.007081
US_MT_30061,2020-01-03,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,1.955556,-0.583333,6.916667,2.82575,,-1.227778,80.121822
US_MT_30061,2020-01-04,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,2.744444,-1.133333,7.411111,0.4445,,-2.266667,71.106302
US_MT_30061,2020-01-05,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,0.294444,-2.838889,5.588889,1.693333,,-4.8,69.562237
US_MT_30061,2020-01-06,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,0.588889,-1.605556,3.505556,1.3335,,-2.766667,79.050673
US_MT_30061,2020-01-07,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,3.477778,-0.394444,5.983333,13.74775,78.74,0.361111,81.534179
US_MT_30061,2020-01-08,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,2.405556,-0.138889,5.477778,5.23875,78.74,-0.5,81.822629
US_MT_30061,2020-01-09,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,-1.027778,-3.938889,3.288889,2.88925,,-4.277778,79.009441
US_MT_30061,2020-01-10,ChIJj5mttNDuXVMRzkUOTkpg98U,Q370329,geoId/30061,US,United States of America,MT,Montana,30061,Mineral County,US,USA,2,,,,,,,4235,2159,2076,401,451,322,397,389,667,817,551,240,555127,47.15,-114.98,3169,77.85,,,-4.9,-8.527778,0.55,0.381,,-8.011111,79.291225
