location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ME_23027,2020-01-01,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,1.91,4.07,2.42,5.34,4.07,2.92,3.05,,6.36,,3.56,,3.43,5.21,2.8,2.8,2.16,2.42,,3.31,,3.43,12.08,2.29,,3.43,1.78,2.04,3.31,25.95,,4.45,3.31,2.42,2.92,,-0.819444,-3.381944,2.993056,5.5245,78.74,-3.046296,84.619695
US_ME_23027,2020-01-02,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,3.33,4.07,3.94,4.68,4.93,3.58,4.32,,7.64,,4.19,2.22,3.08,5.79,3.21,3.33,2.71,1.73,2.47,2.1,,3.45,12.58,4.32,,3.58,3.21,2.84,2.96,20.34,3.33,3.45,2.71,2.96,,1.85,0.166667,-2.888889,2.708333,0.0635,78.74,-4.212963,73.429012
US_ME_23027,2020-01-03,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,,2.44,,4.88,2.81,3.78,2.68,,8.05,,5.25,2.2,2.32,5.49,1.95,2.44,3.9,2.2,,1.83,,3.66,14.15,2.68,2.07,3.54,1.95,1.83,3.9,18.18,2.44,3.17,2.81,2.2,2.81,,0.888889,-2.944444,4.569444,0.0,78.74,-1.675926,84.369441
US_ME_23027,2020-01-04,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,3.02,3.27,2.51,6.16,3.02,3.89,3.39,2.51,9.04,2.13,4.9,,2.64,5.53,2.39,3.39,2.01,1.76,,2.01,2.39,,11.3,3.39,,4.9,2.26,,2.89,17.84,,2.64,3.77,3.52,,2.26,1.819444,-1.805556,4.770833,0.0635,78.74,-0.324074,85.991708
US_ME_23027,2020-01-05,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,2.14,2.64,3.4,4.91,3.52,2.9,3.78,2.14,9.19,2.14,3.78,,2.27,5.29,,2.01,2.39,1.76,2.39,3.02,2.14,4.41,12.97,3.02,1.76,3.52,,2.27,2.39,18.38,2.01,4.28,2.9,2.39,,,-0.486111,-4.583333,3.666667,1.905,78.74,-2.768519,85.106413
US_ME_23027,2020-01-06,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,3.06,4.24,2.35,5.53,5.53,2.23,3.65,2.12,6.71,1.88,3.53,,3.18,7.53,2.59,4.12,2.94,,2.59,2.35,,4.94,13.65,3.65,2.82,3.41,,3.53,2.23,18.12,2.94,3.29,3.29,2.71,2.35,3.06,-7.854167,-12.805556,-0.881944,0.635,78.74,-11.37963,76.646517
US_ME_23027,2020-01-07,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,1.99,3.85,1.64,4.21,4.91,2.69,3.62,1.64,6.19,2.22,3.85,,2.1,7.59,1.64,2.69,1.87,,2.34,1.87,1.64,2.8,12.5,4.67,2.22,2.8,2.8,1.99,1.64,19.74,2.1,3.15,3.27,3.39,,,-5.083333,-12.145833,0.506944,0.47625,99.06,-8.592593,77.309907
US_ME_23027,2020-01-08,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,1.62,3.12,3.0,4.85,4.62,2.42,3.35,2.42,7.51,,4.27,,4.39,5.66,2.66,3.23,1.85,2.31,,2.31,,4.27,12.82,3.12,,4.39,1.96,2.31,2.31,19.05,2.77,3.81,3.23,2.66,2.89,2.54,-3.5625,-10.534722,0.090278,0.0,99.06,-6.037037,81.615855
US_ME_23027,2020-01-09,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,2.48,3.31,3.31,4.96,3.19,3.66,2.83,2.36,8.86,,5.67,,,5.79,1.77,3.54,,,2.48,2.12,,3.66,17.47,3.19,2.83,2.83,2.36,3.31,1.65,22.2,2.36,5.79,2.48,2.83,3.42,2.01,-5.986111,-10.395833,-0.777778,0.4445,99.06,-13.657407,55.16754
US_ME_23027,2020-01-10,ChIJcxZYhrBsrkwRLdf2fJzpyOk,Q507931,geoId/23027,US,United States of America,ME,Maine,23027,Waldo County,US,USA,2,,,,,,,39772,19640,20132,3931,4473,4123,4402,4816,5991,6542,3702,1792,2535190,44.474743,-69.117981,853,,,,,,1.65,2.94,,5.18,3.29,4.12,2.82,1.88,6.94,,2.71,2.12,3.18,4.94,1.65,3.88,2.0,2.71,2.35,3.88,3.18,3.29,14.59,3.29,2.12,4.71,3.53,2.59,2.82,21.18,,4.83,2.47,1.76,2.24,1.88,-4.138889,-11.618056,2.75,0.15875,99.06,-9.009259,69.199748
