location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21079,2020-01-14,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,8.14,15.2,28.77,42.88,9.566667,4.261111,12.744444,1.27,,7.783951,88.100026
US_KY_21079,2020-01-15,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,8.01,11.75,17.09,33.1,10.133333,3.616667,18.6,0.725714,,9.234568,93.479694
US_KY_21079,2020-01-16,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,11.41,13.04,22.27,41.83,7.566667,2.216667,16.366667,0.733778,,2.722222,70.920114
US_KY_21079,2020-01-17,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,10.51,12.36,28.43,32.14,-0.688889,-3.705556,4.633333,0.0,,-6.845679,62.728038
US_KY_21079,2020-01-18,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,11.23,9.91,17.17,42.27,6.733333,-0.072222,10.966667,0.0,,0.111111,62.506778
US_KY_21079,2020-01-19,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,16.44,32.25,39.21,-0.294444,-5.783333,10.566667,4.487333,,-5.845679,65.675885
US_KY_21079,2020-01-20,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,12.0,13.99,21.33,42.65,-7.022222,-8.955556,-3.077778,0.0,,-11.506173,69.964196
US_KY_21079,2020-01-21,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,8.92,13.65,26.24,30.96,-3.611111,-6.685185,0.012346,0.042333,,-10.027778,61.049155
US_KY_21079,2020-01-22,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,10.01,18.44,34.78,-3.518519,-9.54321,5.049383,0.0,,-9.590278,62.914532
US_KY_21079,2020-01-23,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,19.34,32.94,35.03,3.104938,-1.388889,9.567901,0.0,,-5.444444,53.64304
US_KY_21079,2020-01-24,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,11.92,18.38,27.32,23.34,6.567901,2.333333,10.117284,7.831667,,5.013889,89.626945
US_KY_21079,2020-01-25,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,17.66,26.16,32.7,2.932099,1.037037,7.358025,10.498667,,0.791667,85.616336
US_KY_21079,2020-01-26,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,13.21,25.16,44.02,32.7,2.487654,0.320988,6.759259,0.254,,-1.166667,76.708926
