location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AZ_04012,2020-01-01,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,,5.76,8.23,14.82,,6.17,14.82,,32.93,,9.205556,2.388889,15.688889,0.0,0.092593,54.824405
US_AZ_04012,2020-01-02,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,7.58,13.64,,17.05,9.85,9.85,22.36,6.06,33.34,,9.977778,3.166667,17.894444,0.0,0.907407,54.955473
US_AZ_04012,2020-01-03,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,,8.12,,12.75,7.73,10.82,22.41,6.18,35.94,,11.372222,3.938889,18.161111,0.0,-1.382716,42.415012
US_AZ_04012,2020-01-04,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,10.36,7.97,,17.53,,6.38,24.3,,36.26,5.58,10.65,3.105556,19.177778,0.0,0.95679,52.143376
US_AZ_04012,2020-01-05,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,7.89,5.92,5.92,15.38,7.1,6.71,20.51,6.71,36.68,6.31,11.25,3.155556,19.527778,0.0,2.055556,53.86046
US_AZ_04012,2020-01-06,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,6.57,8.75,5.11,12.4,6.2,,24.44,7.66,40.85,,13.005556,5.072222,20.672222,0.0,-0.697531,40.519783
US_AZ_04012,2020-01-07,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,9.47,8.38,6.19,14.94,5.83,9.47,21.13,8.38,56.1,,12.838889,5.605556,20.894444,0.0,-3.222222,34.0405
US_AZ_04012,2020-01-08,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,5.98,10.21,,15.49,8.8,9.15,24.99,5.98,35.2,16.19,11.305556,3.666667,20.083333,0.0,-0.944444,43.30552
US_AZ_04012,2020-01-09,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,7.33,6.63,,14.3,7.33,11.86,23.37,,29.65,9.07,11.005556,4.444444,18.122222,0.0,0.209877,48.542001
US_AZ_04012,2020-01-10,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,,7.92,5.85,9.98,6.88,9.29,19.27,5.85,37.17,,10.683333,4.338889,17.022222,0.0,-1.716049,43.526542
US_AZ_04012,2020-01-11,ChIJ3f7Q5PTk04ARcPUqZ1wzDcg,Q58759,geoId/04012,US,United States of America,AZ,Arizona,04012,La Paz County,US,USA,2,,,,,,,20706,10634,10072,1921,1914,1844,1730,1604,2271,3001,4198,2223,1832197,33.840278,-113.942778,11690,76.728571,,,,,,,6.93,6.93,6.93,16.79,7.66,,16.79,6.57,33.94,5.11,9.2,1.822222,16.822222,0.0,-4.549383,38.641478
