location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18151,2020-01-01,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,7.45,8.42,,11.98,7.77,,7.77,,17.8,,11.65,8.09,9.39,,6.8,6.8,5.5,7.12,5.5,8.74,31.72,,7.77,4.53,,7.12,49.2,,7.77,,5.83,,-1.288889,-3.816667,2.561111,0.2286,,-5.45,73.404721
US_IN_18151,2020-01-02,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,8.54,4.58,10.99,7.93,4.27,7.02,,20.14,,13.73,5.49,10.07,4.88,5.8,5.49,,4.58,,5.8,29.91,6.71,9.15,4.58,7.63,5.8,36.62,4.27,8.54,8.24,,5.19,4.15,-1.383333,8.411111,0.0,,-1.383333,67.315151
US_IN_18151,2020-01-03,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,4.42,12.68,,9.14,9.44,4.72,9.14,7.67,17.1,,10.91,6.19,8.85,4.72,,7.37,4.72,,5.31,8.26,28.9,,7.67,4.13,5.01,6.49,46.59,4.72,7.96,6.78,4.42,5.01,5.244444,1.944444,7.944444,0.0,,3.261111,87.103803
US_IN_18151,2020-01-04,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,7.95,4.58,12.23,7.95,,7.34,,17.73,5.81,11.0,,8.86,4.28,,4.28,,,7.34,10.09,22.62,7.95,5.5,,4.28,5.81,38.51,4.89,5.81,,4.58,,1.288889,-0.411111,4.644444,0.0,,-1.844444,79.750401
US_IN_18151,2020-01-05,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.56,9.07,4.1,10.82,5.27,4.97,6.44,,20.48,,7.9,,7.61,6.44,4.39,,5.56,5.85,4.97,8.48,26.92,5.27,6.44,4.1,4.1,9.07,36.86,,5.85,5.85,5.56,,-0.255556,-2.255556,4.322222,0.1905,,-4.566667,72.771547
US_IN_18151,2020-01-06,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,4.64,7.58,7.33,7.58,8.07,6.84,4.4,,20.29,,8.31,5.13,9.05,6.11,4.4,,4.4,4.89,5.38,6.36,27.38,3.67,4.89,3.42,4.16,5.13,39.61,3.42,6.6,7.09,,,2.233333,-2.038889,5.955556,0.0,,-3.555556,65.698685
US_IN_18151,2020-01-07,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.92,6.39,7.34,7.58,10.65,7.34,7.1,,17.99,,10.42,6.39,6.87,5.68,,4.26,,4.03,7.58,7.34,25.33,5.21,4.5,5.92,5.21,9.71,45.69,4.97,5.45,11.36,4.5,,0.311111,-3.777778,5.311111,0.0,,-5.161111,66.878276
US_IN_18151,2020-01-08,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.45,5.21,5.93,8.77,9.96,,5.45,5.45,17.78,,4.27,4.98,8.06,5.45,4.5,4.74,3.79,4.5,4.74,14.46,32.24,5.45,8.53,5.93,5.69,8.06,36.5,6.16,14.46,7.35,4.27,5.69,-2.655556,-7.855556,3.561111,0.0635,,-8.75,62.976178
US_IN_18151,2020-01-09,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,3.92,5.99,5.76,8.52,8.52,5.53,7.83,,16.36,3.92,7.37,6.45,9.45,,3.23,4.61,5.07,4.61,4.38,4.84,35.48,4.84,4.84,3.69,5.3,5.76,39.4,4.61,15.9,8.29,3.92,3.69,-2.094444,-8.338889,9.033333,0.0,,-8.438889,61.943058
US_IN_18151,2020-01-10,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.89,5.42,6.83,8.72,7.31,6.13,4.01,3.77,12.73,,7.31,,8.48,4.48,6.13,4.71,5.42,5.18,5.18,6.6,24.04,6.36,6.83,4.24,5.18,6.13,41.72,4.01,6.83,8.25,,4.01,8.316667,6.366667,10.35,3.084286,,5.172222,80.651028
