location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42059,2020-01-01,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,,7.78,,8.38,8.07,7.78,7.48,,19.14,13.16,4.19,4.79,5.98,5.98,5.08,4.19,4.49,5.38,25.72,4.19,9.57,,,6.58,40.08,,4.79,5.08,,,0.944444,-0.901235,4.197531,0.653143,,-4.524691,67.174497
US_PA_42059,2020-01-02,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,5.7,7.59,,9.49,8.41,5.42,5.97,5.7,18.17,11.39,,11.39,5.97,4.34,4.07,,4.88,6.51,28.75,7.32,,,5.97,5.7,30.1,4.34,4.61,6.24,4.61,4.61,3.765432,-1.314815,10.185185,0.112889,30.48,-3.925926,57.511689
US_PA_42059,2020-01-03,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,5.34,8.01,,10.14,6.94,5.61,4.8,4.0,16.02,6.41,8.28,6.41,4.0,4.54,3.74,,4.54,5.87,26.16,7.74,6.14,4.0,5.07,7.21,37.37,4.8,6.41,5.61,,4.0,10.067901,6.604938,11.259259,8.164286,,9.049383,93.531792
US_PA_42059,2020-01-04,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,5.41,7.52,7.52,9.32,7.22,4.51,4.81,,17.14,15.63,,8.72,5.41,4.21,,4.51,4.21,8.12,27.66,4.21,7.22,4.21,5.11,4.81,39.39,4.21,9.62,6.92,,,8.246914,2.783951,12.512346,11.538857,,7.302469,93.956574
US_PA_42059,2020-01-05,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,6.83,7.72,,12.18,6.53,5.05,8.91,4.46,19.31,15.15,,9.5,5.35,5.35,4.16,,4.46,8.91,30.59,,7.42,4.75,,4.75,43.07,,6.83,8.02,5.05,,1.104938,-0.364198,6.876543,1.923143,,-1.537037,82.828107
US_PA_42059,2020-01-06,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,5.07,9.12,4.56,9.37,11.4,,5.32,3.55,15.45,8.61,3.55,9.88,6.84,4.05,3.8,4.81,,5.57,25.58,5.07,5.83,4.56,4.05,4.81,38.5,,5.32,6.08,5.32,,3.771605,-1.018519,6.635802,0.197556,,-2.555556,63.757848
US_PA_42059,2020-01-07,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,5.44,5.69,3.46,12.12,5.19,3.46,5.19,,13.11,8.9,5.19,10.88,,4.95,,3.71,4.95,5.69,24.49,5.44,4.45,4.45,,7.42,32.16,5.19,4.95,6.18,5.44,3.96,-0.419753,-3.95679,4.314815,0.0,,-4.746914,73.148305
US_PA_42059,2020-01-08,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,7.68,6.93,3.47,9.91,11.39,4.21,5.94,3.71,13.62,5.94,5.45,6.93,7.43,4.95,,5.45,3.96,6.44,27.0,3.96,10.15,4.71,4.95,5.45,35.17,,10.4,4.21,3.47,,0.216049,-3.790123,2.691358,0.41275,,-6.709877,60.200599
US_PA_42059,2020-01-09,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,8.79,5.77,3.77,9.29,7.53,4.77,4.52,4.02,15.82,5.52,,12.05,4.02,6.78,5.27,3.52,4.52,6.28,19.08,6.78,7.53,6.53,,5.77,38.41,3.77,10.04,4.02,5.52,4.02,-1.925926,-8.487654,8.376543,0.056444,,-10.037037,54.257257
US_PA_42059,2020-01-10,ChIJfblbgYyjNYgRlxbyOee8jhc,Q494098,geoId/42059,US,United States of America,PA,Pennsylvania,42059,Greene County,US,USA,2,,,,,,,36846,19076,17770,3949,4355,4824,4247,4808,5203,5051,2776,1633,417154,39.86,-80.22,1497,77.833333,,,,,3.42,4.88,,8.06,9.04,,,4.15,10.5,8.55,3.66,8.06,4.64,5.13,4.15,4.88,,5.86,27.6,3.42,8.55,4.15,,3.42,30.78,,7.08,5.62,5.13,,9.95679,4.438272,15.419753,0.0,,0.45679,52.126827
