location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26123,2020-01-01,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,6.69,7.36,3.12,10.26,8.48,4.68,5.8,4.01,16.95,3.35,11.82,3.12,3.35,7.36,4.46,5.58,5.8,4.24,3.12,5.35,4.24,6.02,25.87,6.25,4.01,8.25,3.57,3.35,6.25,36.58,6.69,4.91,7.14,,7.58,,-1.7,-5.75,2.327778,0.09525,40.64,-5.876543,73.673518
US_MI_26123,2020-01-02,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,4.26,8.97,5.83,11.21,6.5,7.18,4.26,5.83,19.29,4.49,10.77,4.04,3.36,10.32,4.71,6.28,4.26,3.14,3.59,3.81,,7.4,29.16,3.36,4.26,8.52,,5.16,4.71,38.58,,6.5,5.38,,5.16,,3.938889,-0.333333,6.061111,0.0508,30.48,-0.981481,70.828477
US_MI_26123,2020-01-03,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,5.31,6.2,3.99,9.96,5.98,3.99,5.76,3.32,17.93,5.09,9.74,,,7.97,4.43,,6.86,3.1,4.21,4.87,,7.75,27.01,6.2,4.43,6.86,,3.1,3.76,36.09,,6.64,6.2,,3.99,,2.5,0.661111,5.1,0.0,50.8,-0.746914,79.180112
US_MI_26123,2020-01-04,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,7.39,7.62,3.59,11.88,7.62,6.5,5.6,4.03,16.14,,6.5,,5.15,7.84,3.36,4.48,5.38,5.6,5.15,,,4.48,22.63,5.15,,7.17,4.26,4.26,4.93,42.8,5.38,7.17,,,,3.59,-0.205556,-1.266667,1.527778,0.0,,-3.808642,76.801813
US_MI_26123,2020-01-05,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,4.02,8.93,5.36,11.83,8.71,4.46,7.14,3.79,18.52,5.8,8.93,,4.69,4.46,,4.91,4.91,4.24,,6.25,,7.81,20.09,6.47,5.58,5.36,,7.14,4.91,36.16,3.35,6.7,7.59,3.79,4.46,,-0.388889,-1.694444,1.683333,0.0508,,-4.654321,73.607507
US_MI_26123,2020-01-06,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,,7.1,4.14,7.1,7.69,3.75,7.1,,12.43,,8.09,3.55,2.96,10.85,3.55,3.55,3.75,,4.34,5.92,2.96,6.31,24.26,3.15,3.94,5.72,3.94,3.55,6.31,35.7,4.34,4.54,5.33,5.92,5.72,4.14,1.238889,-1.25,3.45,0.22225,,-4.296296,66.784005
US_MI_26123,2020-01-07,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,3.32,5.27,3.71,9.76,6.44,5.27,5.47,6.05,15.81,5.47,8.59,,3.71,7.03,6.05,5.86,4.88,2.73,2.73,4.1,3.12,9.37,23.23,8.0,3.32,6.83,3.12,4.68,6.83,35.33,5.08,9.37,7.22,3.9,5.08,4.1,1.366667,-0.85,3.372222,0.0,,-2.722222,75.385477
US_MI_26123,2020-01-08,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,4.96,6.55,3.37,7.14,9.13,6.55,3.57,,17.06,2.78,8.73,,,8.53,,,3.97,3.37,4.76,3.37,3.37,7.74,25.4,5.36,,7.14,,4.96,6.55,37.1,3.37,8.53,5.55,4.37,3.37,4.56,-5.022222,-8.722222,1.966667,0.1016,,-11.524691,60.177545
US_MI_26123,2020-01-09,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,3.73,6.48,3.93,6.87,7.27,5.11,3.73,,15.71,3.73,9.43,3.54,,8.05,3.73,6.28,4.32,3.34,3.54,3.73,4.32,8.64,24.94,7.07,,3.54,6.09,3.93,7.86,36.92,,6.28,3.14,5.5,5.5,,-4.488889,-9.711111,5.6,0.084667,,-10.271605,64.245658
US_MI_26123,2020-01-10,ChIJC6ndsmEZGYgR-4VzGiNqDhU,Q74290,geoId/26123,US,United States of America,MI,Michigan,26123,Newaygo County,US,USA,2,,,,,,,48320,24271,24049,5729,6232,5470,5252,5445,7473,6713,3932,2074,1907329,43.55,-85.8,2231,78.054545,,,,,,3.3,7.77,3.11,8.35,5.83,2.72,,,13.01,3.69,5.24,,3.5,7.77,3.5,3.88,4.47,3.3,,3.5,,6.8,22.91,,,7.57,4.86,3.69,7.18,32.24,3.11,7.38,3.11,5.24,3.5,2.91,5.966667,3.083333,8.044444,0.084667,,3.290123,81.898007
