location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55121,2020-01-01,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,7.3,5.47,7.91,6.69,,5.78,19.46,12.77,5.17,5.47,5.78,4.87,4.87,4.87,5.17,25.85,4.87,7.6,,5.17,29.8,,8.21,,,-7.172222,-14.344444,2.811111,0.0254,165.1,-10.061111,80.031346
US_WI_55121,2020-01-02,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,,10.43,10.16,6.68,4.01,5.62,18.72,8.56,,,4.01,,4.01,,5.88,26.74,6.15,,,5.08,27.54,,4.81,5.62,,1.661111,-1.95,4.116667,0.22225,126.153333,-0.783333,83.970587
US_WI_55121,2020-01-03,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,3.84,9.33,6.86,9.05,,4.94,14.27,7.68,,7.41,4.12,4.66,,,4.12,25.52,,7.68,4.12,3.84,26.07,,7.13,,,0.138889,-1.055556,1.866667,0.0,110.913333,-2.427778,83.046516
US_WI_55121,2020-01-04,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,8.76,4.54,7.79,,,,17.2,11.36,,6.17,,7.46,7.14,,4.87,19.79,,,,5.84,30.18,5.52,,,,-2.566667,-5.166667,0.155556,0.056444,115.57,-5.238889,82.06627
US_WI_55121,2020-01-05,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,4.29,9.19,8.58,4.9,,6.74,13.18,7.36,,,4.6,5.52,,,,19.92,4.29,4.6,,,32.18,4.29,6.44,,,-1.588889,-5.061111,3.172222,0.0,115.57,-4.583333,80.331142
US_WI_55121,2020-01-06,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,,7.6,8.11,7.09,3.8,4.56,14.95,7.86,,,5.32,,3.55,4.05,,19.26,4.81,4.05,6.08,4.81,29.39,,4.31,3.55,5.58,-1.655556,-6.011111,2.966667,0.0254,115.57,-6.844444,67.899207
US_WI_55121,2020-01-07,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,,6.06,8.08,7.57,6.31,,20.19,10.35,3.53,6.31,,3.79,4.04,5.05,4.04,23.22,3.53,4.79,4.04,4.29,28.27,,4.29,,3.79,-1.3,-4.733333,1.177778,0.0,105.41,-5.261111,74.631801
US_WI_55121,2020-01-08,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,,6.73,8.28,6.21,4.14,4.92,16.3,7.24,,6.73,5.43,9.05,4.4,6.73,5.95,27.16,,4.66,5.17,6.47,32.34,,4.66,5.17,,-12.433333,-17.727778,-4.8,0.0,105.41,-18.261111,61.980414
US_WI_55121,2020-01-09,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,5.29,4.78,7.55,6.04,5.04,6.55,14.35,7.05,,8.31,3.52,4.03,4.28,,4.78,30.21,12.09,4.78,3.52,4.28,31.47,3.78,9.57,4.28,,-3.788889,-10.538889,4.677778,0.056444,105.41,-8.55,69.764675
US_WI_55121,2020-01-10,ChIJQxIsrwkv-YcRnCE0Y6gzJoc,Q494923,geoId/55121,US,United States of America,WI,Wisconsin,55121,Trempealeau County,US,USA,2,,,,,,,29372,14899,14473,4075,3833,3072,3416,3511,4238,3722,2197,1308,1797830,44.3,-91.35,1922,,,,,3.8,5.82,5.32,4.81,3.8,4.56,15.19,7.59,,7.09,,5.82,5.57,,3.54,26.32,,5.82,,4.81,23.29,,6.33,4.3,,-2.833333,-6.083333,2.65,0.0762,180.34,-5.944444,79.418264
