location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53051,2020-01-01,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,21.41,30.32,3.277778,-0.45679,5.759259,11.853333,77.046667,1.41358,88.009738
US_WA_53051,2020-01-02,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,27.81,35.22,2.679012,0.203704,5.765432,0.127,69.85,-2.271605,70.04119
US_WA_53051,2020-01-03,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,20.41,26.91,1.67284,-0.796296,6.04321,3.259667,85.09,-0.91358,83.35513
US_WA_53051,2020-01-04,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,21.44,42.88,3.944444,-0.191358,7.746914,0.846667,90.17,-2.246914,65.08614
US_WA_53051,2020-01-05,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,17.45,39.49,1.475309,-0.82716,7.148148,0.084667,85.09,-3.265432,70.972726
US_WA_53051,2020-01-06,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,25.02,38.91,0.691358,-1.111111,3.641975,2.201333,70.273333,-1.333333,86.533599
US_WA_53051,2020-01-07,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,15.65,32.23,2.932099,-0.734568,4.506173,11.43,214.63,1.203704,89.223026
US_WA_53051,2020-01-08,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,26.04,26.04,3.271605,1.320988,5.728395,4.953,199.39,0.296296,81.346167
US_WA_53051,2020-01-09,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,45.78,20.45,-1.845679,-7.012346,4.709877,0.15875,154.94,-6.530864,70.69449
US_WA_53051,2020-01-10,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,29.5,40.32,-5.179012,-7.876543,-0.685185,0.677333,136.313333,-7.691358,82.591615
US_WA_53051,2020-01-11,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,,27.13,-1.617284,-4.487654,0.506173,15.748,78.74,-2.666667,92.616782
US_WA_53051,2020-01-12,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,23.1,30.14,-0.191358,-1.740741,1.382716,3.683,253.153333,-1.481481,91.170606
US_WA_53051,2020-01-13,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,29.22,30.3,-3.666667,-8.17284,0.722222,6.604,299.72,-6.679012,79.648524
US_WA_53051,2020-01-14,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,20.88,28.47,-9.006173,-10.580247,-4.728395,1.354667,309.88,-11.814815,80.14666
US_WA_53051,2020-01-15,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,23.69,38.5,-8.888889,-11.493827,-4.407407,1.397,313.266667,-11.617284,80.662739
US_WA_53051,2020-01-16,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,34.38,25.28,-4.17284,-7.932099,-1.839506,2.032,333.586667,-6.259259,85.589897
US_WA_53051,2020-01-17,ChIJ2X7nrSs7YlMR1qGx_GcRMsk,Q485301,geoId/53051,US,United States of America,WA,Washington,53051,Pend Oreille County,US,USA,2,,,,,,,,,,,,,,,,,,,,13358,6816,6542,1332,1500,1128,1250,1360,2076,2568,1503,641,1150582,48.53,-117.28,3692,79.24,,,,24.96,46.93,-3.5,-6.345679,-0.216049,1.651,440.69,-5.376543,86.848
