location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01123,2020-01-01,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,6.22,3.69,5.07,8.06,5.99,3.46,4.61,3.46,14.75,,9.22,4.15,8.29,,5.99,,,3.92,4.15,4.84,15.67,,8.53,,4.15,5.07,36.41,5.53,5.07,6.45,3.46,3.92,5.183333,-1.277778,13.727778,0.0,-1.472222,61.616386
US_AL_01123,2020-01-02,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,6.74,7.61,5.22,8.91,6.3,6.74,4.35,4.57,17.17,,11.3,,8.48,4.78,3.69,3.48,5.0,5.22,,6.3,22.82,6.3,7.83,4.35,4.35,5.0,35.87,6.3,7.39,4.57,4.57,5.87,9.355556,5.016667,13.95,0.677333,6.020833,79.29103
US_AL_01123,2020-01-03,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,3.33,10.42,3.1,9.76,7.98,,3.33,,13.97,3.33,9.09,,6.65,3.77,3.77,3.77,3.99,4.88,6.21,10.42,20.84,5.54,9.31,4.88,3.99,3.55,39.02,7.09,5.32,4.66,4.43,4.66,17.388889,11.527778,21.177778,37.422667,16.555556,93.649638
US_AL_01123,2020-01-04,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,7.35,7.81,4.36,9.19,5.51,3.9,5.74,3.9,17.92,3.9,9.42,,7.58,,3.67,,4.13,3.22,3.67,3.44,16.77,6.89,6.2,3.44,3.67,4.36,37.67,,6.43,4.13,6.89,3.22,13.477778,8.122222,16.838889,10.978444,9.493056,76.233766
US_AL_01123,2020-01-05,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,3.57,6.66,,9.51,7.37,4.52,7.37,4.52,17.84,4.52,11.41,5.95,7.37,4.76,4.04,5.23,4.76,,4.76,6.18,25.45,5.23,6.42,5.71,4.52,4.52,37.1,5.95,6.42,6.42,4.28,6.9,5.061111,-1.872222,13.666667,0.5334,-1.694444,61.266
US_AL_01123,2020-01-06,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,5.02,6.99,4.15,9.61,,6.33,12.67,,12.45,3.93,6.55,4.15,7.65,3.93,,4.37,4.37,3.71,3.28,6.77,25.56,4.59,7.43,3.28,3.71,4.81,39.76,3.71,6.33,3.28,4.59,4.81,7.194444,0.372222,18.277778,0.0,2.847222,73.61767
US_AL_01123,2020-01-07,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,4.67,4.26,4.67,8.93,5.89,4.46,3.65,4.06,13.4,3.45,11.57,3.25,11.16,7.71,,3.65,3.25,,4.26,6.09,20.09,5.89,7.1,4.06,3.45,4.06,35.11,4.26,5.28,3.04,6.29,6.29,11.511111,6.877778,15.372222,0.22225,4.104167,60.439777
US_AL_01123,2020-01-08,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,6.81,4.95,3.1,10.12,6.4,6.4,5.16,3.72,9.5,3.3,7.22,4.75,8.05,,4.54,5.16,3.72,,,8.88,23.74,,5.37,3.92,3.1,4.75,32.82,3.1,9.08,4.54,4.95,3.92,6.311111,-1.988889,17.055556,0.0,-2.381944,53.560569
US_AL_01123,2020-01-09,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,4.27,7.92,,10.57,5.08,4.67,7.52,,11.38,3.86,6.1,3.05,8.13,4.27,5.28,,4.67,4.27,4.27,8.74,20.73,5.89,5.08,5.69,7.32,4.27,36.17,4.88,5.89,4.67,5.28,3.45,7.405556,-0.45,18.461111,0.0,0.229167,59.480478
US_AL_01123,2020-01-10,ChIJ0cO6TY0SjIgRXJQOsRghdwk,Q512787,geoId/01123,US,United States of America,AL,Alabama,01123,Tallapoosa County,US,USA,2,,,,,,,40613,19774,20839,4664,4697,4822,4092,4783,5856,6033,3857,1809,1850812,32.861389,-85.797222,1985,74.71,,,,,4.95,5.94,,8.31,6.13,5.94,5.94,,11.28,2.97,7.92,4.95,9.5,3.37,3.37,3.37,4.35,2.77,3.56,8.12,19.99,3.76,8.91,5.74,4.55,7.52,32.46,5.34,5.94,5.74,3.56,,16.933333,13.983333,21.805556,0.0,10.868056,67.552874
