location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_FL_12075,2020-01-01,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,6.8,10.2,,7.73,5.25,4.95,4.64,5.25,14.53,4.64,5.87,8.35,4.64,,,5.87,,,9.27,22.87,8.96,7.73,4.33,4.33,6.18,41.41,,5.56,6.18,,,11.922222,6.655556,18.783333,0.0,3.882716,60.52971
US_FL_12075,2020-01-02,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,5.23,8.01,7.7,11.7,7.39,,7.39,5.23,20.32,11.7,5.54,8.01,,7.39,,4.62,6.77,7.08,6.16,33.87,7.39,11.39,,,6.16,41.56,5.23,10.16,4.62,4.31,7.7,15.5,8.611111,25.8,0.0,9.691358,71.107485
US_FL_12075,2020-01-03,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,7.01,8.54,,12.81,11.89,,,,15.25,9.45,5.79,8.23,4.88,4.88,4.88,6.4,5.49,4.88,10.06,23.78,5.18,11.59,6.1,5.18,4.88,45.43,10.06,8.54,,7.62,,21.95,17.177778,27.45,0.0,18.987654,86.258771
US_FL_12075,2020-01-04,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,6.22,5.63,5.92,11.55,8.0,8.59,,,13.62,6.22,4.15,8.0,5.04,,,5.04,5.63,,7.7,22.21,7.7,8.0,,4.15,4.44,34.95,,6.22,7.4,,5.33,21.255556,17.366667,25.238889,0.889,19.092593,89.522169
US_FL_12075,2020-01-05,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,,9.56,,11.1,8.02,8.02,,,14.8,9.87,5.24,11.1,,5.24,5.55,6.17,4.32,7.09,8.94,24.98,4.93,7.09,,,,36.08,6.78,4.93,4.32,4.32,5.86,12.05,5.016667,18.738889,4.953,1.808642,51.00278
US_FL_12075,2020-01-06,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,7.95,9.48,6.11,16.82,8.26,7.95,4.59,5.81,17.43,6.11,5.5,11.31,,,,7.03,4.89,6.11,7.64,20.79,6.42,9.48,,7.03,,43.11,,8.87,6.11,6.11,,9.555556,2.761111,18.5,0.0,2.617284,63.576915
US_FL_12075,2020-01-07,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,4.96,11.15,7.13,12.7,10.84,9.6,,,16.11,7.44,4.34,7.75,6.2,6.51,,,,,12.39,30.36,5.58,8.05,4.96,4.34,8.05,38.73,4.65,8.68,,7.13,4.96,11.477778,3.761111,20.927778,0.0,7.611111,78.379041
US_FL_12075,2020-01-08,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,5.03,9.26,,10.32,7.41,5.03,4.76,6.08,13.76,8.99,6.88,7.41,4.5,4.23,4.23,4.23,5.55,3.7,7.14,21.69,5.03,6.61,5.03,,4.5,34.39,5.03,11.11,5.82,3.97,5.55,11.672222,2.933333,19.266667,0.0,2.697531,56.278993
US_FL_12075,2020-01-09,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,4.48,6.59,,14.5,5.54,3.69,4.48,,14.76,7.38,4.22,6.59,,3.95,,3.95,5.54,7.12,9.75,28.99,5.54,4.74,3.69,,,37.69,,9.75,5.27,5.27,5.27,11.765432,2.679012,23.962963,0.0,6.209877,69.046199
US_FL_12075,2020-01-10,ChIJ7908BbD26IgRFinrUKJ6BFA,Q501022,geoId/12075,US,United States of America,FL,Florida,12075,Levy County,US,USA,2,,,,,,,40276,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110,1210721,29.28,-82.79,3658,74.925,,,,,,4.58,4.58,3.56,8.9,6.61,5.6,6.61,3.56,8.65,6.87,4.07,8.14,4.58,7.38,,5.09,4.83,4.58,8.65,22.13,6.36,7.12,,6.11,5.09,36.12,5.85,8.9,5.85,6.36,,18.722222,13.098765,26.216049,0.0,14.475309,76.466407
