location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05093,2020-01-01,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,6.74,7.86,,8.42,7.02,4.21,6.18,,17.13,3.93,14.6,,8.98,5.33,,4.77,4.21,6.18,6.46,,23.02,5.05,5.9,,5.33,6.46,42.4,,8.42,7.02,3.93,8.14,4.95679,-0.969136,12.030864,0.0,,-2.074074,60.596078
US_AR_05093,2020-01-02,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,5.61,6.09,3.66,9.75,6.58,,,4.63,15.84,5.61,12.92,,6.82,5.12,,5.12,4.39,4.14,6.34,7.8,23.4,5.12,7.31,4.63,5.61,8.04,40.94,,4.87,6.82,5.12,,9.805556,7.594444,11.994444,1.016,,5.711111,75.937203
US_AR_05093,2020-01-03,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,,10.29,,9.07,9.31,6.62,4.17,5.39,14.46,,8.58,5.39,10.54,5.39,5.88,6.13,,3.92,,12.74,22.3,5.88,8.58,5.64,3.68,4.66,37.5,4.41,6.13,5.88,5.15,6.62,12.544444,10.422222,14.233333,22.606,,12.138889,97.389862
US_AR_05093,2020-01-04,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,4.7,6.64,,9.68,5.25,5.81,9.4,6.36,13.55,,7.74,,7.74,,4.7,,,5.25,,6.36,23.79,5.53,8.85,,4.7,,38.72,,8.02,6.36,,,6.493827,2.975309,12.425926,1.143,,2.395062,75.188776
US_AR_05093,2020-01-05,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,6.58,6.86,4.0,9.15,4.58,5.72,7.43,4.86,12.87,,5.15,,7.72,4.86,4.86,,,,7.15,7.72,19.44,5.15,5.15,,5.72,,40.88,,4.0,5.15,5.72,4.29,5.617284,-0.166667,15.882716,0.0,,0.796296,71.226463
US_AR_05093,2020-01-06,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,5.58,4.93,,9.87,8.15,7.3,5.58,3.86,10.3,3.0,7.3,,8.8,,6.01,4.29,,3.86,3.0,7.94,20.82,6.22,3.22,3.43,3.0,6.22,36.91,3.0,4.51,5.15,4.51,4.51,7.761111,1.838889,13.066667,0.0,,1.483333,64.716883
US_AR_05093,2020-01-07,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,4.81,6.16,2.69,7.51,6.16,4.23,2.89,,11.16,3.66,6.74,2.89,6.35,2.89,4.23,,2.69,6.16,4.81,8.85,19.25,4.23,6.93,3.85,4.62,6.35,33.1,6.35,6.35,4.81,4.81,6.16,7.138889,2.344444,12.838889,0.0,,-0.566667,58.196689
US_AR_05093,2020-01-08,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,3.6,5.11,2.84,11.18,6.63,3.79,3.79,3.22,8.14,3.6,7.2,,3.22,7.39,,3.22,2.84,2.84,,5.49,28.41,5.11,4.92,3.41,4.17,6.44,29.36,,9.47,4.36,,4.92,7.372222,0.633333,15.35,0.0,,-1.372222,54.275112
US_AR_05093,2020-01-09,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,3.82,7.26,,7.07,5.35,4.01,3.63,3.06,9.16,,6.11,4.77,6.3,4.58,4.58,,,4.58,,6.68,25.01,4.39,6.3,2.86,2.86,5.16,31.31,3.06,9.16,4.96,4.58,,10.927778,5.644444,16.577778,0.0,,2.722222,57.614115
US_AR_05093,2020-01-10,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,4.68,4.68,,5.99,5.8,,4.12,4.68,9.92,4.3,7.48,3.56,6.92,3.56,2.81,2.62,5.05,,3.74,6.92,16.65,5.24,4.87,3.18,,5.05,29.38,3.37,5.61,4.68,4.3,3.18,16.077778,14.161111,18.283333,1.27,,12.561111,79.893935
US_AR_05093,2020-01-11,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,3.94,7.88,3.68,5.26,7.1,6.04,,,7.36,,6.57,,7.88,3.94,4.73,,8.15,,,5.52,14.72,,6.04,3.94,,5.78,35.48,,5.78,6.83,3.68,5.52,13.302469,5.203704,20.148148,37.761333,,12.179012,92.939785
US_AR_05093,2020-01-12,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,4.55,5.89,,6.16,5.36,4.29,6.16,4.82,9.64,,7.77,4.29,8.03,,,,4.55,4.02,,6.43,17.41,,5.62,,,9.11,35.35,,,4.29,,,2.91358,1.061728,5.37037,14.332857,,0.740741,85.688337
US_AR_05093,2020-01-13,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,5.35,6.49,2.67,4.01,7.26,3.82,5.35,4.96,10.31,,4.96,2.86,7.64,4.2,4.58,,3.82,4.01,4.58,8.02,21.96,4.96,5.54,,5.54,4.2,32.27,,3.25,5.16,,4.96,5.209877,2.203704,9.759259,0.028222,,3.209877,87.005892
US_AR_05093,2020-01-14,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,4.41,5.94,,7.28,3.83,4.41,4.6,6.13,8.62,,5.36,,10.72,,3.26,4.02,3.26,3.83,,7.85,19.34,5.17,4.41,,3.45,5.94,35.05,3.06,4.41,4.21,5.17,5.36,9.858025,6.283951,14.58642,0.544286,,8.592593,91.931322
US_AR_05093,2020-01-15,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,4.71,3.39,,10.36,5.84,3.77,5.65,3.01,8.85,,5.46,3.95,6.78,3.39,5.84,,5.46,3.58,5.08,7.16,25.61,6.59,7.53,4.71,3.58,4.52,32.95,,3.58,4.33,3.2,4.14,14.209877,10.481481,18.740741,0.145143,,13.765432,97.18092
US_AR_05093,2020-01-16,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,4.43,5.58,3.46,8.28,6.74,4.81,5.2,5.2,8.08,,5.97,,7.12,3.85,3.46,,2.69,4.43,3.46,7.7,20.01,5.58,6.35,3.46,4.81,5.97,33.1,,5.0,3.46,5.77,2.89,8.888889,3.530864,16.358025,2.850444,,5.753086,80.828227
US_AR_05093,2020-01-17,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,5.57,4.54,,8.25,7.63,4.74,3.3,3.71,7.63,4.33,4.74,,5.77,5.15,3.5,3.5,4.33,3.5,,7.01,22.06,6.8,8.04,3.09,,3.92,28.86,3.3,4.74,,4.54,,3.845679,1.240741,8.351852,0.108857,,-2.074074,65.540723
US_AR_05093,2020-01-18,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,5.77,5.77,,8.24,3.85,7.42,4.67,,8.24,,4.4,5.77,6.59,5.77,,,,6.87,,5.22,18.13,4.95,,3.85,,,34.34,,4.67,7.14,,5.77,12.685185,6.401235,17.080247,8.043333,,8.08642,73.728484
US_AR_05093,2020-01-19,ChIJ86DhFR1bf4gR8wi7Cg8YkMU,Q61157,geoId/05093,US,United States of America,AR,Arkansas,05093,Mississippi County,US,USA,2,,,,,,,42112,20533,21579,6040,6083,5690,5139,4801,5715,4685,2545,1414,1818421,35.776667,-90.054444,2382,74.358333,,,,,,,8.84,,10.49,6.9,9.11,6.35,5.8,12.98,3.87,7.18,4.97,8.56,3.87,6.08,,5.25,6.08,4.14,12.98,17.67,4.14,9.66,4.42,5.25,4.42,41.42,5.25,4.69,5.52,4.69,,2.87037,-0.67284,9.549383,4.374444,,-7.450617,46.754976
