location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22075,2020-01-01,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,,6.92,7.82,8.12,7.52,4.21,10.53,6.32,6.62,,,4.81,,19.26,,6.02,,32.8,5.42,,13.486111,10.680556,17.388889,0.0,5.366667,56.441573
US_LA_22075,2020-01-02,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,,8.25,9.31,6.92,3.73,,13.3,7.98,7.18,5.59,,5.59,5.32,19.96,8.25,7.45,5.32,33.8,6.92,6.92,19.777778,16.034722,22.902778,0.217714,17.7,84.161185
US_LA_22075,2020-01-03,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,3.85,8.48,10.02,4.11,,5.14,14.13,12.84,4.37,,,3.85,4.37,25.68,4.11,6.17,4.88,26.97,5.39,5.14,18.361111,15.048611,21.902778,2.667,17.888889,93.034072
US_LA_22075,2020-01-04,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,,9.77,11.49,6.89,,,12.93,7.76,6.89,5.17,,4.02,5.17,19.82,,7.76,,29.59,7.47,7.18,15.263889,13.729167,17.097222,5.55625,11.3,74.572827
US_LA_22075,2020-01-05,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,,9.35,11.69,6.13,7.01,4.09,10.22,6.72,5.84,,,5.55,,24.54,7.01,7.3,4.38,31.26,6.13,5.26,12.708333,9.027778,17.513889,0.0,3.366667,54.447689
US_LA_22075,2020-01-06,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,4.05,6.58,10.12,7.08,5.56,4.8,9.1,4.55,5.31,3.54,,,5.31,20.99,7.33,6.07,4.3,32.12,6.83,5.31,14.166667,10.451389,20.111111,0.0,7.344444,63.003215
US_LA_22075,2020-01-07,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,3.68,7.11,11.03,7.35,,3.43,9.56,6.86,8.34,4.17,,4.17,6.62,17.41,5.64,7.11,5.64,30.64,3.43,7.11,15.458333,13.277778,17.847222,0.0,9.133333,63.269454
US_LA_22075,2020-01-08,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,,6.63,9.69,5.87,3.57,5.87,9.18,6.63,8.93,,4.84,,4.08,33.66,4.59,,,32.9,19.38,4.08,12.972222,9.6875,17.388889,0.0,4.1,56.336303
US_LA_22075,2020-01-09,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,4.52,9.05,13.32,6.28,,6.28,11.31,7.04,8.54,,4.02,4.02,6.53,28.39,5.03,7.54,7.54,32.41,14.07,6.53,17.708333,14.319444,21.548611,0.0,12.644444,71.899712
US_LA_22075,2020-01-10,ChIJ6ZWKBiRNnogRjKC5_s4Anjw,Q503864,geoId/22075,US,United States of America,LA,Louisiana,22075,Plaquemines Parish,US,USA,2,,,,,,,23348,11768,11580,3272,3298,3024,3151,3048,3194,2350,1297,714,1836429,29.39,-89.48,6290,74.316667,,,,,,5.97,9.95,10.7,,3.73,3.73,9.2,5.72,3.98,4.23,,3.73,8.71,22.39,3.48,6.97,3.73,33.58,8.96,6.47,20.5625,18.833333,23.069444,0.181429,18.933333,88.453494
