location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22101,2020-01-01,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,7.18,5.45,,12.62,4.46,5.69,4.21,5.94,,16.09,,9.65,4.21,,5.94,4.95,5.69,4.21,3.46,4.7,4.21,,5.69,24.01,7.18,,9.9,3.46,6.19,,40.84,4.21,4.21,7.67,,7.67,,10.988889,7.122222,15.188889,0.0,4.309524,62.718956
US_LA_22101,2020-01-02,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,,8.27,3.6,9.75,8.9,4.24,6.36,5.3,,19.29,5.51,15.47,,7.42,8.05,3.39,7.42,4.24,4.45,4.66,4.24,,8.48,26.7,5.93,3.39,11.02,5.51,4.24,9.11,36.03,2.97,6.36,3.6,3.81,4.88,3.81,18.161111,12.044444,23.116667,9.6012,16.777778,90.602032
US_LA_22101,2020-01-03,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,7.33,5.17,3.45,11.42,7.54,4.96,7.76,5.39,,14.44,3.66,11.42,3.23,4.74,7.11,6.46,3.88,3.23,4.53,4.96,3.88,,8.84,25.86,5.39,4.09,7.97,5.82,4.96,4.09,39.87,5.82,7.76,6.68,3.66,5.6,,16.616667,14.027778,21.761111,14.111111,16.015873,95.456183
US_LA_22101,2020-01-04,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,4.56,9.35,3.36,13.19,8.39,6.0,4.8,,4.56,14.15,5.75,7.91,5.51,3.84,4.8,4.08,4.56,4.32,6.0,4.32,5.28,4.8,11.99,25.18,6.23,,11.03,,6.95,6.23,42.68,3.84,9.83,4.32,3.36,,3.36,13.855556,10.65,17.255556,9.144,9.412698,73.924606
US_LA_22101,2020-01-05,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,6.41,10.93,,10.69,7.13,,6.65,5.94,,15.68,,9.03,4.51,5.23,8.55,4.99,4.75,,5.94,4.04,,,7.13,25.65,5.46,,8.55,3.8,3.56,4.99,42.52,5.46,7.84,7.6,3.56,4.28,4.28,11.194444,5.661111,17.894444,0.0,6.007937,70.974755
US_LA_22101,2020-01-06,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,5.32,9.36,4.46,12.97,7.23,3.4,7.02,6.38,,15.31,3.4,9.57,4.89,3.83,8.51,5.1,8.51,,3.62,4.89,6.38,,7.66,24.24,7.87,3.83,8.72,4.68,6.17,4.68,38.28,6.8,5.74,3.62,5.74,6.17,,14.466667,9.016667,21.05,0.028222,10.206349,76.408139
US_LA_22101,2020-01-07,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,6.01,8.49,3.73,9.94,6.42,3.52,5.18,7.25,,13.05,2.9,10.15,4.97,,10.77,4.56,5.18,4.14,3.31,4.56,2.9,4.35,7.67,26.31,4.35,4.14,8.49,3.73,4.56,6.63,42.88,3.11,8.91,4.35,7.25,7.67,5.18,14.883333,11.133333,18.894444,0.0,7.460317,61.264208
US_LA_22101,2020-01-08,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,4.67,6.59,,12.32,7.86,5.95,4.46,4.46,,11.69,,8.92,,3.61,8.71,5.1,4.67,4.89,2.97,3.4,6.37,3.19,7.65,35.91,6.37,3.19,8.5,4.89,5.31,,45.68,4.46,20.18,5.52,,4.04,,10.555556,4.45,18.111111,0.0254,3.206349,60.917284
US_LA_22101,2020-01-09,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,3.33,10.6,,11.22,5.2,3.74,6.65,4.57,,10.6,2.91,5.61,3.74,5.82,11.64,3.95,5.61,4.57,5.2,2.91,5.2,3.74,8.94,30.75,6.03,4.36,9.14,6.03,6.23,6.23,47.17,4.78,12.88,3.95,6.03,4.57,2.91,16.083333,11.05,22.555556,0.0254,12.468254,78.922144
US_LA_22101,2020-01-10,ChIJu52ZXSjGI4YRx02Ec_tMop8,Q507088,geoId/22101,US,United States of America,LA,Louisiana,22101,St. Mary Parish,US,USA,2,,,,,,,50708,25008,25700,6901,6478,6570,6003,5883,7431,5926,3575,1941,1837809,29.64,-91.47,2898,74.00625,,,,,,,5.05,8.0,,14.11,7.37,6.32,5.48,5.48,,13.06,,8.42,5.05,,8.42,4.63,6.95,3.16,4.42,4.42,5.26,3.58,8.85,27.17,7.37,,8.63,5.9,2.95,3.58,38.54,5.9,7.79,5.26,4.42,6.74,,20.322222,17.35,24.572222,0.254,18.896825,91.285528
