location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13273,2020-01-17,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,9.1,10.71,14.423611,10.805556,19.756944,0.3175,-0.203704,37.5857
US_GA_13273,2020-01-18,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,18.43,21.5,12.604938,7.506173,21.271605,0.072571,5.619048,63.592419
US_GA_13273,2020-01-19,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,,22.67,14.475309,7.166667,18.925926,4.487333,8.801587,69.676327
US_GA_13273,2020-01-20,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,,18.21,4.555556,-0.135802,8.530864,1.044222,-5.571429,48.204026
US_GA_13273,2020-01-21,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,9.91,14.86,1.882716,-2.518519,7.598765,0.0,-6.388889,54.350967
US_GA_13273,2020-01-22,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,10.86,17.93,2.987654,-3.283951,12.382716,0.0,-7.214286,46.469154
US_GA_13273,2020-01-23,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,13.45,11.83,8.154321,4.45679,13.654321,0.580571,-0.031746,56.978715
US_GA_13273,2020-01-24,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,15.0,16.55,13.512346,8.598765,19.469136,8.932333,10.992063,86.119993
US_GA_13273,2020-01-25,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,12.69,18.66,8.592593,2.555556,15.839506,1.495778,2.603175,65.896814
US_GA_13273,2020-01-26,ChIJWUYTqemR8ogRmSdN7RXXYBY,Q503492,geoId/13273,US,United States of America,GA,Georgia,13273,Terrell County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695,4167,4528,1099,1093,1134,992,870,1201,1178,739,389,1074326,31.78,-84.44,874,74.175,,,,20.26,17.47,7.604938,1.246914,13.796296,0.0,2.18254,67.654499
