location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WY_56017,2020-01-01,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,52.31,-2.569444,-8.0625,3.826389,0.0,165.1,-9.444444,61.104655
US_WY_56017,2020-01-02,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-0.729167,-5.756944,3.666667,0.084667,165.1,-8.18254,58.398701
US_WY_56017,2020-01-03,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-2.597222,-8.3125,4.6875,0.0,165.1,-10.0,57.185861
US_WY_56017,2020-01-04,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,73.81,0.006944,-6.784722,7.895833,0.0,165.1,-7.238095,59.783454
US_WY_56017,2020-01-05,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-2.388889,-8.111111,5.819444,0.0,165.1,-11.68254,50.984705
US_WY_56017,2020-01-06,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-4.034722,-9.409722,1.770833,0.0,165.1,-12.595238,53.015043
US_WY_56017,2020-01-07,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-1.583333,-7.444444,5.576389,0.0,165.1,-9.380952,55.732281
US_WY_56017,2020-01-08,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,44.84,-0.652778,-7.395833,5.527778,0.0,165.1,-6.992063,63.536422
US_WY_56017,2020-01-09,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,49.35,-3.069444,-8.166667,2.993056,0.0,165.1,-10.087302,60.399106
US_WY_56017,2020-01-10,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,45.93,-8.659722,-14.826389,-0.784722,0.0,154.94,-13.706349,68.542085
US_WY_56017,2020-01-11,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-7.347222,-12.958333,0.3125,0.0,154.94,-14.071429,59.205267
US_WY_56017,2020-01-12,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-5.8125,-11.909722,-0.590278,0.0,154.94,-12.531746,61.401024
US_WY_56017,2020-01-13,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,41.04,-5.395833,-12.083333,-0.763889,0.0,154.94,-13.992063,52.192526
US_WY_56017,2020-01-14,ChIJy_6r4J-9TFMRZ5TmEfkrQp4,Q114123,geoId/56017,US,United States of America,WY,Wyoming,56017,Hot Springs County,US,USA,2,,,,,,,4686,2388,2298,523,560,411,502,442,649,762,513,324,288536,43.71,-108.44,5196,76.5,,,,,-7.951389,-14.243056,-0.354167,0.0,154.94,-15.293651,59.107055
