location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19057,2020-01-01,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,7.57,8.95,5.28,9.64,6.66,6.66,,5.51,5.74,6.43,3.9,14.92,,11.71,,,7.57,9.64,7.34,3.44,4.36,3.67,6.43,,5.28,18.13,6.2,,9.18,,5.51,5.05,8.49,44.3,4.13,5.51,4.59,,,6.89,3.9,0.205556,-5.111111,9.65,0.0254,-3.233333,77.834667
US_IA_19057,2020-01-02,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.44,9.96,3.71,7.03,8.2,5.08,4.3,4.49,5.08,5.27,,11.13,4.88,5.08,,6.83,11.91,3.9,5.27,4.3,4.3,4.49,4.88,2.93,7.42,28.12,6.44,,6.44,3.71,4.88,6.25,7.42,41.4,3.32,4.69,7.62,4.49,4.1,6.44,3.9,6.366667,2.25,11.083333,0.0,0.8,67.713883
US_IA_19057,2020-01-03,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.16,7.12,6.93,9.63,8.47,5.01,3.66,5.2,3.66,4.43,,15.4,7.51,9.82,6.16,4.04,9.82,6.36,5.39,3.27,4.43,4.62,2.7,4.24,8.09,25.23,5.2,,6.55,,7.12,4.24,5.58,40.63,3.47,5.2,5.2,5.58,4.24,4.04,3.66,1.994444,-0.1,7.005556,0.0,0.255556,88.423413
US_IA_19057,2020-01-04,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,8.16,5.83,3.26,8.86,8.39,5.59,3.5,5.83,4.43,,4.66,13.52,4.2,8.62,,5.59,7.69,7.93,3.26,4.66,6.29,6.76,6.99,4.43,4.66,25.64,5.36,3.73,7.46,4.2,,5.13,6.99,39.4,4.66,6.99,4.66,3.5,3.5,5.13,,-0.166667,-2.738889,1.083333,0.9652,-1.35,91.815322
US_IA_19057,2020-01-05,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,8.27,9.42,5.05,8.5,6.43,8.5,,3.91,5.51,5.97,3.91,18.61,4.6,9.65,,3.91,5.74,5.05,7.12,6.2,,3.22,6.2,3.22,7.12,25.5,10.11,4.14,5.74,3.45,3.45,5.51,8.27,43.66,4.14,5.29,4.37,3.45,6.2,,4.83,0.755556,-5.044444,8.694444,0.1016,-2.994444,76.148269
US_IA_19057,2020-01-06,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.42,7.67,2.99,8.79,7.86,3.55,4.11,4.86,4.86,5.99,,16.08,3.55,11.6,4.49,4.67,8.04,5.99,5.42,3.55,2.62,3.74,4.86,2.62,5.24,29.55,5.05,3.74,10.29,3.93,3.93,5.24,4.86,38.9,4.86,5.61,4.67,4.11,4.86,,4.86,0.155556,-5.1,5.3,0.0,-4.116667,73.150943
US_IA_19057,2020-01-07,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.61,5.66,4.34,11.32,8.49,5.66,3.21,7.74,3.58,,,17.55,5.09,6.98,3.77,6.23,8.3,5.85,3.58,4.15,5.85,4.72,5.85,3.77,6.98,29.63,5.28,4.72,5.66,3.77,6.42,5.09,6.42,42.84,5.47,4.34,7.55,4.15,4.15,3.96,2.83,0.238889,-3.305556,5.338889,0.0,-4.066667,72.999041
US_IA_19057,2020-01-08,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.22,5.41,3.73,11.37,5.22,6.34,4.1,5.22,5.22,3.17,3.73,16.77,,10.25,,3.54,10.25,5.03,4.1,3.91,6.71,3.35,4.29,,8.01,28.7,4.66,4.85,8.95,3.17,6.15,3.17,5.41,36.71,,9.13,4.66,5.03,2.98,5.78,2.61,-3.816667,-9.027778,2.233333,0.0,-10.744444,58.758736
US_IA_19057,2020-01-09,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.59,7.08,5.78,9.69,10.81,4.84,4.1,5.59,3.91,2.98,,14.16,,9.5,4.1,8.38,9.32,5.03,3.54,,4.29,4.47,4.1,,6.15,30.93,4.1,,8.2,2.61,4.47,6.15,4.1,39.69,5.78,11.18,5.96,3.35,3.54,4.47,2.79,4.633333,-4.411111,15.188889,0.0,-1.766667,63.30236
US_IA_19057,2020-01-10,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.71,5.47,4.34,8.68,8.49,5.47,6.04,4.34,3.02,4.9,,10.37,3.21,4.53,3.21,4.71,7.73,4.71,3.96,3.77,3.39,3.58,5.28,,4.53,22.44,4.9,3.58,6.22,2.83,4.15,5.66,6.79,40.17,5.28,6.22,5.09,3.96,4.34,4.15,3.21,4.616667,0.016667,12.794444,0.6604,2.211111,84.610163
