location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01021,2020-01-11,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,4.75,7.84,3.33,10.93,6.42,3.8,4.51,5.7,10.22,,5.7,,7.13,,5.46,,3.33,4.04,5.46,7.13,16.16,5.23,6.65,,4.51,5.46,38.49,4.75,6.65,4.04,5.7,3.8,20.266667,17.227778,23.327778,6.858,16.944444,81.765246
US_AL_01021,2020-01-12,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,6.15,5.63,4.35,10.24,6.4,7.17,6.4,,14.6,5.12,7.94,5.38,11.01,3.84,4.35,4.61,5.63,4.35,5.63,8.2,25.1,7.68,7.94,4.1,3.58,7.17,41.49,6.4,8.71,9.47,4.87,7.43,13.777778,7.355556,19.627778,16.0274,11.277778,83.714139
US_AL_01021,2020-01-13,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,4.59,6.79,4.99,8.58,5.79,5.19,5.39,2.99,13.77,,6.39,5.99,8.78,3.99,4.39,4.59,3.79,4.19,3.39,6.79,23.55,4.39,7.59,3.59,4.59,5.99,34.53,6.59,7.99,3.79,,4.19,16.211111,12.972222,19.4,6.462889,14.97619,92.362621
US_AL_01021,2020-01-14,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,7.81,7.23,,5.08,6.25,3.52,6.45,5.47,11.53,3.91,6.45,4.49,8.6,4.1,3.91,3.13,5.86,4.3,3.52,8.21,25.79,,6.84,8.99,3.52,4.49,36.34,5.67,4.49,4.49,4.69,4.1,18.372222,16.527778,20.338889,32.201556,17.722222,96.520921
US_AL_01021,2020-01-15,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,6.22,6.62,3.81,8.23,7.83,3.21,2.81,3.81,10.64,3.21,4.62,3.61,8.83,3.21,5.62,4.01,3.81,5.02,3.01,7.03,28.5,7.63,6.83,3.21,3.61,7.43,34.12,6.83,9.84,4.21,3.01,7.03,16.711111,12.355556,21.044444,29.774444,15.833333,93.949313
US_AL_01021,2020-01-16,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,4.35,6.72,3.36,7.11,7.31,5.93,3.95,4.15,9.29,3.56,4.54,4.94,11.66,4.15,4.54,4.74,4.15,3.36,4.94,9.29,21.74,6.32,8.1,4.94,5.14,3.95,35.57,5.93,6.52,5.53,6.52,5.14,17.727778,14.483333,20.094444,1.580444,12.912698,74.473246
US_AL_01021,2020-01-17,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.25,7.0,4.08,8.36,7.58,4.08,4.28,5.45,10.89,4.47,8.95,5.83,9.53,3.5,2.92,3.5,4.47,3.69,3.31,6.22,24.89,4.28,4.47,5.06,4.86,4.28,34.42,3.69,6.81,5.25,4.86,4.67,13.655556,9.305556,20.216667,0.282222,-2.47619,33.446131
US_AL_01021,2020-01-18,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.78,8.55,3.52,10.3,7.04,4.52,6.79,4.52,14.58,7.04,8.29,5.03,6.79,7.29,4.27,6.79,5.53,4.52,7.54,7.79,22.37,6.03,7.04,4.27,5.78,6.03,38.96,,5.53,3.77,5.03,5.78,12.911111,10.177778,17.083333,1.213556,4.436508,57.396386
US_AL_01021,2020-01-19,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.38,6.66,3.84,8.46,6.92,5.89,6.66,,13.07,4.1,6.66,4.61,9.74,,4.61,6.92,,7.69,,9.48,23.83,5.89,8.46,4.36,4.1,5.12,40.75,5.12,7.18,4.87,4.61,7.43,10.266667,4.233333,15.883333,4.289778,2.15873,57.643995
US_AL_01021,2020-01-20,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,4.9,9.54,,11.09,8.25,4.9,7.48,,17.28,6.19,13.67,3.87,8.25,,8.77,9.8,6.45,4.38,6.19,10.31,28.11,10.83,10.31,4.9,4.9,7.22,41.26,6.19,6.96,7.74,,9.8,1.9,-2.383333,7.733333,0.1524,-7.611111,49.826699
