location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MT_30103,2020-01-01,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,4.072222,-1.816667,7.7,0.141111,,-3.8,57.715308
US_MT_30103,2020-01-02,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,1.861111,-1.355556,6.838889,1.3335,,-3.516667,68.964657
US_MT_30103,2020-01-03,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-1.194444,-6.011111,6.8,0.127,30.48,-6.911111,65.683618
US_MT_30103,2020-01-04,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,5.005556,-2.661111,12.055556,0.0,30.48,-5.744444,46.474968
US_MT_30103,2020-01-05,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-0.194444,-4.538889,7.422222,0.0,30.48,-11.766667,41.552702
US_MT_30103,2020-01-06,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-0.716667,-5.683333,3.255556,0.0,,-11.383333,44.71873
US_MT_30103,2020-01-07,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,0.761111,-4.255556,5.072222,0.310444,,-5.116667,67.447123
US_MT_30103,2020-01-08,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,0.311111,-4.405556,6.633333,0.6096,,-4.761111,69.726994
US_MT_30103,2020-01-09,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-5.577778,-9.977778,1.961111,0.0635,,-9.783333,73.401266
US_MT_30103,2020-01-10,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-12.438889,-18.788889,-2.627778,1.312333,30.48,-15.555556,77.639439
US_MT_30103,2020-01-11,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-4.527778,-15.533333,1.522222,0.15875,30.48,-10.711111,62.390289
US_MT_30103,2020-01-12,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-4.95,-12.272222,1.383333,0.0,30.48,-10.127778,67.433177
US_MT_30103,2020-01-13,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-14.277778,-18.583333,-9.594444,0.211667,30.48,-17.183333,79.496209
US_MT_30103,2020-01-14,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-19.55,-22.272222,-13.966667,0.423333,30.48,-23.033333,74.989365
US_MT_30103,2020-01-15,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-18.472222,-24.366667,-10.805556,0.580571,30.48,-22.972222,69.148575
US_MT_30103,2020-01-16,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-13.383333,-21.916667,-4.694444,0.0508,30.48,-18.266667,68.307102
US_MT_30103,2020-01-17,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-11.816667,-19.35,-3.444444,0.0,50.8,-15.966667,72.273857
US_MT_30103,2020-01-18,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-13.077778,-19.011111,-5.222222,0.1524,30.48,-18.605556,64.564288
US_MT_30103,2020-01-19,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-7.061111,-16.288889,1.855556,0.0,30.48,-13.033333,63.160554
US_MT_30103,2020-01-20,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-2.416667,-9.261111,6.538889,0.0,30.48,-9.727778,57.917333
US_MT_30103,2020-01-21,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,3.422222,-3.516667,9.25,0.0,,-5.555556,52.951247
US_MT_30103,2020-01-22,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,2.555556,-2.527778,9.011111,0.03175,,-5.055556,58.507452
US_MT_30103,2020-01-23,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,-0.022222,-5.25,6.777778,0.141111,,-7.138889,59.555668
US_MT_30103,2020-01-24,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,3.222222,-5.083333,10.25,0.0,,-3.888889,60.259909
US_MT_30103,2020-01-25,ChIJA2i1s4mIN1MRy1tlb22NyCg,Q496744,geoId/30103,US,United States of America,MT,Montana,30103,Treasure County,US,USA,2,,,,,,,673,338,335,84,55,65,73,37,107,116,80,56,1740652,46.2,-107.27,2549,3.672222,-1.461111,10.688889,0.0,,-4.861111,54.381119
