location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26143,2020-01-01,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,,9.15,10.56,5.28,7.39,6.69,19.72,13.03,7.39,,,,17.6,8.8,5.63,7.75,39.43,6.69,5.28,-2.944444,-6.294444,0.722222,1.397,124.46,-6.444444,76.517793
US_MI_26143,2020-01-02,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,7.14,10.36,9.64,7.5,6.79,10.71,17.14,11.79,10.71,,,6.43,23.93,,6.79,,37.14,5.36,,2.194444,-1.766667,5.833333,0.127,90.17,-2.305556,71.368914
US_MI_26143,2020-01-03,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,5.11,5.47,12.04,8.39,7.66,8.03,19.7,11.68,8.03,5.84,,,29.19,6.93,6.57,6.57,37.58,,5.84,1.838889,-0.344444,4.816667,0.310444,129.54,-1.402778,78.954769
US_MI_26143,2020-01-04,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,9.86,11.97,10.92,6.69,8.1,6.69,19.37,11.62,8.1,,,5.28,23.24,8.8,5.99,,35.22,,7.39,-1.383333,-2.5,1.427778,0.0,129.54,-3.902778,82.593848
US_MI_26143,2020-01-05,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,,8.81,7.34,8.45,5.88,,12.12,8.45,9.18,6.24,6.24,5.88,18.73,,,,40.77,,,-1.761111,-2.927778,-0.883333,0.465667,78.74,-4.486111,81.346247
US_MI_26143,2020-01-06,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,10.04,5.02,9.71,8.04,7.03,6.7,14.4,5.02,11.72,7.37,,8.04,19.42,,,6.03,29.13,7.7,,-0.761111,-3.011111,1.0,3.011714,78.74,-5.368056,70.770742
US_MI_26143,2020-01-07,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,,7.97,8.96,7.97,6.31,7.97,17.26,8.3,15.27,5.97,5.64,7.97,27.88,8.63,,10.29,33.86,7.97,4.65,-1.211111,-5.361111,1.794444,0.423333,100.33,-4.930556,76.41321
US_MI_26143,2020-01-08,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,5.11,8.86,12.61,7.16,,5.45,14.66,10.91,9.54,,5.79,9.88,23.86,7.84,10.23,4.77,37.15,8.86,,-6.494444,-9.288889,0.55,0.381,100.33,-12.444444,62.845318
US_MI_26143,2020-01-09,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,4.83,4.83,7.74,7.09,6.12,6.12,6.45,6.12,15.15,,5.8,6.45,22.24,,7.41,8.06,36.42,9.35,,-6.238889,-10.45,1.511111,0.677333,115.57,-11.201389,67.713914
US_MI_26143,2020-01-10,ChIJA9jWuxg2IIgR_dNWieMs1Ms,Q506987,geoId/26143,US,United States of America,MI,Michigan,26143,Roscommon County,US,USA,2,,,,,,,23731,11818,11913,1829,2038,1885,1836,2187,3686,5146,3478,1646,1907339,44.33,-84.61,1502,76.3125,,,,,,6.26,5.33,5.95,7.52,,4.38,11.28,5.64,12.22,,,6.26,19.73,,6.89,5.95,34.77,,,4.661111,0.544444,7.177778,0.677333,180.34,1.9375,81.626254
