location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18137,2020-01-01,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,8.38,7.37,8.04,9.72,6.7,6.03,20.78,9.05,,6.37,,4.69,4.69,6.37,25.81,5.03,7.71,6.03,8.04,46.93,,7.37,7.04,3.811111,0.783333,8.911111,0.0,,-2.877778,61.77843
US_IN_18137,2020-01-02,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,5.77,9.3,15.07,12.83,6.09,6.42,18.92,14.11,5.77,7.7,6.09,7.06,,8.66,27.91,8.02,,4.81,5.77,42.34,,6.74,4.81,6.088889,0.533333,10.616667,0.0,,-0.861111,61.129242
US_IN_18137,2020-01-03,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,8.08,8.39,13.36,8.08,5.59,9.95,25.17,14.61,4.66,7.77,4.66,,6.84,9.95,26.73,,9.32,5.28,5.91,42.89,,6.53,4.66,10.038889,5.461111,11.6,15.094857,,9.238889,94.820672
US_IN_18137,2020-01-04,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,5.01,9.02,8.02,12.36,6.34,6.01,16.36,7.68,5.01,9.35,6.34,,5.34,6.01,26.72,,6.68,6.68,,46.09,5.68,7.68,,5.516667,1.7,10.394444,10.341429,,3.516667,87.127856
US_IN_18137,2020-01-05,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,,9.62,9.27,6.53,,7.21,19.92,8.93,,10.64,,4.81,,5.15,26.79,,6.87,,4.81,39.83,6.53,,6.18,2.544444,-1.905556,8.683333,1.354667,,-2.794444,67.953537
US_IN_18137,2020-01-06,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,8.1,7.81,8.68,8.39,5.5,11.28,13.6,7.52,8.97,12.44,5.79,4.34,4.34,5.21,25.46,7.23,4.63,,5.79,45.14,5.79,8.39,10.99,3.766667,-2.516667,8.561111,0.0,,-3.355556,59.830195
US_IN_18137,2020-01-07,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,5.26,6.42,5.55,10.8,6.72,10.51,23.36,12.55,7.3,8.18,5.26,5.55,,4.38,27.16,8.47,7.88,,7.88,41.75,,8.18,5.55,2.622222,-2.733333,9.227778,0.0,,-4.838889,58.158391
US_IN_18137,2020-01-08,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,6.14,,11.4,11.69,4.38,,15.79,9.36,,12.86,4.09,5.55,5.85,10.23,29.23,6.43,6.43,,4.38,37.13,4.38,11.11,4.38,2.344444,-2.061111,7.983333,0.0,,-7.272222,49.288817
US_IN_18137,2020-01-09,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,4.23,7.86,10.57,9.97,7.55,6.65,19.34,9.06,9.67,10.57,6.65,,4.23,9.06,37.16,6.04,8.46,5.74,4.23,40.49,6.65,9.97,6.34,3.344444,-3.811111,14.527778,0.0,,-6.244444,49.884669
US_IN_18137,2020-01-10,ChIJucoWu6JeaogRZhKgwiyGrjw,Q506547,geoId/18137,US,United States of America,IN,Indiana,18137,Ripley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28428,14084,14344,3553,3968,3245,3195,3570,4056,3449,2152,1240,1481874,39.1,-85.26,1160,78.216667,,,,,5.84,6.42,7.29,10.51,8.75,,11.96,7.88,4.67,10.8,,7.29,4.08,7.88,30.93,6.42,6.42,5.25,4.67,31.52,,8.17,7.0,12.761111,9.816667,15.822222,5.1435,,6.038889,64.193744
