location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48411,2020-01-01,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,,9.561728,6.339506,12.851852,0.0,,-0.3125,50.314833
US_TX_48411,2020-01-02,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,,12.358025,9.574074,18.080247,0.0,,8.569444,77.291999
US_TX_48411,2020-01-03,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,,10.734568,5.802469,15.722222,0.0,,3.590278,61.779021
US_TX_48411,2020-01-04,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,39.37,9.506173,1.481481,20.796296,0.0,,-1.958333,45.523883
US_TX_48411,2020-01-05,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,47.47,12.765432,4.308642,23.518519,0.0,,-1.458333,38.263583
US_TX_48411,2020-01-06,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,34.64,11.080247,1.895062,22.092593,0.0,,0.479167,49.592149
US_TX_48411,2020-01-07,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,29.05,9.845679,0.191358,18.728395,0.0,,-4.548611,37.017252
US_TX_48411,2020-01-08,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,48.35,9.135802,0.753086,19.0,0.0,,-4.638889,38.399048
US_TX_48411,2020-01-09,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,26.6,17.851852,14.524691,23.012346,0.0,,11.923611,67.952746
US_TX_48411,2020-01-10,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,,19.487654,15.419753,23.308642,1.354667,,15.201389,76.437182
US_TX_48411,2020-01-11,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,,9.444444,3.0,19.111111,8.946444,,3.409722,67.181466
US_TX_48411,2020-01-12,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,,6.950617,1.185185,17.333333,0.0,,1.868056,70.117161
US_TX_48411,2020-01-13,ChIJHdw-VTtoWoYRpYs5vltuIHc,Q484586,geoId/48411,US,United States of America,TX,Texas,48411,San Saba County,US,USA,2,,,,,,,5996,3260,2736,620,692,938,689,570,720,778,625,364,1836915,31.16,-98.81,2948,79.55,,,12.320988,6.697531,18.580247,0.0,,9.284722,82.01204
