location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NM_35035,2020-01-11,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.73,6.82,9.55,5.61,8.95,,7.58,4.7,,,6.07,2.73,2.73,2.27,2.43,3.64,15.62,3.34,8.64,4.25,2.12,4.09,2.88,6.22,4.55,3.03,2.88,3.64,4.85,3.18,3.49,5.61,2.12,4.55,,3.79,5.91,24.26,4.7,3.64,6.52,3.18,4.25,5.31,2.27,,5.76,40.18,2.88,,3.18,5.0,8.34,2.43,3.79,3.64,4.25,4.55,5.61,2.58,4.09,3.34,3.18,1.855556,-6.2,10.766667,0.3302,,-8.080247,47.929263
US_NM_35035,2020-01-12,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,,5.26,9.62,4.06,9.32,2.41,5.86,4.21,,2.71,5.26,3.76,3.61,,3.01,3.31,20.9,3.16,10.38,3.16,,3.46,,5.26,3.76,2.41,3.76,4.81,7.07,2.71,3.76,4.66,2.41,4.06,2.25,3.01,8.87,24.66,6.17,2.1,7.67,2.41,2.56,4.06,,2.56,6.32,37.44,,2.86,3.61,4.36,8.87,,3.46,,5.11,,5.26,2.25,4.51,4.66,3.46,5.755556,-2.983333,14.383333,0.0,,-10.259259,30.175468
US_NM_35035,2020-01-13,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,,5.96,7.39,3.24,8.56,2.85,8.17,6.35,,2.46,7.0,5.06,2.07,3.5,2.2,2.46,18.15,3.76,10.11,3.11,2.2,6.22,,9.2,3.5,2.85,3.5,4.15,7.78,2.33,3.63,4.02,,5.18,2.46,2.85,7.91,26.7,5.57,3.76,6.87,3.11,4.54,4.15,,3.37,5.06,41.35,2.33,,,4.02,5.32,4.02,4.28,2.2,5.18,4.93,6.09,3.63,4.8,3.89,2.59,8.394444,-0.45,18.766667,0.0,,-10.148148,25.563307
US_NM_35035,2020-01-14,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.06,3.86,7.34,3.6,10.04,3.35,8.11,4.38,1.8,1.8,5.28,4.76,2.44,2.19,2.06,2.06,16.47,2.44,9.91,3.73,,4.63,2.06,8.88,3.73,3.73,3.22,5.92,5.41,1.93,6.05,3.35,1.8,6.18,,4.76,8.88,22.52,5.15,2.57,7.72,3.6,4.38,4.63,,1.93,5.66,39.12,1.8,,1.8,3.35,6.18,,3.35,3.35,5.28,4.25,7.08,3.6,3.48,3.35,2.19,9.4,0.627778,19.616667,0.0,,-10.685185,22.874589
US_NM_35035,2020-01-15,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.48,4.56,8.99,4.56,9.64,1.82,8.08,5.21,2.48,3.0,4.43,3.78,1.82,2.6,2.08,3.39,18.76,2.73,9.77,3.13,,4.04,3.65,11.85,4.3,,3.26,4.56,5.08,2.35,3.13,2.6,,4.56,2.35,3.39,5.86,25.14,5.34,5.21,8.21,1.82,4.56,2.6,,2.21,3.65,35.95,1.82,,3.78,5.47,8.73,3.39,2.48,1.95,3.78,4.69,4.43,2.21,3.26,3.52,,10.838889,3.6,18.172222,0.0,,-10.222222,21.875236
US_NM_35035,2020-01-16,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.68,3.83,8.05,4.47,9.46,2.17,9.07,6.01,2.94,4.6,5.5,3.58,,2.43,1.92,,15.72,3.71,10.22,,2.3,5.88,1.79,9.46,2.81,2.68,3.07,6.01,6.9,2.3,4.09,4.73,,5.11,,3.71,9.71,26.33,6.26,5.24,3.96,2.43,4.09,4.09,2.17,2.68,3.96,37.06,1.79,,,4.98,4.34,3.45,3.19,2.3,4.98,4.86,3.07,2.17,3.71,2.17,,8.572222,4.1,15.144444,0.112889,,-2.87037,44.829909
US_NM_35035,2020-01-17,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,3.57,4.08,7.78,5.49,10.59,,5.61,7.14,2.81,2.93,4.59,5.49,,3.44,1.79,2.17,16.84,4.97,12.63,2.42,1.91,3.19,2.68,10.84,3.06,1.91,2.93,4.59,6.51,2.3,4.59,4.21,2.55,4.46,,3.06,8.16,27.68,7.02,4.85,5.49,2.04,3.95,3.83,1.79,2.42,4.59,36.48,2.55,,,4.21,7.4,2.42,3.19,4.08,5.74,4.85,3.06,,4.85,3.83,1.79,7.261111,1.944444,16.794444,1.0668,,3.283951,75.858685
US_NM_35035,2020-01-18,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,,5.23,8.0,4.77,8.0,,4.92,2.77,,2.77,6.61,3.38,3.08,6.15,,3.23,17.07,4.0,7.84,3.54,,2.46,,8.76,4.3,,3.08,4.3,7.69,4.3,2.77,4.61,,6.3,,2.92,7.07,26.91,6.3,3.08,4.15,3.54,2.46,4.77,,,4.61,35.98,2.46,,3.84,3.08,7.07,3.23,2.92,,6.46,5.69,3.54,3.54,3.08,2.46,2.15,7.816667,-0.322222,15.666667,0.0,,-3.814815,42.773807
US_NM_35035,2020-01-19,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,2.42,6.05,7.26,4.24,11.65,,6.96,6.66,,2.27,6.05,3.94,,3.94,2.27,2.42,20.43,3.18,14.08,3.18,2.57,3.18,,6.66,3.78,2.42,2.27,3.18,6.21,3.18,4.39,3.18,2.27,5.15,2.73,,6.36,26.34,4.39,2.88,6.36,2.88,3.18,5.45,,2.27,6.21,42.08,,,3.33,3.33,4.54,2.42,4.09,2.27,5.3,2.88,3.33,3.78,4.69,3.63,3.33,5.272222,-1.922222,13.922222,0.0,,-5.240741,46.602891
US_NM_35035,2020-01-20,ChIJpes6ZYqm4YYR9_BF1GXkUs0,Q489756,geoId/35035,US,United States of America,NM,New Mexico,35035,Otero County,US,USA,2,,,,,,,66121,34250,31871,8910,8084,10691,8720,6787,7850,7410,4808,2861,1832205,32.62,-105.73,17162,77.430769,,,,,,3.04,5.36,8.99,4.06,11.6,,10.29,6.23,2.46,3.91,4.93,5.07,3.04,3.77,,,22.76,4.64,12.18,2.75,2.61,4.49,2.17,12.47,5.8,3.77,2.75,5.07,9.42,2.32,3.19,,2.46,4.06,2.61,4.06,8.84,28.85,5.22,4.06,8.12,3.48,4.06,5.65,2.61,,6.38,42.33,,,2.9,3.62,8.26,4.93,2.61,3.04,6.81,5.65,4.35,3.04,3.62,3.77,2.17,5.4,-1.261111,13.116667,0.0,,-4.876543,47.655164
