location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51033,2020-01-01,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,3.72,8.37,8.37,6.51,8.84,4.65,13.96,6.98,4.42,6.28,,5.12,,,3.72,20.47,7.44,5.58,,6.98,28.84,3.49,,3.49,,4.888889,-2.033333,12.1,0.0,,-2.116667,61.083085
US_VA_51033,2020-01-02,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,3.96,6.94,7.93,6.94,4.46,,18.33,11.15,4.21,7.18,4.96,5.45,3.47,4.71,6.94,22.3,4.96,,,4.21,34.43,4.21,7.43,4.96,7.93,3.527778,-3.372222,13.733333,0.0,,-2.104938,66.667273
US_VA_51033,2020-01-03,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,6.24,3.84,8.88,7.92,4.56,,16.81,7.44,,6.48,,,,,5.04,22.57,5.04,8.16,,6.0,28.82,,8.64,3.6,4.32,10.238889,6.861111,12.833333,2.921,,6.65,78.605801
US_VA_51033,2020-01-04,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,4.62,7.4,9.71,5.78,4.62,3.93,12.95,8.55,3.24,9.25,,4.62,4.62,,,18.03,5.09,7.17,,3.47,31.44,4.86,6.93,4.86,3.47,12.783333,9.05,16.477778,3.8735,,11.955556,94.776056
US_VA_51033,2020-01-05,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,5.32,8.1,11.34,5.55,3.7,8.33,13.42,8.1,3.93,8.79,,,,4.16,4.86,20.12,6.01,9.25,4.39,5.55,39.79,3.93,4.39,4.39,5.78,6.75,1.261111,12.455556,8.164286,,-0.877778,58.381079
US_VA_51033,2020-01-06,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,5.7,5.95,8.42,8.18,,6.19,14.37,7.43,6.44,6.94,4.21,5.7,,,8.42,20.31,,7.18,,,36.42,,4.71,5.7,,3.838889,-2.372222,13.077778,0.0254,,-2.788889,62.266863
US_VA_51033,2020-01-07,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,5.66,5.66,9.91,5.66,4.48,4.96,15.57,11.56,6.13,7.08,4.25,4.25,4.72,4.96,5.66,23.12,4.48,8.49,4.48,6.13,41.76,6.84,8.02,6.61,4.01,0.272222,-3.872222,6.855556,4.753429,,-2.527778,81.616633
US_VA_51033,2020-01-08,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,5.27,7.18,11.97,8.62,,6.7,10.77,7.66,,7.9,3.83,3.35,,3.35,5.03,25.62,4.07,7.9,4.55,5.99,34.96,4.79,8.14,4.79,,2.266667,-3.688889,9.561111,3.2258,,-3.627778,65.24185
US_VA_51033,2020-01-09,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,5.29,6.8,8.56,8.56,,5.04,12.84,6.04,,9.82,,5.29,6.8,,7.55,25.93,5.79,7.05,4.03,5.29,35.25,3.52,6.8,,,-0.216667,-5.755556,7.233333,0.0,,-7.338889,58.9357
US_VA_51033,2020-01-10,ChIJ_4mgAtTNtokRf8I9f3p7Qm4,Q341708,geoId/51033,US,United States of America,VA,Virginia,51033,Caroline County,US,USA,2,,,,,,,30432,15021,15411,4120,3583,3561,4122,3872,4354,3623,2170,1027,2534169,38.03,-77.35,1379,76.257143,,,,,,,4.18,5.41,14.02,5.66,4.18,5.17,15.0,8.85,4.43,9.1,6.39,,4.92,4.18,7.13,23.36,6.89,6.15,3.94,,33.94,4.67,5.9,5.9,4.43,5.322222,-2.616667,15.483333,0.0,,0.388889,70.637536
