location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ID_16011,2020-01-01,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,4.74,8.68,6.32,12.37,7.37,5.53,6.58,9.21,19.47,,9.74,6.05,8.42,8.95,10.0,5.79,5.0,5.0,4.21,5.26,,4.21,25.53,6.32,3.68,7.37,,6.58,7.11,43.95,,5.53,4.47,6.05,6.58,3.68,-4.006173,-9.12963,0.32716,3.683,,-5.579365,84.334466
US_ID_16011,2020-01-02,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,5.21,8.84,,10.65,5.44,5.89,6.57,4.53,25.39,,12.7,4.08,3.63,8.16,5.21,,4.99,,,3.85,,6.35,28.79,9.07,3.4,4.53,5.44,3.85,6.35,42.39,4.53,7.03,4.31,,4.76,,-2.771605,-7.54321,0.395062,6.223,,-4.873016,83.224551
US_ID_16011,2020-01-03,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,3.49,9.07,,10.0,7.21,6.05,,5.81,18.37,3.72,10.0,,3.95,9.07,3.26,4.19,5.81,4.65,5.58,3.95,3.72,7.44,30.23,7.21,6.98,8.14,3.72,,7.91,37.21,,6.28,7.67,4.65,3.95,,-2.783951,-7.345679,0.851852,0.0,,-5.809524,76.784979
US_ID_16011,2020-01-04,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,4.44,9.93,4.96,11.49,7.84,7.31,5.75,4.96,19.07,,13.32,,4.96,9.66,8.62,,4.18,5.49,3.66,5.22,,4.96,28.21,9.14,4.7,7.31,,4.18,7.58,42.57,3.66,7.31,7.58,4.18,3.92,,-5.574074,-12.611111,2.802469,0.15875,,-8.388889,79.64256
US_ID_16011,2020-01-05,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,3.59,9.49,6.41,10.78,8.72,5.13,6.93,,23.86,,7.44,5.39,4.36,8.72,3.85,6.93,5.39,,6.41,7.7,,6.67,25.91,4.36,5.13,,4.36,5.64,6.16,42.85,4.11,6.41,6.16,3.85,7.95,,-5.753086,-11.580247,1.91358,0.41275,,-8.420635,80.236574
US_ID_16011,2020-01-06,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,4.72,5.71,4.13,9.84,7.67,5.71,4.13,4.53,17.32,3.94,10.04,3.54,4.72,9.64,7.87,3.94,7.87,3.94,3.54,4.13,2.95,5.71,24.01,7.87,4.92,6.1,5.12,5.31,8.86,40.74,3.74,3.94,5.12,2.95,5.12,4.72,-4.296296,-8.969136,-1.382716,1.23825,,-7.261905,76.795217
US_ID_16011,2020-01-07,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,,7.53,3.76,8.12,9.51,3.76,6.54,3.96,16.24,4.16,11.29,4.16,5.74,7.53,5.35,6.14,5.54,2.97,6.14,,,5.94,28.91,5.94,3.76,4.75,5.35,,5.94,40.8,4.55,5.74,5.35,,4.75,2.97,-0.716049,-6.271605,3.277778,0.41275,30.48,-4.507937,72.987141
US_ID_16011,2020-01-08,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,7.45,6.88,4.2,8.4,9.17,7.07,7.26,,11.27,3.25,8.21,3.44,4.01,7.83,5.16,5.16,5.73,,4.78,2.67,3.25,7.26,32.28,7.07,3.06,4.01,5.16,5.16,8.21,38.21,2.87,9.55,6.69,5.73,4.97,3.82,-1.950617,-5.518519,2.617284,0.41275,,-5.333333,76.847002
US_ID_16011,2020-01-09,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,7.23,5.42,3.01,13.05,8.63,4.22,7.83,3.81,15.66,5.02,7.43,4.01,6.02,9.23,5.02,5.62,5.42,4.62,4.22,4.01,,6.22,30.12,4.62,3.21,4.42,8.43,3.81,7.23,35.13,,8.83,5.82,3.21,,,-3.259259,-6.006173,0.061728,1.4605,,-5.34127,82.552243
US_ID_16011,2020-01-10,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,3.07,5.91,3.94,8.32,9.42,3.28,4.82,3.72,17.08,3.5,8.76,,3.5,11.17,,4.82,4.6,,3.72,3.72,,8.1,24.74,4.82,,7.23,5.04,5.47,6.79,34.6,3.28,7.45,5.69,4.38,,3.94,-9.537037,-18.808642,-2.166667,1.61925,30.48,-12.81746,75.233197
US_ID_16011,2020-01-11,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,4.99,5.25,4.2,8.92,8.14,7.87,5.25,8.4,13.12,4.2,6.82,3.67,,9.71,6.56,8.92,4.99,,5.77,4.99,5.25,7.87,26.77,8.66,,7.61,,5.25,,37.53,4.46,6.3,7.35,4.99,5.25,,-6.271605,-12.462963,-2.314815,0.762,30.48,-8.888889,76.603269
US_ID_16011,2020-01-12,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,4.89,7.21,3.61,8.24,9.01,5.41,7.98,6.18,14.16,4.89,9.01,5.67,5.92,9.27,4.64,3.86,6.95,4.38,4.89,4.64,3.86,5.15,25.5,5.41,,8.24,,6.7,6.7,41.72,4.64,6.95,8.76,,4.89,,-4.820988,-8.154321,-2.407407,2.667,50.8,-7.095238,80.330578
US_ID_16011,2020-01-13,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,4.34,6.4,4.11,10.74,8.46,4.34,4.11,,18.06,3.43,11.66,,4.8,11.88,4.34,6.63,6.4,,,4.8,3.2,7.31,24.46,4.34,3.66,9.83,,5.03,5.26,43.2,,8.69,5.49,5.03,6.86,,-5.240741,-7.567901,-3.314815,2.25425,50.8,-8.769841,72.945741
US_ID_16011,2020-01-14,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,9.14,5.29,4.09,9.14,6.01,,7.22,5.53,15.64,4.81,9.14,,5.77,12.99,6.01,6.25,8.66,3.61,4.09,6.01,,5.53,27.42,,4.09,5.77,4.81,6.74,5.29,50.28,,6.74,6.98,5.29,5.53,,-4.580247,-7.388889,-1.944444,2.12725,50.8,-6.801587,79.936977
US_ID_16011,2020-01-15,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,,9.8,6.93,8.85,8.85,6.22,7.17,5.5,17.93,6.22,9.09,,5.26,11.72,5.02,5.74,4.78,5.74,,,4.3,8.13,24.63,8.37,,7.65,5.74,,7.41,40.89,3.59,5.26,5.02,5.26,3.59,5.26,-7.555556,-12.098765,-2.648148,3.429,78.74,-10.912698,74.028785
US_ID_16011,2020-01-16,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,4.78,9.77,,7.18,6.18,2.99,4.19,6.58,12.76,5.18,5.98,,4.38,11.76,3.59,4.78,3.59,4.58,6.98,3.59,,5.18,31.49,6.18,,5.58,5.78,6.18,4.19,38.87,4.78,7.97,3.79,4.38,2.99,2.79,-9.493827,-17.061728,-0.858025,0.0,99.06,-12.960317,72.570151
US_ID_16011,2020-01-17,ChIJC96h0OOkVVMRw8mHhmNBGno,Q488548,geoId/16011,US,United States of America,ID,Idaho,16011,Bingham County,US,USA,2,,,,,,,45884,22908,22976,7660,7783,5446,5792,4996,5231,4777,2708,1491,1742076,43.22,-112.4,5491,78.775,,,,,,7.94,9.43,,9.43,8.44,7.44,9.18,4.96,15.88,3.47,8.68,3.47,5.46,10.42,7.94,4.71,4.71,4.22,5.46,,4.96,6.7,28.78,7.69,3.47,8.44,3.72,,4.22,43.42,4.22,8.44,4.96,5.46,5.46,,-3.055556,-7.487654,1.308642,0.41275,78.74,-6.960317,70.471284
