location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28085,2020-01-12,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,10.35,9.2,9.59,7.29,14.19,6.9,8.82,23.77,,6.9,38.35,9.59,,9.41358,6.024691,16.061728,25.964444,,6.555556,82.588154
US_MS_28085,2020-01-13,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,5.19,7.1,8.19,5.46,11.2,9.29,8.47,23.48,5.74,7.1,39.32,7.1,4.92,12.932099,9.216049,17.037037,1.233714,,11.623457,91.859535
US_MS_28085,2020-01-14,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,4.52,10.74,5.94,6.22,10.18,11.59,10.46,25.73,4.52,8.2,37.6,11.31,4.52,19.438272,16.802469,22.401235,13.280571,,18.432099,93.987246
US_MS_28085,2020-01-15,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.91,7.74,7.47,6.91,9.13,8.02,11.34,19.63,,8.85,39.54,9.13,6.08,20.394444,18.261111,24.544444,51.27625,,18.383333,88.348857
US_MS_28085,2020-01-16,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,4.43,9.13,9.4,4.7,10.51,7.47,12.45,33.19,8.85,5.53,39.56,7.47,4.43,17.688889,14.277778,22.244444,0.34925,,16.288889,91.702601
US_MS_28085,2020-01-17,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,5.41,9.4,7.69,5.98,10.82,4.84,7.12,19.09,6.84,4.27,30.48,5.98,,13.505556,10.644444,17.855556,4.826,,6.105556,61.10119
US_MS_28085,2020-01-18,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,7.25,6.16,9.42,,9.42,8.7,,28.64,5.44,9.79,35.88,11.24,6.16,17.9,14.7,22.066667,0.85725,,15.111111,83.917874
US_MS_28085,2020-01-19,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,8.49,9.96,6.64,,9.23,9.96,8.49,21.04,8.12,7.75,36.9,6.27,,10.216667,4.061111,19.444444,8.692444,,0.588889,51.341711
US_MS_28085,2020-01-20,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,5.18,10.01,7.25,7.25,11.39,13.11,9.66,24.15,8.63,6.56,43.48,7.59,7.59,3.75,0.05,8.705556,0.0,,-4.683333,54.292956
US_MS_28085,2020-01-21,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,4.44,9.47,6.81,8.88,10.36,13.32,9.47,25.16,6.51,5.62,42.63,7.7,5.33,1.416667,-2.605556,7.0,0.0,,-4.655556,64.229266
