location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18133,2020-01-01,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,4.37,9.01,7.1,9.01,8.73,6.82,6.28,,15.29,7.64,6.28,5.46,3.82,,3.82,5.46,4.64,,5.46,24.84,6.82,4.64,4.64,,7.1,36.85,4.91,,,,5.46,2.5,-1.238889,8.294444,0.0,,-2.41358,70.567885
US_IN_18133,2020-01-02,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,5.41,5.67,4.12,7.47,9.54,8.25,4.38,,14.95,11.85,6.18,6.7,12.88,4.12,5.41,,4.38,3.87,8.5,23.45,7.47,6.44,4.9,3.87,4.64,36.85,4.64,8.25,4.38,4.64,4.38,6.927778,0.327778,11.322222,0.0,,-0.148148,61.122692
US_IN_18133,2020-01-03,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,4.43,6.65,3.69,10.59,6.4,7.88,7.14,,20.19,10.09,,10.83,,4.68,,4.43,3.69,,6.16,25.85,5.91,6.16,4.18,3.94,9.6,38.9,5.17,7.39,7.63,3.69,,7.638889,4.116667,10.7,8.438444,,6.567901,93.963292
US_IN_18133,2020-01-04,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,6.34,8.71,,9.77,5.55,5.28,4.23,,20.34,12.68,,8.19,,,6.87,4.49,,3.96,10.04,24.82,7.39,6.07,3.96,,6.34,36.97,5.28,5.81,4.23,7.92,,2.727778,0.816667,7.816667,2.88925,,0.82716,87.931756
US_IN_18133,2020-01-05,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,6.27,10.72,4.44,6.8,6.27,5.23,5.23,3.92,18.3,10.98,5.23,6.27,4.97,4.44,6.27,,4.44,4.44,5.75,22.22,3.92,4.44,4.18,6.54,6.27,33.72,,4.71,5.75,,3.92,1.333333,-3.788889,8.855556,0.1524,,-2.944444,73.434408
US_IN_18133,2020-01-06,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,,6.86,3.32,9.51,8.85,5.31,3.98,4.2,16.82,6.42,,5.97,4.87,5.75,3.98,3.98,3.1,5.31,6.86,26.33,4.65,6.86,5.09,5.31,5.75,36.73,3.98,8.85,5.09,,6.64,2.366667,-3.733333,8.422222,0.0,,-3.333333,66.875292
US_IN_18133,2020-01-07,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,7.56,6.48,,9.29,7.13,4.54,,,15.78,7.35,4.97,11.45,,4.54,3.46,,4.11,4.54,8.86,27.23,9.72,7.35,6.48,3.89,6.48,34.58,5.83,6.27,4.75,6.7,5.4,1.416667,-3.944444,7.794444,0.0,,-3.82716,69.157337
US_IN_18133,2020-01-08,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,5.16,6.45,3.87,8.38,8.81,5.37,3.87,4.94,13.32,6.88,4.3,13.11,6.02,6.23,4.08,4.51,4.51,5.59,8.59,28.14,4.3,5.59,3.01,3.65,6.88,31.37,4.51,11.17,7.52,5.59,,0.166667,-3.966667,6.516667,0.0,,-7.111111,59.729532
US_IN_18133,2020-01-09,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,4.25,5.1,4.46,9.98,4.04,5.1,2.97,4.46,12.75,4.89,,9.77,5.1,5.31,,,3.82,5.31,9.98,26.77,4.89,4.89,,4.46,6.8,36.33,4.04,11.05,6.37,3.61,3.82,2.95,-3.05,12.755556,0.0,,-5.802469,53.18156
US_IN_18133,2020-01-10,ChIJ05EYYTLnbIgRBdFbAFyOkUQ,Q506531,geoId/18133,US,United States of America,IN,Indiana,18133,Putnam County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37363,19571,17792,3924,5067,5962,4333,4507,5205,4207,2588,1570,1458328,39.67,-86.84,1250,77.757143,,,,,2.92,5.01,4.8,8.98,5.22,7.73,4.39,3.55,10.86,7.73,4.39,7.73,3.13,3.76,4.39,3.76,3.13,3.97,5.01,21.72,4.59,5.85,,,5.01,31.74,2.92,8.56,5.22,3.34,3.55,10.694444,6.25,13.711111,20.3708,,8.018519,84.689506
