location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_FL_12007,2020-01-13,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,9.71,13.17,8.32,6.24,7.97,7.97,37.09,6.24,43.34,8.32,6.24,22.938272,19.111111,27.975309,0.028222,19.395833,79.745728
US_FL_12007,2020-01-14,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,7.32,10.46,5.58,8.71,8.71,6.97,30.32,,35.9,6.97,5.58,20.5,14.62963,27.382716,0.0,17.159722,81.373633
US_FL_12007,2020-01-15,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,5.59,6.64,8.38,10.13,12.57,9.08,28.99,8.38,36.67,,7.33,21.617284,15.185185,27.802469,0.169333,18.215278,80.960842
US_FL_12007,2020-01-16,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,7.22,10.84,,14.45,7.22,9.75,19.87,,33.59,7.22,,20.259259,15.67284,26.981481,0.0,17.479167,84.51241
US_FL_12007,2020-01-17,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,6.29,10.13,4.89,15.71,9.78,6.29,26.89,4.89,20.25,,,18.012346,14.790123,24.432099,0.0,10.840278,62.834507
US_FL_12007,2020-01-18,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,7.4,10.44,6.53,16.53,7.83,6.96,26.97,,38.28,,10.01,17.537037,12.092593,24.104938,0.0,11.833333,69.934994
US_FL_12007,2020-01-19,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,7.92,7.5,6.67,16.68,10.42,,23.35,10.42,43.36,8.34,,19.246914,14.253086,24.179012,0.03175,15.576389,79.488563
US_FL_12007,2020-01-20,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,,10.1,,15.57,9.68,10.94,23.14,10.52,43.76,10.94,,9.17284,3.475309,19.796296,2.624667,0.652778,55.16744
US_FL_12007,2020-01-21,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,9.51,10.92,7.4,11.98,7.05,5.99,29.24,6.69,39.81,7.75,4.93,5.518519,1.561728,11.277778,0.0,-2.902778,55.253846
US_FL_12007,2020-01-22,ChIJTeIXRrz95YgRF704pXGzURE,Q156577,geoId/12007,US,United States of America,FL,Florida,12007,Bradford County,US,USA,2,,,,,,,27142,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194,1210713,29.95,-82.17,777,76.2,,,,,6.78,12.14,8.93,14.64,10.0,5.71,22.13,8.93,34.63,,,5.055556,-0.061728,11.777778,0.0,-3.826389,53.170074
