location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53001,2020-01-01,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,11.65,,,20.19,,38.83,,7.794444,2.533333,11.272222,5.1816,30.48,3.154321,72.174946
US_WA_53001,2020-01-02,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,14.23,18.5,,27.74,,46.24,13.52,5.1,2.2,10.911111,0.197556,,-0.666667,65.685299
US_WA_53001,2020-01-03,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,,15.15,,25.97,,36.78,,5.577778,1.738889,11.622222,1.905,,1.265432,73.582383
US_WA_53001,2020-01-04,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,12.3,,,22.3,,41.53,,7.438889,2.45,11.611111,0.0508,,-1.660494,52.476411
US_WA_53001,2020-01-05,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,,14.93,,22.39,,35.83,17.92,3.311111,0.233333,9.916667,0.169333,,-2.283951,66.244098
US_WA_53001,2020-01-06,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,,10.41,,27.59,,30.2,,4.055556,0.4,9.838889,0.762,30.48,-0.425926,72.439463
US_WA_53001,2020-01-07,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,,11.08,,22.17,,21.66,,8.633333,3.188889,10.594444,1.9304,,2.851852,67.639645
US_WA_53001,2020-01-08,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,,8.58,,38.87,,33.31,19.69,5.872222,3.216667,10.411111,1.1684,,0.240741,66.773107
US_WA_53001,2020-01-09,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,,7.65,10.71,30.08,,28.55,17.33,0.766667,-4.311111,6.477778,0.4064,,-3.938272,69.973641
US_WA_53001,2020-01-10,ChIJU2TY1XzZnlQRy3b3en9WOZs,Q156273,geoId/53001,US,United States of America,WA,Washington,53001,Adams County,US,USA,2,,,,,,,,,,,,,,,,,,,,19651,9978,9673,4084,3523,2643,2328,2103,1912,1658,906,494,1153148,46.99,-118.56,4998,78.66,,,,,7.07,10.36,9.42,18.84,,31.56,7.54,-2.194444,-6.6,3.038889,0.2794,114.3,-4.537037,81.279068
