location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47123,2020-01-11,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.94,6.25,,7.46,8.9,6.49,5.29,5.05,15.15,5.77,6.73,3.37,6.97,10.1,,4.57,6.01,5.77,6.01,4.81,9.38,22.85,6.49,8.42,4.57,5.77,,40.41,5.29,8.66,6.01,5.05,5.29,17.894444,12.461111,21.638889,0.8255,,13.561111,76.30855
US_TN_47123,2020-01-12,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,6.39,9.46,4.6,8.18,9.2,5.62,5.11,6.13,16.61,3.58,7.16,,4.34,13.03,6.64,5.11,3.83,5.62,7.92,3.83,7.67,24.02,,10.22,,6.9,6.13,39.61,4.6,10.99,6.64,6.39,4.09,12.516667,5.783333,19.7,15.1765,,7.944444,73.777776
US_TN_47123,2020-01-13,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,3.44,6.23,4.51,10.74,7.52,7.09,8.16,4.08,13.96,3.01,11.81,,8.16,9.88,4.51,8.38,3.87,6.87,4.51,4.51,8.38,29.43,14.18,7.95,6.23,4.3,9.67,49.84,4.73,6.66,4.94,6.87,5.16,9.861111,6.127778,16.261111,0.0,,7.466667,85.227154
US_TN_47123,2020-01-14,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,5.87,5.44,,11.52,7.83,3.91,6.74,4.57,18.48,3.7,11.09,3.91,12.61,10.65,5.22,6.09,7.39,4.57,6.09,4.78,12.39,29.35,7.39,8.26,3.04,3.04,5.22,51.53,5.87,6.74,4.57,3.04,4.35,14.366667,10.3,16.727778,9.93775,,13.15,92.509795
US_TN_47123,2020-01-15,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,6.32,4.36,3.71,8.5,9.81,6.54,7.41,8.06,16.56,3.71,8.28,4.36,5.88,12.42,3.71,4.79,7.41,3.05,3.49,6.97,10.24,30.73,7.41,7.85,5.23,7.19,5.67,48.38,4.36,6.76,10.03,5.67,6.54,14.796296,12.333333,18.074074,9.833429,,13.635802,92.901734
US_TN_47123,2020-01-16,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,4.81,9.83,3.71,8.3,11.14,5.24,5.9,5.68,14.64,,8.3,3.28,5.02,7.64,4.37,7.86,4.37,6.99,3.5,6.12,9.61,28.62,6.55,8.08,5.9,5.24,6.33,44.12,4.59,7.64,6.33,4.15,4.37,13.271605,8.611111,17.166667,2.939143,,7.111111,66.388577
US_TN_47123,2020-01-17,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.12,8.2,,10.14,7.34,7.34,6.04,4.96,15.54,,9.06,3.02,4.1,9.93,7.34,4.32,,4.96,3.24,6.26,10.57,29.14,7.34,7.99,4.32,6.47,3.24,38.42,3.67,8.63,6.69,4.96,4.1,4.092593,0.030864,9.635802,0.592667,,-5.796296,49.035671
US_TN_47123,2020-01-18,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,3.69,10.07,5.9,10.81,6.39,4.67,6.14,3.69,10.07,5.16,5.16,,5.41,9.83,5.65,4.42,5.9,5.41,3.93,6.39,9.83,25.31,6.14,4.42,4.42,5.65,6.63,40.3,3.93,4.92,4.67,5.16,,6.123457,2.709877,9.037037,4.318,,-1.703704,57.884157
US_TN_47123,2020-01-19,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.48,8.73,9.23,14.71,8.73,6.48,3.74,5.24,12.22,3.49,3.99,5.74,,9.73,7.23,4.99,5.99,8.23,7.23,4.99,,23.69,4.99,8.23,,6.23,6.48,37.91,,9.73,3.99,3.49,,5.0625,-0.125,9.770833,11.599333,,-1.368056,63.31131
US_TN_47123,2020-01-20,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,4.59,7.73,3.87,12.32,10.39,5.56,8.21,,17.39,5.07,7.25,,5.07,8.94,5.07,6.04,5.32,7.49,3.38,,9.42,30.2,5.07,9.42,6.52,4.59,6.04,43.73,4.59,8.21,4.11,4.59,7.49,-3.270833,-6.0625,0.243056,0.0,,-9.965278,60.122402
