location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IA_19015,2020-01-01,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,5.45,11.51,8.18,7.27,4.85,5.15,15.45,8.78,7.57,7.27,9.09,7.27,5.45,26.05,6.97,7.88,8.18,33.62,6.97,4.24,-1.633333,-7.15,7.094444,0.0,,-4.876543,79.42401
US_IA_19015,2020-01-02,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,5.87,10.35,10.91,7.83,5.31,4.47,19.86,13.71,10.91,6.43,5.87,5.59,6.15,32.72,3.92,,5.59,34.12,,,3.177778,-2.572222,7.038889,0.0,,0.524691,83.977618
US_IA_19015,2020-01-03,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,5.05,,8.41,7.01,5.05,,15.43,8.7,8.41,6.73,,4.77,6.73,26.93,,7.29,5.05,32.26,,6.73,0.361111,-1.122222,3.522222,0.0,,-1.236111,89.35691
US_IA_19015,2020-01-04,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,6.26,8.45,11.26,5.0,6.88,4.69,18.46,6.88,9.38,4.38,,7.2,,29.09,,5.94,8.76,37.85,5.94,,-2.505556,-5.694444,1.15,1.397,,-4.006173,89.981061
US_IA_19015,2020-01-05,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,5.41,4.21,12.32,8.42,6.61,4.81,15.63,9.32,6.01,,6.61,4.81,,22.24,8.72,5.11,,38.17,4.21,4.51,1.338889,-4.611111,5.488889,0.0508,,-2.728395,74.998324
US_IA_19015,2020-01-06,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,,,7.53,7.53,3.77,8.88,11.03,8.07,12.11,6.19,6.46,3.77,8.61,22.06,5.38,9.15,,30.41,6.46,,-0.855556,-5.488889,4.572222,0.0,,-4.320988,77.989661
US_IA_19015,2020-01-07,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,,4.98,8.3,8.57,5.81,4.42,13.83,7.74,7.19,,5.25,4.98,,25.17,4.98,6.36,5.25,32.08,7.74,6.64,-0.566667,-5.283333,4.15,0.0,,-3.851852,79.617577
US_IA_19015,2020-01-08,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,5.91,11.25,5.91,7.87,4.22,7.03,12.09,8.15,5.62,6.47,,,5.91,25.03,,5.34,5.91,32.06,9.28,5.34,-6.672222,-11.55,1.066667,0.0,,-12.555556,63.652129
US_IA_19015,2020-01-09,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,4.41,6.33,10.47,11.02,,5.79,15.7,7.71,9.37,5.51,6.06,,5.23,31.4,6.61,4.96,4.68,31.68,5.23,4.13,2.255556,-6.75,12.638889,0.0,,-3.783951,65.588898
US_IA_19015,2020-01-10,ChIJ66-6GOfT7YcRjVoobpqLYmk,Q111235,geoId/19015,US,United States of America,IA,Iowa,19015,Boone County,US,USA,2,,,,,,,26443,13366,13077,2993,3307,2990,3402,3157,3900,3591,1846,1257,1783157,42.036389,-93.932222,1485,80.457143,,,,,,7.97,7.71,6.38,,,9.83,6.11,7.44,,,3.99,5.05,21.79,,,5.85,23.65,5.58,3.72,-2.905556,-6.633333,2.827778,0.108857,50.8,-5.259259,84.759695
