location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17103,2020-01-11,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.06,8.88,6.85,10.65,6.85,3.55,6.34,,17.25,10.14,4.57,7.61,4.31,,,5.58,,4.82,3.8,25.11,,3.8,,5.33,5.07,32.72,5.83,6.59,7.36,,,-0.127778,-4.155556,3.772222,20.029714,30.48,-0.981481,94.120951
US_IL_17103,2020-01-12,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.29,5.83,6.09,8.47,7.68,6.09,7.41,4.5,12.44,8.21,4.24,11.38,6.62,7.94,3.97,,,3.97,4.77,23.03,5.56,7.94,,,6.09,41.57,3.71,6.62,7.15,6.35,,-4.716667,-6.416667,-1.511111,2.721429,50.8,-6.938272,84.250502
US_IL_17103,2020-01-13,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,3.32,5.75,3.1,6.63,9.51,5.09,7.52,4.2,15.04,6.63,5.53,10.39,3.98,5.09,3.1,5.53,,4.42,8.85,27.42,7.3,5.75,3.32,4.2,5.09,35.83,3.32,6.86,4.2,6.19,,-1.111111,-2.922222,-0.016667,0.362857,50.8,-2.808642,88.021427
US_IL_17103,2020-01-14,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,6.37,4.83,4.17,10.31,5.27,4.61,5.71,5.71,16.9,9.66,,11.85,4.61,3.73,5.93,7.02,4.17,5.93,7.9,25.9,3.29,4.17,3.51,6.14,,41.7,3.29,4.17,7.9,6.14,4.61,1.105556,-0.988889,3.527778,1.298222,30.48,-0.104938,91.323304
US_IL_17103,2020-01-15,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,,5.9,,10.27,8.74,4.15,6.56,3.28,13.77,6.99,,8.96,5.9,,5.03,,4.37,3.93,6.34,22.51,6.34,3.71,,3.93,6.56,31.47,5.46,5.46,8.74,3.06,4.15,-1.322222,-4.905556,1.461111,0.338667,30.48,-1.839506,95.993201
US_IL_17103,2020-01-16,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.16,4.48,6.05,7.4,6.05,4.48,3.81,4.93,16.14,9.41,4.48,7.4,5.16,3.14,4.71,3.59,4.26,4.71,5.16,28.24,4.03,5.38,3.59,5.6,9.19,31.38,3.59,4.48,,6.05,4.71,-7.216667,-13.355556,0.238889,0.2032,,-10.802469,75.901851
US_IL_17103,2020-01-17,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.31,4.31,4.76,6.58,6.81,4.76,4.31,4.08,14.07,8.4,4.76,7.71,,5.22,4.08,,3.18,3.18,3.4,23.37,4.31,4.54,3.18,,4.31,34.49,,5.22,3.4,4.08,8.4,-7.833333,-11.355556,-3.188889,0.3048,30.48,-11.265432,76.060651
US_IL_17103,2020-01-18,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,6.13,5.07,5.33,5.33,5.07,6.67,6.4,5.07,17.6,10.13,,4.8,4.8,8.0,5.6,5.33,,4.53,6.4,21.87,4.27,4.27,,,,35.21,,4.8,5.87,4.53,3.73,-2.361111,-11.444444,0.905556,7.293429,78.74,-3.530864,91.576497
US_IL_17103,2020-01-19,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,6.56,8.13,,9.18,6.82,5.51,5.77,4.99,16.27,7.87,5.25,8.13,4.72,4.72,,3.94,4.46,4.46,4.46,21.25,6.3,5.25,4.2,,10.23,33.32,,4.46,6.04,5.25,,-14.655556,-17.805556,-9.755556,2.2225,78.74,-18.32716,73.409871
US_IL_17103,2020-01-20,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,7.8,7.07,4.38,10.72,8.53,5.36,6.33,3.65,15.35,9.74,4.63,10.96,7.07,,5.12,5.12,4.87,4.87,8.53,32.16,7.31,7.55,5.6,4.87,7.07,42.39,,9.26,5.12,6.82,3.41,-10.683333,-15.022222,-4.25,0.0,78.74,-13.308642,80.985208
