location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19185,2020-01-01,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,56.85,0.116667,-5.188889,10.211111,0.0,-3.462963,76.638562
US_IA_19185,2020-01-02,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,60.89,5.538889,0.627778,10.294444,0.0,1.82716,76.795389
US_IA_19185,2020-01-03,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,49.44,1.288889,-1.161111,4.861111,0.0,-0.030864,90.666988
US_IA_19185,2020-01-04,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,48.99,-1.179012,-4.401235,2.487654,0.254,-2.868056,87.869049
US_IA_19185,2020-01-05,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,48.6,2.805556,-2.655556,8.011111,0.09525,-2.888889,65.774772
US_IA_19185,2020-01-06,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,92.56,-0.683333,-5.833333,5.411111,0.0,-4.820988,73.811146
US_IA_19185,2020-01-07,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,38.28,0.733333,-4.061111,6.561111,0.0,-4.240741,69.358209
US_IA_19185,2020-01-08,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,43.49,-4.061111,-9.494444,2.922222,0.0,-10.154321,61.712967
US_IA_19185,2020-01-09,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,,5.488889,-3.561111,16.061111,0.0,-1.617284,59.550652
US_IA_19185,2020-01-10,ChIJ1-fIlAES6YcRUcuR1Y_M2oU,Q485460,geoId/19185,US,United States of America,IA,Iowa,19185,Wayne County,US,USA,2,,,,,,,6492,3173,3319,932,861,675,670,612,852,848,592,450,1790076,40.738056,-93.326667,527,78.6,,33.95,-0.888889,-4.144444,7.122222,2.6416,-2.462963,88.515352
