location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45089,2020-01-01,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,7.77,7.77,8.23,20.11,8.23,10.97,25.59,8.23,37.93,,8.922222,3.772222,13.972222,0.0,0.092593,54.587785
US_SC_45089,2020-01-02,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,,10.48,6.71,10.48,7.12,7.54,26.82,8.38,36.88,9.22,8.116667,3.961111,13.544444,0.0,3.425926,73.028143
US_SC_45089,2020-01-03,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,,11.4,,13.6,,6.58,22.81,10.53,37.72,7.46,17.45,9.9,23.55,0.03175,13.901235,79.974502
US_SC_45089,2020-01-04,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,7.35,,8.27,11.95,11.49,,28.49,6.89,43.2,,18.494444,15.15,21.338889,3.7465,15.814815,84.953711
US_SC_45089,2020-01-05,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,,8.59,,16.72,10.85,,27.57,7.23,33.9,,9.2,3.066667,16.35,2.7178,-0.549383,51.020803
US_SC_45089,2020-01-06,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,9.63,,,9.63,7.96,10.47,17.17,8.79,38.53,,7.433333,2.261111,16.305556,0.0,1.351852,66.207622
US_SC_45089,2020-01-07,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,,8.2,9.42,8.61,7.79,9.42,24.18,7.79,45.89,,9.133333,3.133333,18.0,0.0,4.666667,74.8712
US_SC_45089,2020-01-08,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,8.11,7.7,10.54,16.62,8.92,10.54,29.59,,31.61,10.13,7.544444,0.127778,16.927778,0.056444,0.117284,60.43855
US_SC_45089,2020-01-09,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,,8.92,6.49,14.6,12.57,10.95,27.58,6.08,34.88,6.89,7.527778,0.944444,16.355556,0.0,0.493827,62.421747
US_SC_45089,2020-01-10,ChIJ5QiuSiTE_4gRxqdKzrgBfKg,Q502210,geoId/45089,US,United States of America,SC,South Carolina,45089,Williamsburg County,US,USA,2,,,,,,,31216,14923,16293,3405,3892,3783,3522,3700,4194,4660,2681,1379,2532523,33.62,-79.73,937,73.18,,,,,,13.9,,19.47,9.54,11.52,25.82,15.49,37.34,9.14,13.316667,8.5,20.788889,0.0,8.716049,74.591585
