location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53017,2020-01-01,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.38,10.95,5.35,9.73,6.08,8.03,,7.05,6.57,3.41,,21.89,,13.87,3.41,5.84,8.27,3.89,,5.11,7.78,4.38,4.38,8.51,,3.89,24.08,7.78,4.13,8.76,3.41,,8.03,4.62,45.0,4.38,11.43,,7.54,,3.89,,4.62,3.89,,5.611111,0.605556,9.866667,22.3774,,1.962963,78.783258
US_WA_53017,2020-01-02,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.39,13.38,8.12,14.26,8.34,7.02,3.95,7.24,5.92,3.95,,21.71,6.8,11.62,,3.95,9.87,3.51,3.29,5.04,3.73,5.7,5.04,7.68,4.39,10.31,23.25,9.43,5.48,5.26,,4.61,6.14,8.12,44.97,6.58,6.36,4.39,5.7,3.95,5.04,,6.8,3.29,,4.122222,0.577778,9.855556,7.1628,,-2.388889,63.994058
US_WA_53017,2020-01-03,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,6.28,11.22,4.71,13.24,8.53,8.3,3.14,7.41,3.37,4.49,,19.3,3.59,11.67,,5.16,11.45,4.49,3.14,4.26,4.49,5.16,6.06,5.61,4.94,4.71,33.66,7.63,5.39,7.18,4.94,3.14,6.51,5.83,45.11,7.41,8.98,3.37,5.83,5.39,4.04,,,5.16,,3.227778,0.194444,8.911111,3.0734,,0.32716,81.337529
US_WA_53017,2020-01-04,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.78,12.67,4.07,11.48,9.8,5.02,,5.98,3.83,,3.83,18.41,3.59,14.35,,3.83,8.61,5.5,3.35,7.41,3.83,3.83,7.65,6.93,4.07,4.54,27.5,6.93,4.54,9.09,6.46,3.59,7.41,6.93,42.8,5.98,10.76,,6.22,6.22,5.26,,5.98,3.59,,5.705556,0.211111,9.561111,2.159,,-2.345679,56.798945
US_WA_53017,2020-01-05,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,7.92,11.03,5.28,9.84,9.36,7.68,,6.0,4.32,4.8,,22.07,,10.55,4.56,5.04,8.88,3.36,3.36,6.24,8.4,5.52,4.8,,5.04,5.28,31.18,7.2,3.84,8.16,,4.08,4.56,4.32,48.22,3.84,6.0,3.6,7.44,5.04,5.76,,,3.6,4.08,1.988889,-0.588889,7.855556,3.7592,,-2.41358,73.834127
US_WA_53017,2020-01-06,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.55,6.58,5.96,9.46,10.48,4.32,,6.99,3.7,4.52,2.88,19.12,5.34,12.33,4.73,4.93,9.87,5.55,3.9,4.52,8.43,,2.88,4.52,3.29,5.14,28.16,5.75,3.7,5.34,4.11,5.55,4.32,11.51,44.4,3.49,6.37,3.29,3.49,4.73,4.73,,4.73,,,1.877778,-1.344444,7.416667,4.6482,30.48,-1.58642,78.409405
US_WA_53017,2020-01-07,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.92,8.77,4.08,16.73,10.2,6.12,3.06,8.57,4.28,4.08,,17.34,5.71,11.63,,5.1,12.03,5.3,,4.89,4.08,4.28,3.06,5.51,,8.77,32.84,8.36,3.06,7.95,3.88,6.93,4.69,9.38,45.48,4.28,9.18,,5.3,4.89,5.3,4.28,4.08,4.08,,4.555556,-0.283333,7.783333,19.177,,1.771605,81.860686
US_WA_53017,2020-01-08,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,3.04,4.66,12.78,4.05,12.78,8.72,6.29,7.91,7.1,4.26,5.27,,14.6,4.46,11.36,3.04,3.85,11.76,3.45,,4.87,4.46,3.04,4.26,3.45,,8.52,40.15,7.71,4.87,3.85,3.45,3.85,5.68,6.69,45.02,5.07,17.64,3.85,11.15,4.26,4.66,4.26,,4.87,3.24,4.25,0.444444,8.388889,7.3914,,-0.617284,71.460702
US_WA_53017,2020-01-09,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,2.82,5.24,9.67,4.43,10.68,6.85,4.84,,7.86,6.45,5.04,,15.72,4.84,10.28,,5.44,10.08,3.83,,5.24,,4.84,3.83,3.02,,8.67,38.89,6.85,3.63,7.46,3.63,4.63,5.04,8.06,42.52,4.03,15.52,3.43,6.85,5.04,3.02,,2.82,5.44,,-0.066667,-4.194444,5.766667,1.3462,,-6.006173,65.737051
US_WA_53017,2020-01-10,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.99,6.58,5.59,10.17,7.78,5.99,3.39,3.19,5.19,5.59,4.39,12.57,3.19,8.58,,7.38,12.57,2.99,3.79,3.59,4.99,3.19,3.59,4.59,3.39,9.18,28.73,5.59,,6.78,,4.39,5.19,6.38,35.11,3.19,9.97,2.99,6.98,6.38,5.59,2.79,,,,-2.1,-5.005556,2.594444,0.3302,129.54,-5.240741,80.911364
