location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_WI_55113,2020-01-11,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,,9.05,15.68,,27.74,,-11.117284,-14.635802,-6.611111,0.0,-16.534722,65.988658
US_WI_55113,2020-01-12,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,15.88,12.07,17.16,,32.4,,-11.925926,-18.709877,-6.790123,0.0,-15.75,75.114863
US_WI_55113,2020-01-13,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,23.78,,30.01,,43.04,9.63,-7.537037,-11.462963,-3.160494,0.2032,-9.756944,82.593441
US_WI_55113,2020-01-14,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,21.91,8.99,33.15,,35.96,,-2.660494,-5.635802,-0.407407,0.973667,-4.236111,89.875427
US_WI_55113,2020-01-15,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,17.33,10.62,23.48,,32.43,,-6.91358,-9.932099,-4.104938,0.362857,-8.979167,86.263562
US_WI_55113,2020-01-16,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,11.61,13.35,9.29,8.71,30.76,,30.76,,-16.234568,-22.858025,-6.41358,1.354667,-20.569444,70.609694
US_WI_55113,2020-01-17,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,8.0,14.93,12.8,22.39,,25.59,,-18.265432,-26.259259,-8.234568,0.1016,-22.194444,73.126233
US_WI_55113,2020-01-18,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,15.49,11.91,16.68,,36.93,,-4.659722,-9.673611,-2.8125,1.820333,-6.571429,87.3987
US_WI_55113,2020-01-19,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,12.23,13.4,,18.64,,34.38,,-10.450617,-13.438272,-7.074074,1.632857,-14.152778,77.568821
US_WI_55113,2020-01-20,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,13.01,8.48,31.1,10.74,40.71,10.18,-10.290123,-17.148148,-5.722222,0.0,-13.381944,79.993623
US_WI_55113,2020-01-21,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,14.14,8.16,21.21,,34.81,,35.9,,-12.679012,-19.117284,-5.888889,0.0,-16.166667,77.458716
US_WI_55113,2020-01-22,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,8.52,17.03,10.22,30.66,,47.69,,-3.888889,-7.987654,1.216049,0.8636,-6.854167,81.076214
US_WI_55113,2020-01-23,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,23.59,,28.3,,44.23,,-0.314815,-1.716049,0.981481,1.27,-1.319444,93.494365
US_WI_55113,2020-01-24,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,32.16,,33.88,,36.17,,-0.308642,-1.493827,1.154321,0.60325,-1.298611,93.261511
US_WI_55113,2020-01-25,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,11.02,27.22,,29.16,,33.7,10.37,0.117284,-0.679012,1.117284,0.127,-1.034722,92.016087
US_WI_55113,2020-01-26,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,26.34,,25.75,13.46,37.46,,-2.006173,-3.191358,-0.148148,0.127,-3.465278,90.907172
US_WI_55113,2020-01-27,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,8.59,33.77,,37.78,,40.07,,-2.62963,-3.91358,-1.37037,0.0,-4.222222,89.481187
US_WI_55113,2020-01-28,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,21.82,8.61,28.71,,32.16,,-6.716049,-8.925926,-3.506173,0.0,-9.048611,83.962529
US_WI_55113,2020-01-29,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,14.51,26.7,8.71,29.03,8.71,31.93,11.61,-6.481481,-8.722222,-3.635802,0.0,-9.583333,79.348844
