location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21133,2020-01-01,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,12.31,25.91,25.26,10.36,54.41,4.358025,1.771605,8.290123,0.0,,-2.685185,60.389072
US_KY_21133,2020-01-02,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,18.92,24.48,28.93,11.69,51.75,4.253086,0.216049,8.790123,0.508,,-2.148148,64.009222
US_KY_21133,2020-01-03,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,14.86,16.99,27.6,10.09,44.06,9.87037,4.697531,12.17284,17.0815,,9.784722,98.121153
US_KY_21133,2020-01-04,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,,25.28,25.89,9.86,33.91,8.981481,1.253086,12.512346,7.4295,,7.765432,92.188506
US_KY_21133,2020-01-05,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,9.48,18.32,27.17,,48.02,1.592593,-0.166667,8.549383,2.6416,,-3.222222,70.511907
US_KY_21133,2020-01-06,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,11.31,16.4,20.36,12.44,38.46,3.0,-1.62963,8.666667,0.0,,-3.67284,61.838817
US_KY_21133,2020-01-07,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,17.64,17.05,32.92,,49.38,2.283951,-1.253086,7.592593,3.175,,-2.679012,70.026429
US_KY_21133,2020-01-08,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,11.5,13.15,36.16,10.41,39.99,3.54321,-1.012346,8.919753,1.467556,,-4.919753,54.096953
US_KY_21133,2020-01-09,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,11.95,15.75,40.18,14.66,34.75,5.123457,-1.709877,14.932099,0.0,,-5.179012,48.144456
US_KY_21133,2020-01-10,ChIJq8H_S4zgRIgR8rxI29aM6Qc,Q505499,geoId/21133,US,United States of America,KY,Kentucky,21133,Letcher County,US,USA,2,,,,,,,22303,10907,11396,2663,2628,2390,2690,2829,3283,3223,1791,806,1846546,37.12,-82.85,878,72.871429,,,,13.07,11.5,31.89,,43.92,12.290123,8.345679,16.728395,0.0,,2.407407,51.039005
